word	tags	comments
ACADEMIC	Modif Doctr Acad 	adjective: Of or pertaining to a college or other educational institution 
ACADEMY	Noun PLACE Social Acad 	
ART	Noun Doctr Acad 	17% noun: Technical--having to do with higher education 'liberal arts  education,' 'bachelor of arts' 
ASTRONOMY	Noun Doctr Acad 	
BIOLOGICAL	Modif Doctr Acad 	
BOARD	Noun HU COLL POLIT ECON Acad Power 	48% noun: An administrative body, examination ("college boards") 
BOARD	Noun Object COM Acad Comnobj 	7% noun: Blackboard 
CAMPUS	Noun PLACE Social Acad 	
CHEMISTRY	Noun Doctr Acad 	
CLASSIC	Pos Noun COM Acad Pstv Comform 	
CLASSROOM	Noun Bldgpt Acad Object 	noun: Room for a class 
CLINICAL	Modif Doctr Acad 	
COACH	Noun HU Acad Actv Role 	
COACH	IAV SUPV Intrel Acad Actv Affil 	
COLLEGE	Noun PLACE Social Acad 	noun-adj: Institution of higher learning, especially liberal arts 
COUNSELOR	Noun HU Acad Role 	
COURSE	Noun Ritual Acad 	40% noun: A program of instruction, a class 
CREDIT	Pos Noun COM Virtue Acad Pstv 	23% noun: Recognition, honor (includes academic credit) 
DEAN	Noun HU Acad Power Strng Role 	
DEGREE	Noun COM Comform Acad 	28% noun: A title conferred at various stages of higher education 
DISCOURSE	Noun COM Comform Acad 	
DR	Modif HU Acad Role 	
ECONOMICS	Noun Doctr Acad Econ* 	
EDUCATE	IAV SUPV Acad Power Actv Strng Comform 	verb: To instruct. 
EDUCATED	Pos Modif Virtue Acad Pstv PFREQ 	adj: Instructed, cultured 
EDUCATED	IAV SUPV ED Acad Power Comform 	0% verb: Taught, instructed 
EDUCATION	Pos Noun Doctr Acad Pstv 	noun: The act or process of imparting or acquiring knowledge--a degree,  level or kind of schooli 
EDUCATIONAL	Pos Modif Doctr Acad Pstv 	adjective: Pertaining to education, formal schooling- instructive 
ELECTRONICS	Noun Doctr Acad 	
ENGLISH	Noun Name POLIT ECON COM Comform Acad 	
ESSAY	Noun COM Exprs Comform Acad 	
EXAM	Noun COM Acad Comform 	
EXAMINATION	Noun Ritual Acad Actv 	
EXAMINE	IAV SUPV Intrel Acad Power Actv 	verb: To scrutinize or test 
EXAMINER	Noun HU Acad Power Role 	
EXPERIMENT	Noun Ritual Acad Actv 	
EXPERIMENT	IAV SUPV Try Acad Actv 	
EXPERIMENTAL	Modif Ritual Acad Actv 	
FACULTY	Noun HU COLL Acad PFREQ 	91% noun-adj: All the teachers of a school 
FORM	Noun HU COLL Acad 	6% noun: Grade in british secondary school 
FRESHMAN	Noun HU Acad Role 	
FRESHMEN	Noun HU S Acad Role 	
GEOMETRY	Noun ABS Abs* Doctr Acad 	
GRADE	Noun ABS TIME Time* Acad 	23% noun: One of the divisions by year of a school curriculum 
GRADUATE	Noun Doctr Acad 	37% adj: Of or pertaining to, or involved in academic study beyond the  first or bachelor's degree 
GRADUATE	IAV SUPV Acad Complt 	32% verb: To graduate from 
GRADUATE	Noun HU Acad Role 	30% noun: A person who has received a diploma on completing a course of  study, as in a university or school 
GRADUATE	Modif Acad Means 	1% noun-adj: "Graduating"--receiving a diploma or degree 
GRADUATION	Pos Noun Finish Acad 	
GRAMMAR	Noun Comform Acad 	
GRIND	Noun HU Acad Subm Role 	
HEAD	Noun HU COLL Acad 	0% noun-idiom: 'head start' 
HIGH	Noun PLACE Social Acad 	32% idiom-noun: "High school"--a school following the ordinary grammar school 
HISTORIAN	Noun HU Acad Role 	
HISTORIC	Modif Doctr Acad 	
HISTORICAL	Modif Doctr Acad 	
HISTORY	Noun ABS Abs* Doctr Acad 	noun: The aggregate of past events--the branch of knowledge dealing with  past events. 
INSTITUTE	Noun PLACE Social POLIT ECON Acad PFREQ 	91% noun-adj: An organization with a social, educational, etc., purpose 
INSTRUCT	IAV SUPV Acad Power Actv Strng Comform 	
INSTRUCTION	Noun COM Comform Acad Actv Power Strng 	
INSTRUCTOR	Noun HU Acad Power Strng Role 	noun: One who teaches 
INTELLECT	Pos Noun Virtue Acad Pstv Strng 	
INTELLECTUAL	Pos Modif Virtue Acad Pstv Strng 	60% adj: Of or pertaining to the intellect 
INTELLECTUAL	Pos Noun HU Acad Pstv Role Strng 	24% noun: Person with intellectual interests or tastes 
INTELLECTUAL	Pos LY Virtue Acad Pstv Strng 	10% adv: "Intellectually"--cerebrally 
INTELLIGENCE	Pos Noun ABS Abs* Virtue Acad Pstv Strng 	noun-adj: Ability to learn or understand 
JUNIOR	Modif Time* Acad 	84% noun-adj: Third year in college or high school, pertaining to same  or to person in that position, junior high school or college or pertaining to it 
KNOWLEDGE	Pos Noun ABS Abs* Acad Pstv Strng Know 	noun-adj: Familiarity with or understanding of facts, principles, etc.--  what is known 
LAB	Noun Bldgpt Acad Econ* Object 	
LABORATORY	Noun ECON Acad Econ* Object Bldgpt 	
LEARN	IAV SUPV Solve Acad PFREQ Actv 	90% verb: To acquire knowledge of or skill in by study, instruction, or experience 
LEARN	Pos Noun ABS Abs* Virtue Acad Pstv 	9% noun: 'learning,' knowledge acquired, or the process of acquiring knowledge 
LEARN	Pos Modif Virtue Acad Pstv 	0% adj: "Learned," knowledgeable, erudite 
LEARNER	Pos Noun HU Acad Subm Role Pstv 	
LECTURE	Noun COM Comform Acad Actv 	
LECTURE	DAV SUPV Acad Comform Actv 	
LESSON	Noun COM Comform Acad 	noun: Something from which one learns or should learn 
