word	tags	comments
ABIDE	IAV Pos SUPV Actv Affil  Doctr 	
ABOLISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
ABSCOND	IAV Neg SUPV Travel Subm Weak Hostile Actv 	
ABSOLVE	IAV Pos SUPV Actv Comform Intrel 	
ABUSE	Neg Noun Vice Ngtv Hostile Actv 	
ABUSE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ACCEDE	IAV Pos SUPV Actv Comform Affil 	
ACCELERATE	DAV SUPV Incr Actv Strng 	
ACCELERATION	Noun Strng Actv Incr 	
ACCENTUATE	IAV Pos SUPV Actv Ovrst 	
ACCOMMODATE	IAV Pos SUPV Vary Pstv Actv 	
ACCOMPANY	IAV SUPV Travl Affil Actv 	59% verb-adj: To go along in company with, to escort; "accompanying"--  attendant (no adjective occurrences this sample) 
ACCOMPLISH	IAV Pos SUPV Pstv Strng Actv Power Complt 	verb: To bring to its goal or conclusion 
ACCOMPLISHMENT	Pos Noun Goal Pstv Strng Actv Power 	
ACCOST	IAV Neg SUPV Exert Hostile Actv 	
ACCOUNT	IAV SUPV Solve Actv 	11% verb: To explain, dispose of (usually with "for") 
ACCRUE	DAV Pos SUPV Actv Incr Econ 	
ACCUMULATE	DAV SUPV Incr Actv 	
ACCUMULATION	Noun Quan Actv 	
ACHIEVE	IAV Pos SUPV Complt Pstv Strng Actv 	verb: To accomplish or carry through 
ACHIEVEMENT	Pos Noun Goal Pstv Actv Power 	
ACQUIRE	Modif Strng Actv Fetch 	
ACQUIRE	DAV SUPV Complt Strng Actv 	
ACQUISITION	Noun Object ECON Tool Strng Actv 	
ACT	DAV SUPV Exert Strng Actv 	52% verb: To do something, to operate, perform a function; to feign (2),  to perform in the theatre (0) 
ACT	IAV SUPV Work Strng Actv 	8% idiom-verb: 'act as'--to replace in function. 
ACT	Noun Strng Exert Actv 	25% noun: A deed, performance, anything done; a law--"the mills act" (7) 
ACT	IAV SUPV Intrel Hostile Actv 	2% verb: 'act up'--to misbehave, malfunction. 
ACTION	Noun ABS Abs* Strng Actv Exert 	noun: The doing or performance of something; an act or thing done 
