word	tags	comments
ABIDE	IAV Pos SUPV Actv Affil  Doctr 	
ABSORPTION	Pos Noun Incr Affil 	
ACCEDE	IAV Pos SUPV Actv Comform Affil 	
ACCEPTANCE	Pos Noun Affil Pstv Psv Intrel 	
ACCOMPANY	IAV SUPV Travl Affil Actv 	59% verb-adj: To go along in company with, to escort; "accompanying"--  attendant (no adjective occurrences this sample) 
ACQUAINTANCE	Pos Noun HU Affil Pstv Role 	
ADHERENCE	Pos Noun Affil 	
ADHERENT	IndAdj Pos Modif Affil 	
ADMIRE	SV Pos SUPV Affil Subm Pstv Psv Pleasur 	
ADOPT	Modif Affil Psv Intrel 	4% adj: "Adopted"--chosen, accepted 
ADOPT	IAV SUPV Work Affil Actv PFREQ 	96% verb: To choose or accept, take as one's own child (2) 
ADVICE	Noun COM Comform Affil 	noun: An opinion recommended, or offered, as worthy to be followed. 
ADVISE	IAV SUPV Affil Intrel 	
ADVOCACY	Pos Noun Comform Affil 	
AFFAIR	Noun Ritual Affil 	21% noun: A love affair 
AFFECTION	Pos Noun EMOT Affil Pstv Arousal 	
AFFECTIONATE	Pos Modif EMOT Affil Pstv Arousal 	
AFFILIATE	IAV Pos SUPV Actv Affil 	
AFFILIATION	Pos Noun Affil 	
AFFIX	DAV Pos SUPV Actv Exert Affil 	
AGREE	IAV Yes SUPV Affil Pstv 	96% verb: To be of one mind, harmonize in opinion or feeling, give consent, assent 
AGREE	Modif Comform Affil Psv 	4% adj: "Agreed"--settled or determined by mutual consent, as "the agreed  price"; of the same opinion, as "we are agreed" 
AGREEMENT	Pos Noun COM Comform Affil Pstv Strng 	noun: Unanimity of opinion, state of accord, mutual arrangement. 
AID	IAV Pos SUPV Intrel Affil Pstv Strng Actv 	16% verb: To give help 
AID	Pos Noun Affil Pstv Virtue Actv 	81% noun: Help, a helper 
ALIENATE	IAV Neg SUPV Affil Intrel Hostile Other 	
ALLEGIANCE	Pos Noun Affil Virtue 	
ALLEVIATE	IAV Pos SUPV Actv Affil Exert Decr 	
ALLIED	IAV Pos SUPV Intrel Affil Polit* Strng Pstv 	
ALLIES	Pos Noun HU Role Affil Intrel 	
ALLY	Pos Noun HU POLIT Affil Polit* Pstv Strng Role 	
ALLY	IAV SUPV Intrel Affil Polit* 	
ALONG	IAV SUPV Intrel Affil 	14% idiom-verb: 'get along'--co-exist or exist in harmony and comfort. 
ALONG	IAV SUPV Affil Comform 	6% idiom-verb: "Go along (with)"--agree 
ALTRUISTIC	IPadj Pos Modif Virtue Affil Fetch 	
AMELIORATE	IAV Pos SUPV Intrel Pstv Actv Affil 	
AMENABLE	IndAdj Pos Modif Affil Vary Virtue 	
AMIABILITY	Pos Noun Affil Virtue 	
AMIABLE	IPadj Pos Modif Affil Virtue 	
AMICABLE	IPadj Pos Modif Affil Virtue 	
ANGEL	Pos Noun HU Role Virtue Affil Relig 	
ANGELIC	IndAdj Pos Modif Virtue Affil Relig 	
ANOINT	DAV Pos SUPV Actv Affil Other Exert 	
ANTITRUST	IndAdj Neg Modif Polit Affil Legal 	
APOLOGY	Noun COM Comform Affil Subm Weak 	
APPEAL	Noun COM Comform Subm Psv Affil 	38% noun-adj: A request for a decision, help, sympathy, etc. (6), a quality  arousing a favorable response (6) 
APPEAL	IAV SUPV Legal Subm Psv Affil Intrel 	59% verb: To request a decision, help, sympathy, etc. (10), to arouse  a favorable response (9) 
APPEAL	Pos Modif Affil Psv Pleasur Pstv 	3% adj: "Appealing"--arousing a favorable response 
APPRECIATE	SV Pos SUPV Subm Pstv Psv Arousal Affil 	verb: To be aware of, to be grateful 
APPRECIATION	Pos Noun Pleasur Pstv Psv Affil 	
APPROVAL	Pos Noun COM Comform Affil Pstv 	
APPROVE	Pos Modif Virtue Affil Pstv 	
APPROVE	IAV Pos SUPV Affil Pstv Strng Comform 	
ARBITER	Pos Noun HU Role Solve Affil Intrel Comform 	
ARBITRATE	IAV Pos SUPV Actv Solve Affil Intrel Comform 	
ARBITRATION	Pos Noun Solve Affil Intrel Comform 	
ARDENT	IndAdj Pos Modif Strng Power Affil 	
ARMISTICE	Noun POLIT Ritual Affil Milit Polit* 	
ASCRIBE	IAV Pos SUPV Actv Affil Doctr 	
ASSENT	Pos Noun Affil Comform 	
ASSET	Pos Noun Strng Affil 	
ASSIST	Pos Noun Affil Pstv Strng Actv Virtue 	
ASSIST	IAV Pos SUPV Intrel Affil Pstv Strng Actv 	
ASSISTANCE	Pos Noun Affil Pstv Strng Actv Virtue 	noun: Act of assisting, help, aid. 
ASSOCIATION	Pos Noun HU COLL Affil Pstv Strng Actv 	79% noun: An organization of people with a common purpose, having a formal  structure 
ASSURANCE	Pos Noun COM Comform Affil Pstv Strng Ovrst 	
ATTACHMENT	Pos Noun Emot Pleasure Affil Intrel 	
ATTRACT	IAV Pos SUPV Intrel Affil Pstv Strng 	
ATTRACTION	Pos Noun Affil Pstv Pleasur Strng 	
BABY	Noun Affil Virtue 	2% noun: Affectionate or familiar form of address or reference 
BACK	IAV Pos SUPV Intrel Affil Power Pstv Strng Actv 	1% verb: To support 
BACK	Pos Noun Power Pstv Strng Intrel Affil Actv 	0% noun: "Backing"--support 
BACKING	Pos Noun Affil 	
BAND	IAV SUPV Intrel Affil Strng 	3% verb: To group together 
BANISHMENT	Neg Noun Power Intrel Affil Polit 	
BANQUET	Noun Ritual Affil 	
BAPTISM	Pos Noun Affil Doctr 	
BAPTIZE	DAV Pos SUPV Actv Affil Doctr 	
BECKON	IAV SUPV Affil Actv Comform 	
BEFRIEND	IAV Pos SUPV Actv Affil Intrel 	
BEHALF	Pos Noun Affil Pstv Virtue 	
BELOVED	Pos Modif Affil Pstv Arousal 	
BENEFIT	IAV Pos SUPV Intrel Affil Power Pstv Strng 	21% verb: Gain, do good for, to 
BENIGN	Pos Modif Pstv Psv Virtue Power Affil 	
BLESS	IAV Pos SUPV Intrel Affil Relig Pstv Psv 	32% verb: To consecrate, favor or endow, make happy or prosperous 
BOLSTER	IAV Pos SUPV Actv Affil Strng Incr 	
BOND	Noun ECON COM Comform Affil Strng 	
BOOT	IAV Neg SUPV Actv Affil Power Other 	
BRIDE	Noun HU Female KIN Affil Kin* Role 	
BRING	IAV SUPV Intrel Affil Power Actv 	13% verb: Bring up--to rear, educate, care for during childhood 
BROTHER	Noun HU MALE KIN Kin* Affil Role 	noun: Male sibling; fellow member of a religious or other organization  or group; comrade (13) 
BROTHERHOOD	Pos Noun Virtue Affil Pstv Strng 	
BROTHERLY	IPadj Pos Modif Affil Intrel 	
BUDDY	Noun HU MALE Affil Role 	
BUOYANT	IndAdj Pos Modif Strng Affil 	
CALL	DAV Pos SUPV Intrel Affil Pstv 	1% verb: To visit 
CARE	Pos Noun Affil Pstv Actv Undrst Arousal 	26% noun: Attention, concern, thought, worry, assistance 
CARE	SV Pos SUPV Affil Pstv Actv Intrel 	41% verb: To be concerned with, to mind about, prefer, be solicitous of;  to provide for (much less frequen 
CARESS	Pos Noun Comform Affil Pstv 	
CARESS	IAV Pos SUPV Intrel Affil Pstv 	
CELEBRATION	Pos Noun Ritual Affil Pstv Actv 	
CHARM	Pos Noun Affil Virtue Pstv 	
CHARM	IAV Pos SUPV Intrel Affil Pstv 	
CHEER	IAV Pos SUPV Actv Comform Affil 	
CHERISH	IAV Pos SUPV Pstv Psv Intrel Affil 	
CLIQUE	Neg Noun Affil HU Ovrst 	
CLOSE	Modif Rel Affil 	59% adj: Near or nearby in kind or relationship--having proximity or similarity  in time, space, quality, or number; intimate, confidential, warm, dear (48) 
CLUB	Noun HU COLL Affil Strng PFREQ 	86% noun: A group of persons organized for social or other activities 
CO-OPERATION	Pos Noun Affil Pstv Virtue 	
COACH	IAV SUPV Intrel Acad Actv Affil 	
