word	tags	comments
ABHOR	SV Neg SUPV Hostile Psv Arousal 	
ACRIMONIOUS	IPadj Neg Modif Hostile Arousal 	
ACRIMONY	Neg Noun Hostile Psv Arousal Vice 	
ADAMANT	IndAdj Pos Modif Know Strng Arousal 	
AFFECTION	Pos Noun EMOT Affil Pstv Arousal 	
AFFECTIONATE	Pos Modif EMOT Affil Pstv Arousal 	
ALERT	Modif Strng Actv Arousal 	
AMAZE	Modif Ovrst Arousal 	
AMAZE	IAV SUPV Ovrst Arousal 	
ANGER	Neg Noun EMOT Hostile Ngtv Actv PFREQ Arousal 	86% noun: Wrath, ire. 
ANGER	IAV Neg SUPV Hostile Ngtv Arousal 	14% verb: To make angry. 
ANGRY	Neg Modif EMOT Hostile Ngtv Actv Arousal 	adjective: Feeling anger or resentment 
ANNOYANCE	Neg Noun EMOT Hostile Ngtv Arousal 	
ANTAGONISM	Neg Noun EMOT Hostile Ngtv Arousal Strng Actv 	
ANTAGONISTIC	Neg Modif EMOT Hostile Ngtv Strng Arousal Actv 	
ANTAGONIZE	IAV Neg SUPV Ngtv Strng Actv Arousal Hostile 	
ANTICIPATE	SV SUPV Psv Arousal 	
ANTICIPATION	Noun Psv Arousal 	
ANXIOUS	Modif EMOT Arousal 	67% adjective: Eager 
APPETITE	Noun Arousal 	
APPRECIATE	SV Pos SUPV Subm Pstv Psv Arousal Affil 	verb: To be aware of, to be grateful 
ASSERTION	Pos Noun Know Strng Comform Arousal 	
ASTONISH	Modif Ovrst Arousal 	
ASTONISH	IAV SUPV Ovrst Arousal 	
ATTITUDE	Noun EMOT Arousal 	noun: Manner, disposition, feeling, position, etc. with regard to a person,  thing or idea 
AVERSION	Neg Noun Negate Psv Hostile Arousal 	
AWE	Noun EMOT Subm Arousal 	
BASHFUL	IPadj Neg Modif Emot Weak Psv Arousal 	
BELLIGERENT	IndAdj Neg Modif Hostile Emot Arousal 	
BELOVED	Pos Modif Affil Pstv Arousal 	
BERSERK	IndAdj Neg Modif Emot Arousal Hostile 	
BESET	IndAdj Neg Modif Pain Emot Arousal 	
BITCHY	IndAdj Neg Modif Arousal Hostile Intrel 	
BITE	Neg Modif Hostile Ngtv Arousal 	4% adj: "Biting"--incisive, sarcastic 
BRISTLE	IAV Neg SUPV Emot Arousal Hostile Psv 	
CARE	Pos Noun Affil Pstv Actv Undrst Arousal 	26% noun: Attention, concern, thought, worry, assistance 
CHALLENGE	Modif Arousal 	9% adj: "Challenging"--stimulating, provocative 
COMFORT	Pos Modif Pstv Strng Affil Arousal 	10% adj: "Comforting"--consoling, heartening 
CONFOUND	IAV Neg SUPV Ngtv Ngtv Undrst Arousal 	
CROSS	Neg Modif EMOT Ngtv Hostile Actv Arousal 	9% adj: Angry 
CROSS	Neg Modif Ngtv Hostile Actv Arousal 	2% adv: "Crossly"--angrily 
DETERMINATION	Noun Strng Ovrst Actv Arousal Power 	
DEVOTION	Pos Noun EMOT Relig Subm Pstv Psv Arousal Affil 	
DISLIKE	DAV Neg SUPV Negate Ngtv Psv Hostile Arousal 	71% verb: To have an aversion toward 
