word	tags	comments
ADMINISTRATION	Noun HU COLL ABS TIME POLIT Polit* Power Strng 	69% noun-adj: A body entrusted with executive or administrative powers,  the time span over which such power is exercised (2) 
AGENCY	Noun HU COLL POLIT ECON Econ* Power 	noun: A commercial or other bureau furnishing some form of service for  the public, the office of an agent. 
AIR	Noun HU COLL POLIT Milit 	12% adj: "Air force," "air defense"--referring to airborne military divisions,  and operations 
ALLIANCE	Pos Noun HU COLL POLIT Polit* Power Pstv Strng 	
ARMY	Noun HU COLL POLIT Milit Strng Power Hosti 	noun: The military forces of a nation 
ASSEMBLY	Noun HU COLL 	
ASSOCIATION	Pos Noun HU COLL Affil Pstv Strng Actv 	79% noun: An organization of people with a common purpose, having a formal  structure 
AUDIENCE	Noun HU COLL 	
BAND	Noun HU COLL PFREQ 	97% noun: A company of persons, a group of animals (1), a group of musicians  (4), a strip, stripe or binding (4) 
BANK	Noun HU COLL ECON Econ* 	62% noun: Financial institution . . . the business of finance ('banking') 
BAR	Noun HU COLL Legal 	4% noun: The legal profession 
BLOC	Noun HU POLIT COLL Strng 	
BLUE	Noun HU COLL ECON Econ* 	11% noun-idiom: "Blue cross"--insurance company 
BOARD	Noun HU COLL POLIT ECON Acad Power 	48% noun: An administrative body, examination ("college boards") 
BODY	Noun HU COLL POLIT Polit* Power Strng 	8% noun: A group of people, often political--as "electoral body," "student body" 
BRANCH	Noun HU COLL POLIT ECON Econ* Polit* 	21% noun: Political#economic subdivision 
CABINET	Noun HU COLL POLIT Polit* 	
CANNERY	Noun HU COLL ECON Econ* 	
CATHOLIC	Noun Relig HU COLL 	
CAVALRY	Noun HU COLL POLIT Milit Strng 	
CIVIC	Modif POLIT HU COLL 	
CIVIL	Modif POLIT Polit* PFREQ HU COLL 	85% idiom-noun: "Civil rights," "civil liberties" 
CIVIL	Noun HU POLIT COLL Polit* 	1% idiom-noun: "Civil service" 
CLASS	Noun ABS Abs* COLL HU 	noun-adj: The instruction of a given set of students, usually by a teacher,  any or all the things associated with it--the instruction itself, the  group of students, or the period or place in which they meet 
