word	tags	comments
ABSOLVE	IAV Pos SUPV Actv Comform Intrel 	
ACCEDE	IAV Pos SUPV Actv Comform Affil 	
ACCLAIM	Pos Noun Comform Virtue 	
ACCLAMATION	Pos Noun Comform Virtue 	
ACCOLADE	Pos Noun Comform Virtue 	
ACCOUNT	Noun ECON Econ* Comform 	26% noun: A bank account, charge account, etc.--a business relation; a  record of business transactions 
ACCOUNT	Noun COM Comform 	16% noun: A narration, explanation 
ACCUSATION	Neg Noun Comform Hostile Intrel 	
ACCUSE	Neg Modif Legal Ngtv Comform Hostile 	
ACCUSE	IAV Neg SUPV Hostile Ngtv Comform 	
ACKNOWLEDGEMENT	Pos Noun Comform Ovrst 	
ADDRESS	IAV SUPV Actv Comform 	41% verb: To direct spoken or written communication to 
ADDRESS	Noun COM Comform Actv 	48% noun: A speech (7), the place where mail can be sent (6) 
ADJUDICATION	Noun COM Comform Power 	
ADMISSIBLE	Modif Comform Subm Psv 	
ADMISSION	Noun COM Comform Subm Psv 	
ADMIT	IAV Pos SUPV Subm Pstv Weak Psv Comform 	63% verb: To acknowledge, confess, agree 
ADMIT	Pos LY Ovrst Comform Subm Pstv Weak Psv 	3% adv: "Admittedly"--adverbial form of sense 1 
ADMONITION	Neg Noun Comform Actv 	
ADULATION	Pos Noun Comform Emot Pleasure Strng Eval 	
ADVICE	Noun COM Comform Affil 	noun: An opinion recommended, or offered, as worthy to be followed. 
ADVISORY	Modif Comform 	
ADVOCACY	Pos Noun Comform Affil 	
ADVOCATE	IAV SUPV Power Strng Actv Comform 	
AFFIRM	IAV Pos SUPV Power Pstv Strng Comform 	
AFFIRMATION	Pos Noun Eval Comform 	
AGGRIEVE	SV Neg SUPV Hostile Actv Comform 	
AGREE	Modif Comform Affil Psv 	4% adj: "Agreed"--settled or determined by mutual consent, as "the agreed  price"; of the same opinion, as "we are agreed" 
AGREEABLE	Pos Modif Comform EVAL Pstv 	
AGREEMENT	Pos Noun COM Comform Affil Pstv Strng 	noun: Unanimity of opinion, state of accord, mutual arrangement. 
AIR	Noun COM Comform 	5% noun: A characteristic quality, or trait; affectation (1) 
AIR	IAV SUPV Strng Comform 	1% verb: To expose to air (0), to make known, publicize (1) 
AIR	Noun COM Comform 	0% noun: Broadcast medium 
ALARM	Noun COM Comform Actv 	
ALARM	IAV Neg SUPV Ngtv Actv Comform 	
ALIBI	Neg Noun Comform Subm Psv Weak 	
ALLEGATION	Neg Noun COM Comform Hostile Legal Ngtv 	
ALLEGE	IAV Neg SUPV Comform Weak Undrst 	
ALLUSION	Noun COM Comform 	
ALONG	IAV SUPV Affil Comform 	6% idiom-verb: "Go along (with)"--agree 
AMENDMENT	Noun POLIT COM Comform Legal Polit* 	
ANECDOTE	Noun COM Comform Exprs 	
ANNOUNCE	Modif Comform 	
ANNOUNCE	DAV SUPV Comform 	
ANNOUNCEMENT	Noun COM Comform 	
ANONYMOUS	Modif Comform 	
ANSWER	IAV SUPV Actv Comform 	57% verb: To respond to a question, challenge, or statement 
ANSWER	Noun COM Comform Actv 	43% noun: A reply, response, solution, given to a question, statement or problem 
APOLOGY	Noun COM Comform Affil Subm Weak 	
APPALL	IAV Neg SUPV Ngtv Comform 	
APPEAL	Noun COM Comform Subm Psv Affil 	38% noun-adj: A request for a decision, help, sympathy, etc. (6), a quality  arousing a favorable response (6) 
APPLAUD	DAV Pos SUPV Actv Comform Eval 	
APPLAUSE	Pos Noun COM Comform Pstv 	
APPLICATION	Noun COM Comform Subm 	
APPLY	DAV SUPV Legal Subm Comform Actv 	12% verb: To make application or request--'to apply for a job' 
APPROPRIATION	Noun ECON COM Comform Power 	
APPROVAL	Pos Noun COM Comform Affil Pstv 	
APPROVE	IAV Pos SUPV Affil Pstv Strng Comform 	
ARBITER	Pos Noun HU Role Solve Affil Intrel Comform 	
ARBITRATE	IAV Pos SUPV Actv Solve Affil Intrel Comform 	
ARBITRATION	Pos Noun Solve Affil Intrel Comform 	
ARGUE	IAV Neg SUPV Hostile Ngtv Actv Comform 	44% verb: To dispute, to contend in argument--'they argue a lot' (sense  of animosity) 
ARGUMENT	Neg Noun COM Comform Hostile Ngtv Actv 	63% noun: A (heated) discussion involving different points of view 
ARRANGE	IAV SUPV Power Actv Comform 	59% verb: To come to an agreement concerning, to prepare or plan--'we  arranged to meet them.' 
ARTICULATE	Modif Comform 	
ARTICULATE	Modif Comform SUPV Strng Actv 	
ASK	DAV SUPV Actv Comform 	65% verb: To inquire about 
ASK	DAV SUPV Subm Comform Actv 	31% verb: To request, invite 
ASSENT	Pos Noun Affil Comform 	
ASSERT	IAV SUPV Power Strng Actv Comform 	
ASSERTION	Pos Noun Know Strng Comform Arousal 	
ASSIGN	Modif Comform Actv 	
ASSIGN	DAV SUPV Power Actv Comform 	
ASSIGNMENT	Noun Actv Comform Exprs 	
ASSURANCE	Pos Noun COM Comform Affil Pstv Strng Ovrst 	
ASSURE	IAV Pos SUPV Power Pstv Strng Ovrst Comform 	33% verb: To pledge, to state with confidence, to make confident 
ATTEST	IAV SUPV Subm Psv Comform 	
AUDIBLE	IndAdj Pos Modif Comform Strng 	
AUTHORIZE	Modif Power Strng Legal Comform 	
AUTHORIZE	IAV SUPV Power Strng Actv Comform Legal 	
AWARD	Pos Modif Comform Power Pstv Strng 	
AWARD	IAV Pos SUPV Power Pstv Strng Comform Actv 	
BABBLE	DAV Neg SUPV Comform Actv 	
BAIT	IAV Neg SUPV Actv Other Comform 	
BANTER	Noun COM Comform Weak 	
BANTER	IAV SUPV Weak Comform 	
BARGAIN	IAV Pos SUPV Actv Comform Intrel Econ 	
BARK	DAV SUPV Comform 	
BEAM	IAV SUPV Comform 	
