word	tags	comments
ABOUT	DAV SUPV VERB MOD 	2% verb-modal: "About to"--just going to 
ABSENT	DAV SUPV Travl Psv 	
ACCELERATE	DAV SUPV Incr Actv Strng 	
ACCOMPANY	DAV SUPV Rel 	41% verb-adj: To be or exist in company with something; "accompanying"--  concomitant (one adjectiv 
ACCRUE	DAV Pos SUPV Actv Incr Econ 	
ACCUMULATE	DAV SUPV Incr Actv 	
ACQUIRE	DAV SUPV Complt Strng Actv 	
ACQUIT	DAV Pos SUPV Legal Solve 	
ACT	DAV SUPV Exert Strng Actv 	52% verb: To do something, to operate, perform a function; to feign (2),  to perform in the theatre (0) 
ADD	DAV SUPV Solve PFREQ 	87% verb: To combine with so as to increase number, size, importance, completeness 
ADMIT	DAV Pos SUPV Intrel Power Pstv Psv 	33% verb: To grant entry, membership or access to something 
AFFIX	DAV Pos SUPV Actv Exert Affil 	
AGE	DAV SUPV Natpro 	0% verb: To grow old 
AMPLIFY	DAV Pos SUPV Actv Incr Strng 	
ANNOUNCE	DAV SUPV Comform 	
ANOINT	DAV Pos SUPV Actv Affil Other Exert 	
APPEAR	DAV SUPV Percv Psv 	36% verb: To physically emerge, come into sight 
APPEND	DAV Pos SUPV Actv Incr Change 	
APPLAUD	DAV Pos SUPV Actv Comform Eval 	
APPLY	DAV SUPV Legal Subm Comform Actv 	12% verb: To make application or request--'to apply for a job' 
APPOINT	DAV Pos SUPV Intrel Power Pstv Actv 	
APPREHEND	DAV Pos SUPV Actv Fetch Other 	
ARCH	DAV SUPV Space 	
ARREST	DAV Neg SUPV Stay Hostile Legal Ngtv Strng Actv 	81% verb: To halt, stop, seize by legal authority 
ARRIVE	DAV SUPV Travl Actv 	verb: To reach one's destination, to reach a conclusion, goal, etc. (5);  to come to pass ("the time has arrived") (3) 
ASCEND	DAV SUPV Rise Strng Actv 	
ASK	DAV SUPV Actv Comform 	65% verb: To inquire about 
ASK	DAV SUPV Subm Comform Actv 	31% verb: To request, invite 
