word	tags	comments
ABIDE	IAV Pos SUPV Actv Affil  Doctr 	
ACADEMIC	Modif Doctr Acad 	adjective: Of or pertaining to a college or other educational institution 
ACTUALITY	Pos Noun Pstv Virtue Doctr 	
ADMINISTRATION	Noun ECON Power Strng Actv Doctr 	31% noun: Direction or management of institutional activity 
ADMINISTRATIVE	Modif POLIT ECON Doctr Power Strng Actv 	
AESTHETIC	Modif Doctr Exprs 	
AGRICULTURAL	Modif ECON Doctr Econ* 	adjective: Having to do with agriculture. 
AGRICULTURE	Noun POLIT ECON Doctr Econ* 	
AMNESTY	Pos Noun Legal Doctr Power 	
ANARCHIST	Neg Noun HU Hostile Polit Doctr 	
ANTI-TRUST	Modif POLIT ECON Doctr Econ* 	
ARCHITECTURE	Noun Doctr Exprs 	
ART	Noun Doctr Acad 	17% noun: Technical--having to do with higher education 'liberal arts  education,' 'bachelor of arts' 
ART	Pos Noun Doctr Exprs Pstv 	13% noun: The particular skill of--'the difficult art of rowing' 
ARTISTIC	Modif Doctr Exprs 	
ASCRIBE	IAV Pos SUPV Actv Affil Doctr 	
ASTRONOMY	Noun Doctr Acad 	
AUTHORITATIVE	IPadj Pos Modif Legal Ovrst Strng Virtue Power Doctr 	
AUTOCRAT	Neg Noun HU Polit Doctr Power Strng 	
AUTOCRATIC	IPadj Neg Modif Polit Doctr Power Strng 	
BAPTISM	Pos Noun Affil Doctr 	
BAPTIZE	DAV Pos SUPV Actv Affil Doctr 	
BELIEF	Noun ABS Abs* Doctr Psv 	noun: The idea that something is true or real, faith, confidence 
BIOLOGICAL	Modif Doctr Acad 	
BUSINESS	Noun ECON Doctr Econ* 	82% noun-adj: Economic or political activities, either one's own trade  or occupation, the business community at large, or specific transactions 
BUSINESS	Noun Doctr 	13% noun: An affair, matter, or situation (with which one is properly concerned) 
CALL	Noun Doctr 	1% noun: "Calling"--vocation 
CAPITALISM	Noun ABS Abs* POLIT ECON Doctr Econ* Polit* 	
CEREMONIAL	IndAdj Pos Modif Doctr 	
CHEMISTRY	Noun Doctr Acad 	
CHIVALROUS	IPadj Pos Modif Virtue Doctr 	
CHIVALRY	Pos Noun Doctr Virtue 	
CHRISTIANITY	Noun ABS Abs* Doctr Relig 	
CIVIL	Pos Modif Doctr POLIT Polit* Pstv 	9% noun-adj: Involving or consisting of citizens, of the commonwealth  or state; civilized, polite, benevolent (0) 
CIVILIZATION	Pos Noun ABS Abs* Doctr Pstv 	
CIVILIZE	Pos Modif Doctr Pstv 	
CLASSICAL	Modif Doctr 	
CLINICAL	Modif Doctr Acad 	
COEXISTENCE	Pos Noun Doctr POLIT Pstv Psv 	
COLD	Neg Noun Doctr POLIT Hostile Polit* Ngtv Ngtv 	5% idiom-noun: 'cold war' 
COLONIAL	Modif Doctr Polit* ECON POLIT 	
COMMERCE	Noun Doctr ECON Econ* Actv 	
COMMERCIAL	Modif Doctr ECON Econ* Actv 	
COMMUNISM	Noun ABS Abs* POLIT ECON Doctr Econ* Polit* 	
CONSERVATION	Noun Doctr 	
CONSERVATISM	Noun POLIT ABS Abs* Polit* Doctr 	
CONSERVATIVE	Modif ECON POLIT Doctr Polit* Psv 	81% adj: Distrustful of innovation, restrained 
CONSTITUTIONAL	Modif Doctr POLIT Polit* Strng 	
COVENANT	Pos Noun Comform Affil Doctr 	
CRAFT	Noun Doctr ECON Econ* 	
CREDO	Noun Doctr 	
CUBISM	Noun Doctr Exprs 	
CULTURAL	Modif Doctr 	
CULTURE	Noun ABS Abs* Doctr PFREQ 	93% noun: Civilization, cultivation 
DESEGREGATION	Noun Doctr POLIT Race 	
DEVOUT	IndAdj Pos Modif Strng Affil Doctr Other 	
DICTATORSHIP	Noun Doctr POLIT Polit* Strng 	
DISBELIEF	Neg Noun Doctr Negate Ngtv Undrst Hostile 	
DOCTRINE	Noun ABS Abs* POLIT Doctr 	
DOMESTIC	Modif ECON POLIT Doctr 	
DUE	Noun Doctr Subm 	8% noun-adj: That which is due, owed, or naturally belongs to someone,  rightful or fitting, e.g. "due respect" 
ECONOMIC	Modif ECON POLIT Doctr Econ* 	adjective: Pertaining to the allocation of resources 
ECONOMICS	Noun Doctr Acad Econ* 	
ECONOMY	Noun ECON POLIT Doctr Econ* 	
ECUMENICAL	Modif Doctr Relig POLIT 	
EDUCATION	Pos Noun Doctr Acad Pstv 	noun: The act or process of imparting or acquiring knowledge--a degree,  level or kind of schooli 
EDUCATIONAL	Pos Modif Doctr Acad Pstv 	adjective: Pertaining to education, formal schooling- instructive 
ELECTRONICS	Noun Doctr Acad 	
EMPLOYMENT	Noun ECON POLIT Doctr Econ* 	noun: State of being employed 
ETHICS	Pos Noun Doctr Pstv 	
ETIQUETTE	Pos Noun Doctr Ought 	
EVANGELISM	Noun Doctr Relig 	
FAITH	Pos Noun ABS Abs* Doctr Relig Pstv EMOT Psv PFREQ 	90% noun: Belief or trust, or the content thereof--a creed 
FASCIST	IndAdj Neg Modif Polit Affil Doctr 	
FASHION	Noun Doctr Exprs 	
FATE	Noun ABS Abs* Doctr Relig Strng 	
FEUDAL	IndAdj Neg Modif Polit Doctr 	
FIDELITY	Pos Noun Doctr Subm Pstv Affil 	
