word	tags	comments
ACCOUNT	Noun ECON Econ* Comform 	26% noun: A bank account, charge account, etc.--a business relation; a  record of business transactions 
ACCOUNT	Modif ECON Econ* Work 	3% noun-adj: "Accounting"--keeping, analyzing or settling commercial accounts 
AFFORD	IAV SUPV Complt Econ* Strng 	74% verb: To bear or meet the expense of 
AGENCY	Noun HU COLL POLIT ECON Econ* Power 	noun: A commercial or other bureau furnishing some form of service for  the public, the office of an agent. 
AGRICULTURAL	Modif ECON Doctr Econ* 	adjective: Having to do with agriculture. 
AGRICULTURE	Noun POLIT ECON Doctr Econ* 	
ALUMINUM	Noun Object ECON Tool Econ* 	
ANTI-TRUST	Modif POLIT ECON Doctr Econ* 	
ASSOCIATE	Pos Noun HU ECON Econ* Pstv Actv Role 	33% noun-adj: A partner or peer 
AUCTION	Noun ECON Ritual Econ* 	
AUDITOR	Noun HU ECON Econ* Power Legal Role 	
BABY	Noun HU Econ* Role 	3% idiom-noun: "Baby sitter"--a person given charge of a child 
BACKER	Pos Noun HU Econ* Pstv Strng Role 	
BAKER	Noun HU Econ* Role 	
BANK	Noun HU COLL ECON Econ* 	62% noun: Financial institution . . . the business of finance ('banking') 
BANKER	Noun HU ECON Econ* Role 	
BARBER	Noun HU Econ* Role 	
BARN	Noun PLACE Social Econ* 	
BELONG	Noun Object Tool Econ* 	2% noun: "Belongings"--possessions 
BENEFIT	Pos Noun ECON COM Comform Econ* Pstv 	50% noun: Incremental monetary payments 
BET	Noun ECON COM Comform Econ* Actv 	25% noun: A wager, a risk 
BET	IAV SUPV Try Econ* Actv 	71% verb: To wager or risk 
BID	Noun POLIT ECON COM Econ* Actv Comform 	
BID	IAV SUPV Econ* Actv Comform 	
BILL	Noun Object ECON COM Econ* Comnobj 	53% noun: Statement of money owed for goods or services 
BLUE	Noun HU COLL ECON Econ* 	11% noun-idiom: "Blue cross"--insurance company 
BOARD	Noun ECON COM Comform Econ* 	4% noun: Provision of food for pay 
BOARD	Modif Comform Econ* 	7% adj: 'boarding,' pertaining to food and lodging 
BOARDER	Noun HU Econ* Role 	
BOATSWAIN	Noun HU Econ* Role 	
BONUS	Pos Noun ECON Pstv Econ* Comform 	
BOOKKEEPING	Noun Means Econ* 	
BORROW	Modif Econ* Exch 	
BORROW	IAV SUPV Exch Econ* Weak 	
BOSS	Noun HU ECON Econ* Power Strng Actv Role 	noun: Person in charge of something 
BOUGHT	DAV SUPV ED Work Actv Econ* 	verb: Past tense of "buy" - purchased 
BRANCH	Noun HU COLL POLIT ECON Econ* Polit* 	21% noun: Political#economic subdivision 
BRAND	Noun ECON COM Comform Econ* 	
BROKE	Neg Modif ECON Vice Econ* Ngtv 	3% adjective: Destitute 
BROKER	Noun HU ECON Econ* Role 	
BUDGET	Noun ECON Means Econ* 	
BUILDER	Noun HU Econ* Role 	
BUSINESS	Noun ECON Doctr Econ* 	82% noun-adj: Economic or political activities, either one's own trade  or occupation, the business community at large, or specific transactions 
BUSINESSMAN	Noun HU MALE ECON Econ* Role 	
BUSINESSMEN	Noun HU MALE ECON S Econ* Role 	
BUTCHER	Noun HU Econ* Role 	
BUY	DAV SUPV Exch Econ* Actv 	verb: To purchase 
BUY	Pos Noun ECON Virtue Econ* Pstv 	0% noun: A bargain 
CAFE	Noun PLACE Social Econ* 	
CANNERY	Noun HU COLL ECON Econ* 	
CAPITAL	Noun POLIT Polit* ECON Econ* Strng PFREQ Virtue 	92% noun: Wealth, source of profit, moneyed interests; a center of government (11) 
CAPITALISM	Noun ABS Abs* POLIT ECON Doctr Econ* Polit* 	
CAREER	Noun Means Econ* 	noun: General course of action or development of some phase of one's life,  especially the occupational. 
CARPENTER	Noun HU Econ* Role 	
CASH	Noun Object COM ECON Econ* Comnobj 	
CASH	IAV SUPV Exch Econ* 	
CENT	Noun Object COM ECON Econ* Comnobj 	
CHARGE	Noun COM ECON Econ* Comform 	15% noun-adj: Cost, fee, liability to pay, system of deferred payment 
CHARGE	DAV SUPV Exch Econ* Actv 	13% verb: To ask payment, to buy with deferred payment 
CHARITY	Pos Noun Virtue ECON Econ* Pstv 	
CHARTER	IAV SUPV Work Econ* 	
CHEAP	Neg Modif EVAL ECON Vice Econ* Ngtv Weak 	
CHEAT	Noun HU Econ* Role 	
CHECK	Noun Object COM ECON Econ* Comnobj 	41% noun: A bank money order, a bill 
CHEQUE	Noun Object COM Econ* ECON Comnobj 	
CLEAR	Noun PLACE Social Econ* ECON 	0% idiom-noun: "Clearing house"--place where mutual claims are settled 
CLERK	Noun HU Econ* Role 	
CLIENT	Noun HU ECON Econ* Role 	
COACHMAN	Noun HU MALE Econ* Role 	
COIN	Noun Object COM ECON Econ* Comnobj 	
COLLECTIVE	Noun HU COLL ECON Econ* Strng 	
COMMERCE	Noun Doctr ECON Econ* Actv 	
COMMERCIAL	Modif Doctr ECON Econ* Actv 	
COMMODITY	Noun ECON Econ* Object Tool 	
COMMON	Noun HU COLL POLIT ECON Econ* 	18% noun-idiom: "Common market"--the eec 
COMMONER	Neg Noun HU POLIT Econ* Subm Ngtv Weak Psv Role 	
COMMUNISM	Noun ABS Abs* POLIT ECON Doctr Econ* Polit* 	
COMMUNIST	Noun HU POLIT Econ* Polit* Role 	noun-adj: Anyone or anything characterized by communism 
COMPANY	Noun HU COLL ECON Econ* Strng 	78% noun-adj: A body of men joined in a common purpose, usually economic 
COMPENSATE	IAV Pos SUPV Work Econ* Strng Actv Pstv 	
CONCERN	Noun HU COLL ECON Econ* 	1% noun: Business concern--commercial enterprise 
CONSULTANT	Noun HU ECON Econ* Role 	
CONSUME	DAV SUPV Finish Econ* Actv 	
CONSUMER	Noun HU ECON Econ* Role 	
CONSUMPTION	Noun ECON Econ* Actv Exch 	
CONTRACT	Noun COM ECON Econ* Legal Strng PFREQ Comform 	95% noun-adj: "Contract," "contracting"--a legally binding agreement;  the making of same (1) 
CONTRIBUTE	IAV Pos SUPV Work Affil Actv Econ* PFREQ Pstv Strng 	97% verb: To give or add 
CONTROLLER	Noun HU Econ* Power Strng Role 	
COOK	Noun HU Econ* Role 	9% noun: One who cooks 
COOPERATIVE	Pos Noun HU COLL ECON Pstv Strng Affil Econ* 	68% noun-adj: An organization for the benefit of producers or consumers 
COPPER	Noun ECON Object Natobj Econ* 	
CORP	Noun HU COLL ECON Econ* 	
CORPORATION	Noun HU COLL ECON Econ* Strng 	
COST	Neg Noun COM ECON Quan Econ* Ngtv 	67% noun-adj: Expense, outlay, sacrifice, loss, penalty 
COST	DAV Neg SUPV Exch Ngtv Econ* 	33% verb: To require or result in an expenditure 
COSTLY	Neg LY Econ* Ngtv Vice 	adj: Expensive 
COVERAGE	Noun COM Comform ECON Econ* 	
CRAFT	Noun Doctr ECON Econ* 	
CREDIT	Noun COM Comform ECON Econ* 	66% noun-adj: Deferred payment, borrowing, financial trust 
CREDIT	IAV SUPV Exch Econ* 	9% verb: To place in an account 
CURRENCY	Noun Object COM ECON Econ* Comnobj 	
CUSTOM	Noun ECON POLIT COM Econ* Comform 	43% noun-adj: Duties on the import and export of goods 
CUSTOMER	Noun HU ECON Econ* Role 	
DEAL	Noun ECON POLIT Ritual Econ* Polit* 	3% idiom-noun: "New deal"--political program 
DEALER	Noun HU ECON Econ* Role 	
DEBT	Noun Means ECON Econ* Weak 	
DEFICIT	Neg Noun Vice ECON Econ* Ngtv Weak 	
DENTIST	Noun HU Econ* Role 	
DEPARTMENT	Noun PLACE Social ECON Econ* 	4% noun-idiom: Department store 
DEPRECIATION	Neg Noun ECON Ngtv Psv Decr Econ* 	
DEPRESSION	Neg Noun Econ* Ngtv Weak Vice 	77% noun: Economic decline 
DESIGNER	Noun HU Econ* Role 	
DISCOUNT	Noun Quan ECON Econ* Psv 	
DISTRIBUTOR	Noun HU ECON Econ* Role 	
DOCTOR	Noun HU Econ* PFREQ Role 	96% noun: A practitioner of medicine 
DOLLAR	Noun Object ECON POLIT COM Econ* Comnobj 	noun-adj: Monetary unit 
DUE	Noun COM ECON Econ* Comform 	3% noun: Dues--a regular fee or charge payable at specific intervals 
EARN	IAV SUPV Work Exch Econ* Strng Actv 	72% verb: To gain by dint of work 
EARN	Noun ECON Econ* Strng Exch Actv 	28% noun-adj: "Earning(s)" income, or having to do with same 
EARN	Noun ECON Econ* Exch Strng Actv 	0% adj: "Earned" 
EARNER	Noun HU Econ* Strng Role 	
ECONOMIC	Modif ECON POLIT Doctr Econ* 	adjective: Pertaining to the allocation of resources 
ECONOMICAL	Modif Virtue ECON Econ* 	
ECONOMICS	Noun Doctr Acad Econ* 	
ECONOMY	Noun ECON POLIT Doctr Econ* 	
EDITOR	Noun HU Econ* Power Strng Role 	
EMPLOY	IAV SUPV Intrel Econ* Power Strng 	
EMPLOYEE	Noun HU ECON Econ* Subm Weak Role 	
EMPLOYER	Noun HU ECON Power Econ* Strng Role 	noun: One who employs labor 
EMPLOYMENT	Noun ECON POLIT Doctr Econ* 	noun: State of being employed 
ENGINEER	Noun Econ* Role HU 	
ENROLLMENT	Noun Comform Econ* 	
ENTERPRISE	Noun HU COLL ECON Econ* Actv Strng 	
EQUITY	Pos Noun COM Comform ECON Econ* Legal Pstv 	
