word	tags	comments
ACCOST	IAV Neg SUPV Exert Hostile Actv 	
ACT	DAV SUPV Exert Strng Actv 	52% verb: To do something, to operate, perform a function; to feign (2),  to perform in the theatre (0) 
ACT	Noun Strng Exert Actv 	25% noun: A deed, performance, anything done; a law--"the mills act" (7) 
ACTION	Noun ABS Abs* Strng Actv Exert 	noun: The doing or performance of something; an act or thing done 
ACTIVE	Modif Strng Actv Exert 	86% adjective: In a state of action, in actual progress or motion, busy. 
ACTIVE	LY Ovrst Actv Exert 	14% adverb: "Actively"--busily, energetically 
ACTIVITY	Noun ABS Abs* Actv Exert 	noun: The state of being active, a specific action or pursuit 
ADULTERATE	IAV Neg SUPV Change Exert 	
AFFIX	DAV Pos SUPV Actv Exert Affil 	
AGGRESSOR	Neg Noun HU Hostile Exert Intrel 	
AGITATE	IAV Neg SUPV Exert Ngtv Strng Actv 	
AGITATOR	Neg Noun HU Hostile Exert Intrel 	
ALLEVIATE	IAV Pos SUPV Actv Affil Exert Decr 	
ALTERCATION	Neg Noun Hostile Exert Intrel 	
ANNIHILATE	IAV Neg SUPV Hostile Finish Exert Actv 	
ANOINT	DAV Pos SUPV Actv Affil Other Exert 	
ARREST	Neg Modif Hostile Legal Power Ngtv Strng Actv Exert 	15% noun-adj: Halting, seizure, usually by legal authority, seized, halted, stopped 
ASSAILANT	Neg Noun HU Hostile Exert Other 	
ASSASSIN	Neg Noun HU Hostile Exert 	
ASSASSINATE	IAV Neg SUPV Actv Hostile Exert Other 	
AWAKE	DAV SUPV Exert Natpro 	
BARBAROUS	IndAdj Neg Modif Hostile Exert Vice 	
BAT	DAV SUPV Exert Exprs 	
BATTLEFIELD	Neg Noun Hostile Place Intrel Exert 	
BEHEAD	Neg Noun Hostile Exert Other Finish 	
BESIEGE	IAV Neg SUPV Actv Hostile Exert Intrel 	
BLOCK	DAV Neg SUPV Exert Hostile Ngtv Strng Actv 	28% verb: To thwart or barricade 
BLOW	Neg Noun Hostile Ngtv Strng Actv Exert 	24% noun: A hit or stroke, forcible effort, calamity 
BLOW	IAV SUPV Exert Hostile Strng Actv 	60% verb: To propel as with wind, to set air in motion; fellation 
BLOW	IAV Neg SUPV Ngtv Strng Actv Exert 	17% verb: "Blow up," "blow out"--to explode physically or emotionally 
BOUNCE	DAV SUPV Exert Actv 	
BOUND	IAV SUPV ED Exert Strng 	10% verb: Past tense of "bind" 
BOWL	IAV SUPV Exprs Exert 	
BOX	IAV SUPV Exert Actv 	4% verb: To put in a box, constrain 
BRANDISH	IAV Neg SUPV Exert Hostile Ngtv Strng Actv 	
BRAWL	IAV Neg SUPV Actv Hostile Exert Intrel 	
BREAK	DAV Neg SUPV Ngtv Strng Actv Hostile Exert 	75% verb: To fracture, split, stop or cause to stop functioning, cause  a division or change, enter forcibly, escape, begin suddenly, interrupt, etc. 
BROKE	DAV SUPV ED Hostile Actv Strng Exert 	72% verb: Past tense of "break"--fractured, split, stopped functioning,  caused a division or change; entered forcibly (1); escaped (3); interrupted  (1), etc. 
CANNIBAL	Neg Noun HU Vice Hostile Exert 	
CAST	IAV SUPV Exert Hostile Actv 	64% verb: To throw, project; to aim (of eyes) (2) 
CHARGE	Neg Noun Hostile Strng Actv Ngtv Exert 	2% noun: Attack, forward rush or thrust 
CHIP	IAV SUPV Exert Hostile 	
CHOKE	DAV Neg SUPV Hostile Ngtv Weak Exert 	
CLASH	IAV Neg SUPV Actv Power Hostile Exert Intrel 	
CLEAR	IAV Pos SUPV Exert Pstv 	13% verb: To make or become free of obstructions, blemishes or obscurity;  to pass by, over, through or away from (0) 
CLUB	DAV Neg SUPV Exert Hostile Ngtv Strng Actv 	5% verb: To beat with, or as with, a club 
COLLIDE	IAV Neg SUPV Actv Exert Hostile 	
