word	tags	comments
ACQUIRE	Modif Strng Actv Fetch 	
ALTRUISTIC	IPadj Pos Modif Virtue Affil Fetch 	
APPREHEND	DAV Pos SUPV Actv Fetch Other 	
BANDIT	Neg Noun HU Hostile Fetch 	
BENEFACTOR	Pos Noun HU Role Econ Fetch Virtue 	
BRING	DAV SUPV Fetch Actv 	69% verb: To transport, conduct, carry; to cause to come into being or  into a particular condition (much less frequent) 
BURGLAR	Neg Noun HU Fetch Hostile Vice 	
BURGLARY	Neg Noun Fetch Hostile Vice 	
CARRY	DAV SUPV Fetch Strng Actv 	75% verb: To transport, transmit, convey, bear; influence, get a majority  or plurality (much less frequent) 
CATCH	IAV SUPV Fetch Strng Actv PFREQ 	88% verb: To capture, ensnare, get hold of; attract (1); contract (disease)  (1); to absorb as to hear and understand (0) 
CONFISCATE	IAV Neg SUPV Actv Fetch Power 	
CONFISCATION	Neg Noun Vice Fetch Power 	
CONSERVE	IAV Pos SUPV Actv Fetch Try 	
CONSIGN	IAV Pos SUPV Actv Fetch 	
CONVEY	IAV SUPV Fetch Actv 	
DELIVER	IAV SUPV Fetch Strng Actv 	
DISTRIBUTE	IAV SUPV Fetch Actv 	
DONATE	DAV Pos SUPV Actv Exch Exprs Econ Fetch 	
DONATION	Pos Noun Econ Exprs Fetch Exch 	
DRAW	DAV SUPV Fetch Actv 	70% verb: To pull, move, pull back, extract, attract 
ENTRUST	IAV Pos SUPV Actv Other Fetch Feel 	
FETCH	IAV SUPV Fetch Actv 	verb: Bring, bring back, summon 
GATHER	DAV SUPV Fetch Actv PFREQ 	89% verb: To collect into a group. 
GET	DAV SUPV Fetch Actv 	29% verb: To have or gain possession or control of something--to obtain,  fetch, receive, acquire--includes use in past tense meaning "have"--"she's  got brown hair"; understand (1); overpower, injure, kill (0) 
GLEAN	IAV Pos SUPV Actv Think Fetch 	
GRASP	Noun DET Power Strng Actv Fetch 	
GRASP	IAV SUPV Fetch Strng Actv 	
GRIP	Noun Strng Actv Power Fetch 	
GRIP	IAV SUPV Fetch Strng Actv Power 	
HAND	IAV SUPV Fetch Actv 	6% verb: Deliver, give, pass 
HARNESS	DAV Pos SUPV Actv Fetch Work 	
HOARD	IAV Neg SUPV Fetch Incr 	
HOLD	Noun Power Strng Fetch 	13% noun: Grip, control (very rarely- room, chamber) 
KIDNAP	IAV Neg SUPV Legal Hostile Fetch Other Actv 	
LAY	DAV SUPV Psv Fetch Actv 	10% verb: To place or put; to have intercourse with (4); to produce eggs  (0); to knock or press down (0) 
LIFT	DAV SUPV Fetch Strng Actv 	
LOSE	DAV Neg SUPV Fetch Ngtv Weak Psv 	77% verb: To come to be without 
LOST	DAV Neg SUPV ED Ngtv Weak Psv Fetch 	59% verb-adj: Past tense of "lose"--came to be without, no longer owned  by-- "we lost our jobs," "we are lost" 
LURE	IAV Neg SUPV Actv Other Fetch 	
MISER	Neg Noun HU Role Econ Fetch 	
OBTAINABLE	IndAdj Pos Modif Fetch Causal Rel 	
PARASITE	Neg Noun Hostile Fetch Other 	
PICK	IAV SUPV Fetch Actv 	59% verb: "To pick up"--take up, gather or acquire; to give a ride to--  "i went and picked him up at the station" (11); to become more frequent  or rapid (0); to tidy (0); to become acquainted with casually (0) 
PLACE	DAV SUPV Fetch Actv 	11% verb: To put something in position, to arrange, to dispose 
PORTABLE	IndAdj Pos Modif Fetch Dimn Qual 	
PROCURE	IAV SUPV Fetch Strng Actv 	
