word	tags	comments
ACQUAINTANCE	Pos Noun HU Affil Pstv Role 	
ACTOR	Noun HU MALE Exprs Actv Role 	
ADDICT	Neg Noun Need Weak HU 	
ADMINISTRATION	Noun HU COLL ABS TIME POLIT Polit* Power Strng 	69% noun-adj: A body entrusted with executive or administrative powers,  the time span over which such power is exercised (2) 
ADMINISTRATOR	Noun HU POLIT ECON Power Strng Role 	
ADMIRER	Pos Noun HU Emot Strng 	
ADULT	Noun HU Strng Role 	70% noun: A mature organism, almost always human 
ADVERSARY	Neg Noun Intrel HU Polit Role Hostile 	
ADVISER	Noun HU Power Role 	
ADVISOR	Noun HU Power Role 	
ADVOCATE	Noun HU POLIT Legal Strng Actv Role 	
AGE	Noun HU S Role 	21% noun-adj: "Aged"--the old, old 
AGENCY	Noun HU COLL POLIT ECON Econ* Power 	noun: A commercial or other bureau furnishing some form of service for  the public, the office of an agent. 
AGENT	Noun HU Legal Role 	
AGGRESSOR	Neg Noun HU Hostile Exert Intrel 	
AGITATOR	Neg Noun HU Hostile Exert Intrel 	
AIDE	Noun HU POLIT Role 	
AIR	Noun HU COLL POLIT Milit 	12% adj: "Air force," "air defense"--referring to airborne military divisions,  and operations 
ALCOHOLIC	Noun HU Role 	
ALIEN	Neg Noun HU POLIT Ngtv Role 	
ALLIANCE	Pos Noun HU COLL POLIT Polit* Power Pstv Strng 	
ALLIES	Pos Noun HU Role Affil Intrel 	
ALLY	Pos Noun HU POLIT Affil Polit* Pstv Strng Role 	
AMATEUR	Noun HU Weak Role 	
AMBASSADOR	Noun HU POLIT Polit* Power Role 	
ANARCHIST	Neg Noun HU Hostile Polit Doctr 	
ANCESTOR	Noun HU KIN Kin* Role 	
ANGEL	Pos Noun HU Role Virtue Affil Relig 	
ANTAGONIST	Neg Noun HU Hostile Intrel 	
APPLICANT	Noun HU Subm Role 	
ARBITER	Pos Noun HU Role Solve Affil Intrel Comform 	
ARCHITECT	Noun HU Exprs Role 	
ARISTOCRACY	Pos Noun HU Role Econ Power 	
ARISTOCRAT	Pos Noun HU Role Econ Power 	
ARMY	Noun HU COLL POLIT Milit Strng Power Hosti 	noun: The military forces of a nation 
ARTIST	Noun HU Exprs Role 	noun: One who creates works of art, especially a painter 
ASSAILANT	Neg Noun HU Hostile Exert Other 	
ASSASSIN	Neg Noun HU Hostile Exert 	
ASSEMBLY	Noun HU COLL 	
ASSESSOR	Noun HU ECON Power Role 	
ASSISTANT	Pos Noun HU Subm Pstv Actv Role 	
ASSOCIATE	Pos Noun HU ECON Econ* Pstv Actv Role 	33% noun-adj: A partner or peer 
ASSOCIATION	Pos Noun HU COLL Affil Pstv Strng Actv 	79% noun: An organization of people with a common purpose, having a formal  structure 
ATTACKER	Noun HU Hostile Role 	
ATTENDANT	Noun HU Subm Actv Role 	
ATTORNEY	Noun HU POLIT ECON Legal Power Role 	
AUDIENCE	Noun HU COLL 	
AUDITOR	Noun HU ECON Econ* Power Legal Role 	
AUNT	Noun HU Female KIN Kin* Role 	noun: The sister of one's father or mother 
AUTHOR	Noun HU Exprs Role 	
AUTHORITARIAN	Noun HU Power Strng POLIT Role 	
AUTOCRAT	Neg Noun HU Polit Doctr Power Strng 	
BABY	Noun HU KIN Nonadlt Weak PFREQ Role 	95% noun-adj: An infant 
BABY	Noun HU Econ* Role 	3% idiom-noun: "Baby sitter"--a person given charge of a child 
BACHELOR	Noun HU MALE Role 	
BACKER	Pos Noun HU Econ* Pstv Strng Role 	
BAKER	Noun HU Econ* Role 	
BAND	Noun HU COLL PFREQ 	97% noun: A company of persons, a group of animals (1), a group of musicians  (4), a strip, stripe or binding (4) 
BANDIT	Neg Noun HU Hostile Fetch 	
BANK	Noun HU COLL ECON Econ* 	62% noun: Financial institution . . . the business of finance ('banking') 
BANKER	Noun HU ECON Econ* Role 	
BAR	Noun HU COLL Legal 	4% noun: The legal profession 
BARBARIAN	Neg Noun HU Hostile Vice 	
BARBER	Noun HU Econ* Role 	
BARD	Noun HU Exprs Role 	
BASTARD	Neg Noun HU Hostile Ngtv Role 	
BEARER	Noun HU Role Subm 	
BEGGAR	Neg Noun HU Weak Econ 	
BEGINNER	Noun HU Role 	
BEING	Noun HU Role 	11% noun: Living creature, usually human, life, substance, nature 
BELIEVER	Noun HU Relig Psv Role Subm 	
BENEFACTOR	Pos Noun HU Role Econ Fetch Virtue 	
BENEFICIARY	Pos Noun HU Role Econ Exch 	
BEREFT	Neg Noun HU Weak Role 	
BISHOP	Noun HU Power Relig Role 	
BLACK	Noun HU POLIT Race Role 	17% noun-adj: Negro 
BLIND	Neg Noun HU Ngtv Weak Role 	71% noun-adj: (those who are) without sight; without understanding or control (2) 
BLOC	Noun HU POLIT COLL Strng 	
BLUE	Noun HU COLL ECON Econ* 	11% noun-idiom: "Blue cross"--insurance company 
BOARD	Noun HU COLL POLIT ECON Acad Power 	48% noun: An administrative body, examination ("college boards") 
BOARDER	Noun HU Econ* Role 	
BOATSWAIN	Noun HU Econ* Role 	
BODY	Noun HU COLL POLIT Polit* Power Strng 	8% noun: A group of people, often political--as "electoral body," "student body" 
BOSS	Noun HU ECON Econ* Power Strng Actv Role 	noun: Person in charge of something 
BOXER	Noun HU Exprs Strng Actv Role 	
BOY	Noun HU MALE Nonadlt Role 	noun: A male child 
BRANCH	Noun HU COLL POLIT ECON Econ* Polit* 	21% noun: Political#economic subdivision 
BREADWINNER	Pos Noun HU Role Econ Work Ach 	
BRIDE	Noun HU Female KIN Affil Kin* Role 	
BROKER	Noun HU ECON Econ* Role 	
BROTHER	Noun HU MALE KIN Kin* Affil Role 	noun: Male sibling; fellow member of a religious or other organization  or group; comrade (13) 
BRUTE	Neg Noun HU Hostile Vice 	
BUDDY	Noun HU MALE Affil Role 	
BUILDER	Noun HU Econ* Role 	
BURGLAR	Neg Noun HU Fetch Hostile Vice 	
BUSINESSMAN	Noun HU MALE ECON Econ* Role 	
BUSINESSMEN	Noun HU MALE ECON S Econ* Role 	
BUSYBODY	Neg Noun HU Comform Vice 	
BUTCHER	Noun HU Econ* Role 	
CABINET	Noun HU COLL POLIT Polit* 	
CALLER	Noun HU Role 	
CAMPAIGNER	Noun HU Polit* Actv Role 	
CANDIDATE	Noun HU POLIT Polit* Role 	noun: Person considered for selection 
CANNERY	Noun HU COLL ECON Econ* 	
CANNIBAL	Neg Noun HU Vice Hostile Exert 	
CAPTAIN	Noun HU Power Strng Role 	
CARPENTER	Noun HU Econ* Role 	
CARRIER	Noun HU Role 	
CASUALTY	Neg Noun HU Natpro Finish 	
CATCHER	Noun HU Exprs Role 	
CATHOLIC	Noun Relig HU COLL 	
CAVALRY	Noun HU COLL POLIT Milit Strng 	
CELEBRITY	Pos Noun HU Role Ovrst Power 	
CHAIRMAN	Noun HU POLIT ECON Power Strng Role 	noun: Presiding officer 
CHAIRMEN	Noun HU POLIT ECON S Power Strng Role 	
CHAMP	Pos Noun HU Role Power Strng Ach 	
CHAMPION	Pos Noun HU Pstv Strng Actv Power Role 	
CHANCELLOR	Noun HU POLIT Polit* Power Strng Role 	noun: Title of west german chief of state, an executive title 
CHARACTER	Noun HU Exprs Role 	51% noun: A person, often as in a play or other piece of writing 
CHEAT	Noun HU Econ* Role 	
CHEATER	Neg Noun HU Vice 	
CHERUB	Pos Noun HU Role Virtue 	
CHIEF	Noun HU Power Strng PFREQ Role 	92% noun: Person highest in authority 
CHILD	Noun HU Nonadlt Role 	noun: Young ungrown human being, boy or girl 
CHILDREN	Noun HU S Nonadlt Role 	noun: Boys and or girls, animal young (rare) 
CHRIST	Noun HU MALE Relig Role 	
CHUM	Pos Noun HU Role Intrel 	
CITIZEN	Noun HU POLIT Polit* Role 	noun: A member of a nation, state, city, or other political body 
CIVIC	Modif POLIT HU COLL 	
CIVIL	Modif POLIT Polit* PFREQ HU COLL 	85% idiom-noun: "Civil rights," "civil liberties" 
CIVIL	Noun HU POLIT COLL Polit* 	1% idiom-noun: "Civil service" 
CIVIL	Noun HU POLIT Polit* Role 	1% idiom-noun: "Civil servant" 
CIVILIAN	Noun HU POLIT Role 	
CLASS	Noun ABS Abs* COLL HU 	noun-adj: The instruction of a given set of students, usually by a teacher,  any or all the things associated with it--the instruction itself, the  group of students, or the period or place in which they meet 
CLERGYMAN	Noun HU MALE Relig Role 	
CLERK	Noun HU Econ* Role 	
CLIENT	Noun HU ECON Econ* Role 	
CLIQUE	Neg Noun Affil HU Ovrst 	
CLUB	Noun HU COLL Affil Strng PFREQ 	86% noun: A group of persons organized for social or other activities 
COACH	Noun HU Acad Actv Role 	
COACHMAN	Noun HU MALE Econ* Role 	
COALITION	Noun HU COLL POLIT Affil Polit* Power Strng 	
COLLEAGUE	Pos Noun HU Affil Pstv Role 	
COLLECTIVE	Noun HU COLL ECON Econ* Strng 	
COLONEL	Noun HU POLIT Milit Power Strng Role 	
COLONY	Neg Noun HU COLL POLIT ECON Polit* Ngtv Subm 	
COLOR	Modif POLIT Race HU COLL 	37% noun-adj: "Color"--racial complexion; "colored"--having a racial complexion  other than white 
COMER	Noun HU Role 	
COMIC	Pos Noun HU Role Work Pleasure 	
COMMANDER	Noun HU POLIT Milit Power Strng Actv Role 	
COMMISSIONER	Noun HU POLIT Power Polit* Strng Role 	
COMMITTEE	Noun HU COLL POLIT Power Strng 	noun adjective: Group of persons elected or appointed to carry out a specific  task or function 
COMMON	Noun HU COLL POLIT ECON Econ* 	18% noun-idiom: "Common market"--the eec 
COMMON	Noun HU COLL Polit* 	1% noun: House of commons 
COMMONER	Neg Noun HU POLIT Econ* Subm Ngtv Weak Psv Role 	
COMMONWEALTH	Noun HU COLL POLIT ECON Polit* Power 	
COMMUNIST	Noun HU POLIT Econ* Polit* Role 	noun-adj: Anyone or anything characterized by communism 
COMMUNITY	Pos Noun HU COLL POLIT ECON Affil Pstv Strng 	noun-adjective: Town, collectivity formed by proximity or common interest. 
COMMUTER	Noun Role HU 	
COMPANION	Pos Noun HU Affil Pstv Role 	
COMPANY	Noun HU COLL ECON Econ* Strng 	78% noun-adj: A body of men joined in a common purpose, usually economic 
COMPANY	Pos Noun HU COLL Affil Pstv 	22% noun: Society, companionship 
COMPETITOR	Neg Noun HU Hostile Intrel 	
COMPOSER	Noun HU Exprs Role 	
CONCERN	Noun HU COLL ECON Econ* 	1% noun: Business concern--commercial enterprise 
CONDUCTOR	Noun HU Exprs Role 	
CONFEDERATE	Noun HU POLIT Affil Polit* Role 	
CONFERENCE	Noun HU COLL POLIT ECON Polit* 	noun: A meeting for consultation or negotiation 
CONFIDANT	Pos Noun HU Role Affil 	
CONGREGATION	Noun HU COLL Relig Strng 	
CONGREGATIONAL	Modif Relig HU COLL 	
CONGRESS	Noun HU COLL POLIT Polit* Power Strng PFREQ 	97% noun: The legislative branch of the u.s. government 
CONGRESS	Noun HU COLL Polit* Strng 	3% noun: An organization, society, etc., an official gathering of same 
CONGRESSIONAL	Modif POLIT Polit* Strng HU COLL 	
CONGRESSMAN	Noun HU MALE POLIT Polit* Strng Role 	
CONGRESSMEN	Noun HU S Polit* Power Strng Role 	
CONQUEROR	Pos Noun HU Role Power Strng Travel Intrel 	
CONSERVATIVE	Noun HU POLIT ECON Polit* Psv Role 	19% noun: A group or individual committed to the status quo 
CONSPIRACY	Neg Noun HU COLL POLIT Hostile Polit* Ngtv 	
CONSPIRATOR	Neg Noun HU Intrel Affil Conform 	
CONSTABLE	Noun HU Legal Power Strng Role 	
CONSULTANT	Noun HU ECON Econ* Role 	
CONSUMER	Noun HU ECON Econ* Role 	
CONTRIBUTOR	Pos Noun HU Role Affil Intrel 	
CONTROLLER	Noun HU Econ* Power Strng Role 	
CONVENTION	Noun HU COLL POLIT Polit* PFREQ 	noun: A meeting or assembly of delegates or representatives for action  on particular matters 
CONVERT	Noun HU Relig Actv Role 	
CONVICT	Neg Noun HU Legal Subm Ngtv Weak Psv Role 	
COOK	Noun HU Econ* Role 	9% noun: One who cooks 
COOPERATIVE	Pos Noun HU COLL ECON Pstv Strng Affil Econ* 	68% noun-adj: An organization for the benefit of producers or consumers 
COP	Noun HU POLIT Legal Power Strng Role 	
CORP	Noun HU COLL ECON Econ* 	
CORPORAL	Noun HU Milit Power Strng Role 	
CORPORATE	Modif ECON POLIT Strng HU COLL 	
CORPORATION	Noun HU COLL ECON Econ* Strng 	
CORPS	Noun HU COLL POLIT ECON Milit 	7% noun: A unit or group, usually of the military 
CORRESPONDENT	Noun HU Role 	
COUNCIL	Pos Noun HU COLL POLIT Power Pstv Polit* Strng 	noun-adj: A body of persons summoned or convened for deliberation, consultation  or advice 
COUNSEL	Pos Noun HU Legal Pstv Role 	
COUNSELOR	Noun HU Acad Role 	
