word	tags	comments
ABHOR	SV Neg SUPV Hostile Psv Arousal 	
ABOLISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
ABRASIVE	IPadj Neg Modif Vice Hostile Strng 	
ABSCOND	IAV Neg SUPV Travel Subm Weak Hostile Actv 	
ABSENTEE	Neg Noun Hostile Weak Fail Intrel Vice 	
ABUSE	Neg Noun Vice Ngtv Hostile Actv 	
ABUSE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ACCOST	IAV Neg SUPV Exert Hostile Actv 	
ACCURSED	IPadj Neg Modif Vice Hostile 	
ACCUSATION	Neg Noun Comform Hostile Intrel 	
ACCUSE	Neg Modif Legal Ngtv Comform Hostile 	
ACCUSE	IAV Neg SUPV Hostile Ngtv Comform 	
ACRIMONIOUS	IPadj Neg Modif Hostile Arousal 	
ACRIMONY	Neg Noun Hostile Psv Arousal Vice 	
ACT	IAV SUPV Intrel Hostile Actv 	2% verb: 'act up'--to misbehave, malfunction. 
ADMONISH	IAV Neg SUPV Intrel Hostile Power Strng Actv 	
ADVERSARY	Neg Noun Intrel HU Polit Role Hostile 	
AFFLICT	IAV Neg SUPV Ngtv Strng Actv Intrel Hostile 	
AGGRAVATE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
AGGRAVATION	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSION	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSIVE	Neg Modif EMOT Hostile Ngtv Strng Actv PFREQ V 	adjective: Characterized by aggression, tending to aggress, making the  first attack, energetic, vigorous. 
AGGRESSIVENESS	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSOR	Neg Noun HU Hostile Exert Intrel 	
AGGRIEVE	SV Neg SUPV Hostile Actv Comform 	
AGITATOR	Neg Noun HU Hostile Exert Intrel 	
ALIENATE	IAV Neg SUPV Affil Intrel Hostile Other 	
ALLEGATION	Neg Noun COM Comform Hostile Legal Ngtv 	
ALTERCATION	Neg Noun Hostile Exert Intrel 	
AMBUSH	Neg Noun Ritual Hostile Milit Ngtv Strng Actv 	
AMBUSH	IAV Neg SUPV Intrel Hostile Milit Ngtv Strng Actv 	
ANARCHIST	Neg Noun HU Hostile Polit Doctr 	
ANARCHY	Neg Noun Hostile Polit Ovrst 	
ANGER	Neg Noun EMOT Hostile Ngtv Actv PFREQ Arousal 	86% noun: Wrath, ire. 
ANGER	IAV Neg SUPV Hostile Ngtv Arousal 	14% verb: To make angry. 
