word	tags	comments
ABANDON	IAV Neg SUPV Fail Ngtv Weak 	
ABATE	IAV Neg SUPV Decr Psv 	
ABDICATE	IAV Neg SUPV Finish Weak Psv Subm 	
ABIDE	IAV Pos SUPV Actv Affil  Doctr 	
ABOLISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
ABOUND	IAV Pos SUPV Incr Psv 	
ABSCOND	IAV Neg SUPV Travel Subm Weak Hostile Actv 	
ABSOLVE	IAV Pos SUPV Actv Comform Intrel 	
ABUSE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ACCEDE	IAV Pos SUPV Actv Comform Affil 	
ACCENTUATE	IAV Pos SUPV Actv Ovrst 	
ACCEPT	IAV Pos SUPV Intrel Subm Pstv Psv 	verb: To take, receive or accede to something 
ACCOMMODATE	IAV Pos SUPV Vary Pstv Actv 	
ACCOMPANY	IAV SUPV Travl Affil Actv 	59% verb-adj: To go along in company with, to escort; "accompanying"--  attendant (no adjective occurrences this sample) 
ACCOMPLISH	IAV Pos SUPV Pstv Strng Actv Power Complt 	verb: To bring to its goal or conclusion 
ACCORD	IAV Pos SUPV Intrel Pstv 	3% verb: "Accord with" to be consistent with 
ACCORD	IAV Pos SUPV Intrel Power Pstv 	8% verb: To grant, bestow 
ACCOST	IAV Neg SUPV Exert Hostile Actv 	
ACCOUNT	IAV SUPV Solve Actv 	11% verb: To explain, dispose of (usually with "for") 
ACCUSE	IAV Neg SUPV Hostile Ngtv Comform 	
ACCUSTOM	IAV SUPV Psv Persist 	
ACHIEVE	IAV Pos SUPV Complt Pstv Strng Actv 	verb: To accomplish or carry through 
ACKNOWLEDGE	IAV SUPV Intrel 	
ACQUAINT	IAV Pos SUPV Pstv Solve 	
ACROSS	IAV SUPV Solve 	8% idiom-verb: "Come across"--discover, encounter 
ACT	IAV SUPV Work Strng Actv 	8% idiom-verb: 'act as'--to replace in function. 
ACT	IAV SUPV Intrel Hostile Actv 	2% verb: 'act up'--to misbehave, malfunction. 
ADAPT	IAV SUPV Work Strng Actv 	
ADDRESS	IAV SUPV Actv Comform 	41% verb: To direct spoken or written communication to 
ADDRESS	IAV SUPV Try Actv 	11% verb: To apply oneself to 
ADHERE	IAV SUPV Stay Psv 	
