word	tags	comments
ABOUND	IAV Pos SUPV Incr Psv 	
ABSORBENT	IndAdj Pos Modif Incr 	
ABSORPTION	Pos Noun Incr Affil 	
ACCELERATE	DAV SUPV Incr Actv Strng 	
ACCELERATION	Noun Strng Actv Incr 	
ACCESSION	Pos Noun Incr Strng 	
ACCRUE	DAV Pos SUPV Actv Incr Econ 	
ACCUMULATE	DAV SUPV Incr Actv 	
ADJUNCT	Pos Noun Incr Rel 	
ADVANCEMENT	Pos Noun Incr Pstv 	
AMPLIFY	DAV Pos SUPV Actv Incr Strng 	
AMPLY	Pos Modif Strng Incr 	
APPEND	DAV Pos SUPV Actv Incr Change 	
ARISEN	IndAdj Pos Modif Begin Incr 	
AUGMENT	IAV Pos SUPV Incr Pstv Actv 	
AUGMENTATION	Pos Noun Incr 	
BECAME	IAV SUPV VERB VB ED Psv Incr 	verb: Came, changed or grew to be. 
BECOME	IAV SUPV VERB VB Psv Incr 	verb: To come or grow to be 
BLOOM	IAV Pos SUPV Actv Begin Incr 	
BLOSSOM	IAV Pos SUPV Actv Begin Incr 	
BOLSTER	IAV Pos SUPV Actv Affil Strng Incr 	
BOOM	Pos Noun Econ Incr Strng 	
BOOST	Pos Modif Incr Pstv Strng Actv 	
BOOST	IAV Pos SUPV Pstv Strng Actv Incr 	
BOUNDLESS	IndAdj Pos Modif Strng Quan Incr 	
BOUNTIFUL	IndAdj Pos Modif Incr Strng Quan 	
BRANCH	IAV SUPV Incr Actv 	0% verb: To put forth or spread in branches, expand, extend 
BROADEN	IAV SUPV Incr Strng 	
BUILD	IAV SUPV Incr Strng Actv 	14% idiom-verb: "Build up"--to strengthen, or increase, either quantitatively  or qualitatively 
CAPITALIZE	IAV Pos SUPV Actv Strng Power Econ Incr Ach 	
COLLECT	IAV SUPV Incr Actv Strng PFREQ 	87% verb: To accumulate, acquire 
COLLECT	Noun Actv Incr 	10% noun-adj: "Collecting"--act or activity of accumulating, pertaining to same 
COMEBACK	Pos Noun Actv Strng Incr 	
CULTIVATION	Pos Noun Begin Rel Incr 	
DECORATE	IAV Pos SUPV Actv Incr Eval Pleasure 	
DEEPEN	IAV SUPV Incr Actv Strng 	
