word	tags	comments
ABOLISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
ABSENTEE	Neg Noun Hostile Weak Fail Intrel Vice 	
ABSOLVE	IAV Pos SUPV Actv Comform Intrel 	
ABUSE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ACCEPT	IAV Pos SUPV Intrel Subm Pstv Psv 	verb: To take, receive or accede to something 
ACCEPTANCE	Pos Noun Affil Pstv Psv Intrel 	
ACCOMPANIMENT	Pos Noun Intrel 	
ACCORD	IAV Pos SUPV Intrel Pstv 	3% verb: "Accord with" to be consistent with 
ACCORD	IAV Pos SUPV Intrel Power Pstv 	8% verb: To grant, bestow 
ACCUSATION	Neg Noun Comform Hostile Intrel 	
ACKNOWLEDGE	IAV SUPV Intrel 	
ACT	IAV SUPV Intrel Hostile Actv 	2% verb: 'act up'--to misbehave, malfunction. 
ADMINISTER	IAV SUPV Intrel Power Strng Actv 	
ADMIT	DAV Pos SUPV Intrel Power Pstv Psv 	33% verb: To grant entry, membership or access to something 
ADMONISH	IAV Neg SUPV Intrel Hostile Power Strng Actv 	
ADOPT	Modif Affil Psv Intrel 	4% adj: "Adopted"--chosen, accepted 
ADULTERY	Neg Noun Vice Intrel 	
ADVERSARY	Neg Noun Intrel HU Polit Role Hostile 	
ADVISE	IAV SUPV Affil Intrel 	
AFFLICT	IAV Neg SUPV Ngtv Strng Actv Intrel Hostile 	
AGGRAVATE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
AGGRESSOR	Neg Noun HU Hostile Exert Intrel 	
AGITATOR	Neg Noun HU Hostile Exert Intrel 	
AID	IAV Pos SUPV Intrel Affil Pstv Strng Actv 	16% verb: To give help 
ALIENATE	IAV Neg SUPV Affil Intrel Hostile Other 	
ALLIED	IAV Pos SUPV Intrel Affil Polit* Strng Pstv 	
ALLIES	Pos Noun HU Role Affil Intrel 	
ALLOT	IAV SUPV Intrel Power 	
ALLOW	IAV Pos SUPV Intrel Power Pstv Psv PFREQ 	97% verb: Permit 
ALLY	IAV SUPV Intrel Affil Polit* 	
ALONG	IAV SUPV Intrel Affil 	14% idiom-verb: 'get along'--co-exist or exist in harmony and comfort. 
ALTERCATION	Neg Noun Hostile Exert Intrel 	
AMBUSH	IAV Neg SUPV Intrel Hostile Milit Ngtv Strng Actv 	
AMELIORATE	IAV Pos SUPV Intrel Pstv Actv Affil 	
ANIMOSITY	Neg Noun Hostile Intrel Vice 	
ANNOY	IAV Neg SUPV Actv Hostile Intrel Other 	
ANTAGONIST	Neg Noun HU Hostile Intrel 	
ANTI-SOCIAL	IPadj Neg Modif Ovrst Intrel Vice 	
APOLOGETIC	IPadj Modif Pain Weak Subm Intrel 	
APOLOGIZE	IAV SUPV Subm Other Weak Intrel 	
APPEAL	IAV SUPV Legal Subm Psv Affil Intrel 	59% verb: To request a decision, help, sympathy, etc. (10), to arouse  a favorable response (9) 
APPOINT	DAV Pos SUPV Intrel Power Pstv Actv 	
APPRECIATIVE	IPadj Pos Modif Intrel Eval Pleasure 	
APPROPRIATE	IAV SUPV Intrel Power Strng 	
ARBITER	Pos Noun HU Role Solve Affil Intrel Comform 	
ARBITRATE	IAV Pos SUPV Actv Solve Affil Intrel Comform 	
ARBITRATION	Pos Noun Solve Affil Intrel Comform 	
ARM	IAV SUPV Intrel Milit Strng Actv Power 	1% verb: To equip with weapons 
ARMED	IAV SUPV ED Intrel Milit Strng Actv Power Hostile 	0% verb: To equip with weapons (past tense) 
ASSAIL	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ASSAULT	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ASSIST	IAV Pos SUPV Intrel Affil Pstv Strng Actv 	
ASSUME	IAV SUPV Intrel Power 	44% verb: To undertake, take over the duties of, or adopt 
ATTACHMENT	Pos Noun Emot Pleasure Affil Intrel 	
ATTACK	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	34% verb: To assault (physically or figuratively) 
ATTRACT	IAV Pos SUPV Intrel Affil Pstv Strng 	
AVERT	IAV Neg SUPV Intrel Hostile Weak Psv 	
AVOID	IAV Neg SUPV Intrel Hostile Ngtv Weak Psv 	verb: To keep away from, keep clear of 
AVOIDANCE	Neg Noun Hostile Ngtv Weak Psv Intrel 	
BACK	IAV Pos SUPV Intrel Affil Power Pstv Strng Actv 	1% verb: To support 
BACK	Pos Noun Power Pstv Strng Intrel Affil Actv 	0% noun: "Backing"--support 
BAND	IAV SUPV Intrel Affil Strng 	3% verb: To group together 
BANISH	Neg Modif Polit* Ngtv Strng Actv Intrel Power 	
BANISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
BANISHMENT	Neg Noun Power Intrel Affil Polit 	
BAR	DAV Neg SUPV Intrel Hostile Power Ngtv Strng Actv 	19% verb: To obstruct or exclude 
BARGAIN	IAV Pos SUPV Actv Comform Intrel Econ 	
BATTLE	DAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	14% verb: To engage in a fight 
BATTLEFIELD	Neg Noun Hostile Place Intrel Exert 	
BEFRIEND	IAV Pos SUPV Actv Affil Intrel 	
BEG	IAV Neg SUPV Intrel Subm Ngtv Weak Actv 	
BEHAVE	IAV SUPV Actv Intrel 	
BEHAVIOR	Noun Actv Intrel 	noun: Manner of behaving, conduct 
BELIE	IAV Neg SUPV Intrel Hostile Actv 	
BELIEVE	IAV SUPV Psv Intrel 	12% verb: To have specific confidence that someone is making a true statement  or that a statement is true 
BELITTLE	IAV Neg SUPV Hostile Ngtv Intrel 	
BELONG	IAV SUPV Intrel Subm Weak Psv PFREQ 	98% verb: To be in relation to something as owned or as a member or inhabitant 
BELT	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
BENEFIT	IAV Pos SUPV Intrel Affil Power Pstv Strng 	21% verb: Gain, do good for, to 
BESEECH	IAV Neg SUPV Intrel Subm Weak Actv 	
BESIEGE	IAV Neg SUPV Actv Hostile Exert Intrel 	
BESTOW	IAV Pos SUPV Intrel Power Pstv Strng Actv 	
BETRAY	IAV Neg SUPV Intrel Hostile Ngtv 	
BETRAYAL	Neg Noun Hostile Comform Intrel 	
BIT	IAV Neg SUPV ED Hostile Ngtv Actv Intrel 	7% verb: Past tense of "bite" 
BITCHY	IndAdj Neg Modif Arousal Hostile Intrel 	
BITE	IAV Neg SUPV Ngtv Actv Hostile Intrel 	74% verb: To grip, injure or cut off with or as with teeth 
