word	tags	comments
ACCUSE	Neg Modif Legal Ngtv Comform Hostile 	
ACQUIT	DAV Pos SUPV Legal Solve 	
ACQUITTAL	Pos Noun Legal Solve 	
ADVOCATE	Noun HU POLIT Legal Strng Actv Role 	
AGENT	Noun HU Legal Role 	
ALLEGATION	Neg Noun COM Comform Hostile Legal Ngtv 	
AMENDMENT	Noun POLIT COM Comform Legal Polit* 	
AMNESTY	Pos Noun Legal Doctr Power 	
ANTITRUST	IndAdj Neg Modif Polit Affil Legal 	
APPEAL	IAV SUPV Legal Subm Psv Affil Intrel 	59% verb: To request a decision, help, sympathy, etc. (10), to arouse  a favorable response (9) 
APPLY	DAV SUPV Legal Subm Comform Actv 	12% verb: To make application or request--'to apply for a job' 
ARREST	Neg Modif Hostile Legal Power Ngtv Strng Actv Exert 	15% noun-adj: Halting, seizure, usually by legal authority, seized, halted, stopped 
ARREST	DAV Neg SUPV Stay Hostile Legal Ngtv Strng Actv 	81% verb: To halt, stop, seize by legal authority 
ATTORNEY	Noun HU POLIT ECON Legal Power Role 	
AUDITOR	Noun HU ECON Econ* Power Legal Role 	
AUTHORITATIVE	IPadj Pos Modif Legal Ovrst Strng Virtue Power Doctr 	
AUTHORITY	Pos Noun Legal Power Strng 	
AUTHORIZE	Modif Power Strng Legal Comform 	
AUTHORIZE	IAV SUPV Power Strng Actv Comform Legal 	
AUTONOMOUS	IPadj Pos Modif Legal Power Undrst Strng 	
AX	IAV Neg SUPV Power Legal Work Actv 	
BAR	Noun HU COLL Legal 	4% noun: The legal profession 
BLAMELESS	IndAdj Pos Modif Eval Legal Virtue 	
BLUE	Noun COM Comform Legal 	0% noun-idiom: "Blue laws"--puritanical laws 
BREAK	IAV Neg SUPV Intrel Hostile Legal Ngtv Actv 	2% verb-idiom: "Break a law" 
BROKE	IAV Neg SUPV ED Intrel Hostile Legal Ngtv Actv 	1% idiom-verb: "Broke (broken) a law" 
CAPITAL	Neg Modif Vice Legal Ngtv 	3% adj: Punishable by death 
CASE	IAV SUPV Percv Legal 	0% verb: To examine or survey in planning a crime 
CERTIFICATE	Noun Object Legal Power Comnobj 	
CERTIFICATION	Noun Comform Power Legal Ovrst 	
CERTIFY	IAV SUPV Power Legal Ovrst Comform 	
CONSTABLE	Noun HU Legal Power Strng Role 	
CONTRACT	Noun COM ECON Econ* Legal Strng PFREQ Comform 	95% noun-adj: "Contract," "contracting"--a legally binding agreement;  the making of same (1) 
CONTRACT	IAV SUPV Work Legal 	5% verb: To engage in a legally binding agreement 
CONVICT	Neg Noun HU Legal Subm Ngtv Weak Psv Role 	
CONVICT	IAV Neg SUPV Intrel Hostile Legal Actv Ngtv Strng 	
COP	Noun HU POLIT Legal Power Strng Role 	
COUNSEL	Pos Noun HU Legal Pstv Role 	
COURT	Noun POLIT Legal HU COLL Polit* Strng 	65% noun-adj: A place where trials are held and the law is carried on--by  metonymy the process or authority of the law, or a given court or judge;  a sovereign entourage (3); a courtyard (0) 
COURT	Noun HU COLL POLIT Legal Power Strng Polit* 	26% idiom-noun: "Supreme court" 
CRIME	Neg Noun Vice POLIT Legal Ngtv 	
CRIMINAL	Neg Noun HU Modif Legal Ngtv Role Hostile 	
DEPOSITION	Noun COM Comform Legal Actv 	
DETECTIVE	Noun HU Legal Actv Role 	
DISCHARGE	IAV Neg SUPV Intrel Legal Ngtv Strng Actv Power 	
DISPUTABLE	Neg Modif Hostile Legal Ngtv Undrst Vice 	
DIVORCE	Neg Noun Hostile Kin* Legal Ngtv Vice 	84% noun: A legal marital separation 
DIVORCE	DAV Neg SUPV Intrel Hostile Kin* Legal Ngtv Actv 	14% verb: To separate, usually to dissolve a marriage 
DIVORCE	Neg Modif Hostile Kin* Legal Ngtv Intrel 	3% adj: "Divorced"--legally separated from a spouse 
ENTITLE	IAV SUPV Intrel Legal Power Strng 	
EQUITY	Pos Noun COM Comform ECON Econ* Legal Pstv 	
EVICT	IAV Neg SUPV Power Legal Exert 	
EVIDENCE	Noun Means Legal Strng 	83% noun: Something which tends to prove or suggest a fact 
EVIDENCE	IAV SUPV Legal Actv Strng Comform 	17% verb: To show, make evident 
EXCOMMUNICATION	Neg Noun Hostile Legal Affil 	
EYE	Noun HU Legal Handels Role 	1% idiom-noun: "Private eye" (handled by private) 
FAIR	Pos Modif Virtue EVAL Legal Pstv 	33% adj: Just, unbiased (includes comparative (1) + superlative (0)) 
FINE	Neg Noun COM Comform ECON Econ* Legal Ngtv 	0% noun: A violator's fee 
FINE	IAV Neg SUPV Exch Hostile Legal Econ* Ngtv Strng Actv 	0% verb: To levy a fee in punishment 
FUGITIVE	Neg Noun HU Travel Legal 	
GUARANTEE	Pos Noun COM Comform Power Pstv Strng Legal 	
GUARANTEE	IAV Pos SUPV Power Pstv Strng Legal Comform 	
GUILTY	IndAdj Neg Modif Vice EVAL Legal Ngtv Psv Causal Weak 	adj: Culpable 
HEAR	Noun Ritual Legal 	3% noun-adj: "Hearing"--formal examination, often public 
ILLEGAL	IndAdj Neg Modif Legal Vice Eval 	
ILLEGALITY	Neg Noun Vice Eval Legal 	
IMPRISON	IAV Neg SUPV Actv Other Power Legal 	
IMPRISONMENT	Neg Noun Weak Subm Legal 	
IMPUNITY	Pos Noun Power Legal 	
INC.	Modif ECON Econ* Legal HU COLL 	
INDICTMENT	Neg Noun COM Comform POLIT Hostile Legal Ngtv 	
INFRACTION	Neg Noun Legal 	
INFRINGEMENT	Neg Noun Hostile Ngtv Strng Actv Legal Vice 	
INJUNCTION	Neg Noun COM Comform Hostile Legal Ngtv Strng 	
INNOCENT	Pos Modif Virtue EVAL Legal Pstv 	
ISSUE	Noun Know POLIT Legal Actv COM PFREQ 	91% noun: A point in question or a matter that is in dispute 
JAIL	Neg Noun PLACE Social POLIT Legal Ngtv PFREQ 	96% noun: Prison 
JAIL	DAV Neg SUPV Intrel Hostile Legal Power Ngtv Strng Actv 	4% verb: To imprison 
JUDGE	IAV SUPV Legal Actv Solve Power Strng 	49% verb: To form an opinion, estimate, generally moral or evaluative,  usually about human matters; to pass sentence in a court of law (2) 
JUDGE	Noun HU POLIT Legal Power Strng Actv Role 	41% noun: An appointed legal arbitrator 
JUDGMENT	Noun COM Comform Legal 	79% noun: A decision, opinion, evaluation, verdict 
JUDICIAL	Modif Doctr POLIT Legal Strng 	
JUNTA	Noun HU COLL POLIT Legal Polit* Power 	
JURISDICTION	Noun Doctr POLIT Legal Polit* Power Strng 	
JUROR	Noun HU Legal Power Strng Role 	
JURY	Noun HU COLL POLIT Legal Power Strng 	
JUST	Pos Modif Virtue Legal Pstv 	1% adj: Fair, equitable, rightful 
JUST	Pos LY Virtue Legal Pstv 	0% adv: "Justly"--fairly, equitably, rightfully 
JUSTICE	Pos Noun ABS Abs* POLIT Doctr Legal Power Pstv 	
KIDNAP	IAV Neg SUPV Legal Hostile Fetch Other Actv 	
LAW	Pos Noun Doctr POLIT Legal Pstv 	noun adjective: The set of rules set up in a society and enforced by its  government; any set of rules governing a given system, such as those of  science (1); related compounds, treated by g.i. as separate words, are  listed below but not handled. 
LAWFUL	IndAdj Pos Modif Legal Virtue 	
LAWLESS	IndAdj Neg Modif Legal Hostile 	
LAWYER	Noun HU Legal Role 	noun: A person whose profession is to conduct lawsuits for clients in  a court of law or advise them in other legal matters. 
LEGAL	Pos Modif ECON POLIT Doctr Legal Pstv 	
LEGISLATION	Noun Doctr POLIT Legal Polit* Power Strng 	noun: A law or body of laws enacted 
LEGISLATIVE	Modif Doctr POLIT Legal Polit* Strng Power 	
LEGISLATOR	Noun HU POLIT Legal Power Strng Role Polit* 	
LEGITIMACY	Pos Noun Legal Virtue 	
LEGITIMATE	Pos Modif Virtue Legal Pstv 	
LICENSE	Noun Object COM Legal Comnobj 	
LITIGANT	Noun HU Hostile Legal Role 	
LITIGATION	Noun ECON POLIT Doctr Hostile Legal 	
MANSLAUGHTER	Neg Noun Hostile Legal Ngtv Vice 	
