word	tags	comments
ABSORB	Modif Means 	
ACCESS	Noun Means 	
ACCORD	Pos LY Means Pstv 	3% adv: "Of one's own accord"--voluntarily 
ADVANCE	Pos Noun Pstv Strng Actv Means 	20% noun-adj: A moving forward, improvement, approach, in front, prior 
ALONG	PREP LY Means 	79% prep-adverb: Through, beside, on, during, with progressive motion,  in accordance with. 
ALONGSIDE	PREP LY Means 	
ALTERNATE	Modif Means 	
APPLY	Modif Means 	3% adj: "Applied"--used in practice or to work out practical problems 
APPRAISAL	Noun Means Power 	
APPROACH	Pos Noun Pstv Psv Means Actv 	34% noun: The method used or steps taken in setting about a task, problem;  a coming toward 
ASCERTAINMENT	Noun Means Ovrst Actv 	
ASSESSMENT	Noun ECON Means 	
ATTEMPT	Noun Actv Means 	59% noun: A try or effort 
ATTEMPT	Modif Means 	1% adj: "Attempted"--essayed, ventured 
BALANCE	Modif Means Strng 	
BOOKKEEPING	Noun Means Econ* 	
BOUND	Modif Means 	15% adj: Headed, aimed, going--"bound for" 
BUDGET	Noun ECON Means Econ* 	
BUILD	Noun ECON Means Actv 	8% noun-adj: "Building"--construction 
BY	PREP LY Means 	prep-adv: By means of, indicates actor when used with passive voice, infrequently  used with reference to space, time, size 
CALCULATE	Modif Means Actv 	
CAMPAIGN	Noun POLIT Polit* Actv Power PFREQ Means 	95% noun: An effort toward a goal 
CAPABILITY	Pos Noun Means Power Strng Pstv 	noun: Power or potential 
CAPACITY	Noun Means Power Strng 	72% noun: Ability to do or hold 
CAPACITY	Noun Means 	24% noun: Position, role, status 
CAREER	Noun Means Econ* 	noun: General course of action or development of some phase of one's life,  especially the occupational. 
CASEWORK	Noun ECON Means 	
CHALLENGE	Neg Noun Ngtv Strng Means Actv 	72% noun: Confrontation, contest, difficult task, generally with a connotation  of provocativeness or stimulation 
CHARGE	Noun Means Power Strng 	35% noun: Authority, responsibility, custody 
CHECK	Noun Means Actv 	14% noun-adj: An investigation (0); a restraint (1); a mark or token of  verification, approval or custody (0) 
