word	tags	comments
AIR	Noun HU COLL POLIT Milit 	12% adj: "Air force," "air defense"--referring to airborne military divisions,  and operations 
AMBUSH	Neg Noun Ritual Hostile Milit Ngtv Strng Actv 	
AMBUSH	IAV Neg SUPV Intrel Hostile Milit Ngtv Strng Actv 	
AMMUNITION	Noun Object Tool Milit 	
ARM	Noun Object POLIT Tool Hostile Milit Strng Power 	16% noun: "Arms"--weapons 
ARM	IAV SUPV Intrel Milit Strng Actv Power 	1% verb: To equip with weapons 
ARMED	Modif Object Tool Milit Power Strng Hostile 	adj: Equipped with weapons 
ARMED	IAV SUPV ED Intrel Milit Strng Actv Power Hostile 	0% verb: To equip with weapons (past tense) 
ARMISTICE	Noun POLIT Ritual Affil Milit Polit* 	
ARMY	Noun HU COLL POLIT Milit Strng Power Hosti 	noun: The military forces of a nation 
ARROW	Noun Object Tool Hostile Milit 	noun: Straight, pointed weapon 
BATTLE	Neg Noun POLIT Ritual Milit Ngtv Strng Actv 	86% noun-adj: Contest or fight, pertaining to same 
BOMB	Neg Noun Object POLIT Tool Hostile Milit Ngtv Strng 	
BOMB	DAV Neg SUPV Intrel Hostile Milit Ngtv Strng Actv 	
BOW	Noun Object Tool Milit PFREQ 	89% noun: Anything curved or bent, includes bow and arrow (13); forepart  of a ship (2); bowknot (1); inclination of the head or body (3) 
CANNON	Neg Noun Object Tool Hostile Milit Ngtv Strng 	
CASTLE	Noun PLACE Social Milit 	
CAVALRY	Noun HU COLL POLIT Milit Strng 	
CIVIL	Noun Milit POLIT Ritual 	4% idiom-noun: "Civil war" 
CLUB	Neg Noun Object Tool Hostile Milit Ngtv Strng 	8% noun: A heavy stick suitable for use as a weapon 
COLONEL	Noun HU POLIT Milit Power Strng Role 	
COMMANDER	Noun HU POLIT Milit Power Strng Actv Role 	
CORPORAL	Noun HU Milit Power Strng Role 	
CORPS	Noun HU COLL POLIT ECON Milit 	7% noun: A unit or group, usually of the military 
COUP	Noun Milit Ritual Hostile 	
DESTROYER	Noun Object Vehicle Milit 	
DISCHARGE	Neg Noun Ngtv Strng Actv Ritual Milit Polit* Power 	
DRAFT	Noun POLIT Ritual Milit Polit* Power 	
FIGHT	Neg Noun Ritual Hostile Milit Ngtv Strng Actv 	24% noun: Conflict 
FLEET	Noun HU COLL POLIT Milit Strng 	
FORCE	Noun HU COLL POLIT Milit Strng 	24% noun: A body of men, usually military, "the armed forces" 
FORT	Noun PLACE Social POLIT Milit Strng 	
GENERAL	Noun HU POLIT Milit Power Strng Role 	10% noun: A very high military rank--having extended command or superior  rank (e.g. general chairman) 
GRENADE	Noun Object Tool Hostile Milit 	
GUARD	IAV SUPV Intrel Affil Milit Power Strng Actv 	55% verb: To protect or watch out for 
GUARD	Noun HU Milit Strng Role 	32% noun: Someone or something that guards 
GUERRILLA	Neg Noun HU POLIT Hostile Milit Ngtv Strng Actv 	
