word	tags	comments
BILLION	DET NUMB CARD ECON Quan Ovrst 	
DOZEN	DET NUMB CARD Quan 	
EIGHT	DET NUMB CARD Quan 	noun-adj: Cardinal number 
EIGHTEEN	DET NUMB CARD Quan 	noun-adj: Cardinal number 
EIGHTEENTH	DET NUMB ORD Quan 	
EIGHTH	DET NUMB ORD POS PFREQ Rel 	95% noun-adj: The ordinal number 
EIGHTY	DET NUMB CARD Quan 	
ELEVEN	DET NUMB CARD Quan 	
FIFTEEN	DET NUMB CARD Quan 	noun-adj: Cardinal number 
FIFTEENTH	DET NUMB ORD Rel 	
FIFTY	DET NUMB CARD Quan 	noun-adj: Cardinal number 
FINAL	DET NUMB ORD POS Modif Time* Ovrst Strng 	24% adjective: Last, eventual, terminal 
FIRST	DET NUMB ORD POS Modif Rel 	61% adj: Initial, foremost 
FIVE	DET NUMB CARD Quan 	noun-adj: The cardinal number 
FOLLOW	DET ORD NUMB POS 	11% adj-noun: "Following"--that which comes immediately after or next  in order or time, ensuing 
FORMER	DET NUMB ORD PRE PRE2 Modif Time* 	76% adj: Previous 
FORTY	DET NUMB CARD Quan 	
FOUR	DET NUMB CARD Quan 	noun-adj: The cardinal number 
FOURTEEN	DET NUMB CARD Quan 	noun-adj: The cardinal number 
HALF	DET PRE PRE2 CARD NUMB Quan 	36% adj: Of two equal parts of something (includes "half an acre," etc.) 
HUNDRED	DET NUMB CARD PFREQ Quan Ovrst 	92% noun-adj: The cardinal number 
LAST	DET NUMB ORD Modif Time* 	45% adj: Previous, past, prior, most recent 
LAST	DET NUMB ORD POS Modif Ovrst Rel 	28% adj-adv: Final, finally 
MILLION	DET NUMB CARD Ovrst Quan 	noun: The cardinal number 
NEXT	DET NUMB ORD POS Modif Time* 	81% adj-adv: Immediately succeeding in some sequence, usually temporal-- 95 percent 
NINE	DET NUMB CARD Quan 	noun-adj: The number 
NINETEEN	DET NUMB CARD Quan 	noun-adj: The number 
NINETY	DET NUMB CARD Quan 	
ONE	DET NUMB CARD PRE PRE1 Modif Quan 	32% adj: Single; of a single nature; a certain, first, only 
PRIOR	DET NUMB ORD Modif Time* 	
QUARTER	DET NUMB CARD Quan 	56% noun: The fraction - one fourth 
SECOND	DET NUMB ORD POS PRON PFREQ Rel 	84% pron-adj-adv: Unit of series following the first 
SEVEN	DET NUMB CARD Quan 	noun-adj: The cardinal number 
SEVENTEEN	DET NUMB CARD Quan 	
SEVENTY	DET NUMB CARD Quan 	
SIX	DET NUMB CARD Quan 	noun: Cardinal number 
SIXTEEN	DET NUMB CARD Quan 	
SIXTY	DET NUMB CARD Quan 	noun-adj: Cardinal number 
SUBSEQUENT	DET NUMB ORD Modif Time* 	
SUCCEED	DET NUMB ORD Modif Time* 	6% adj: "Succeeding"--following 
TEN	DET NUMB CARD Quan 	noun-adj: Numeral. 
THIRD	DET NUMB ORD POS PFREQ Rel 	83% noun-adj: The ordinal number 
THIRTEEN	DET NUMB CARD Quan 	noun adjective: The cardinal number 
THIRTY	DET NUMB CARD Quan 	noun-adj: The cardinal number 
THOUSAND	DET NUMB CARD Quan Ovrst 	75% noun-adj: The cardinal number 
THREE	DET NUMB CARD Quan 	noun-adj: The cardinal number 
TRILLION	DET NUMB CARD ECON Ovrst Quan 	
TWELVE	DET NUMB CARD Quan 	noun-adj: The cardinal number 
TWENTY	DET NUMB CARD Quan 	noun-adj: The cardinal number 
TWO	DET NUMB CARD Quan 	noun-adj: The cardinal number 
ZERO	DET NUMB CARD Quan 	
