word	tags	comments
AGE	DAV SUPV Natpro 	0% verb: To grow old 
ALIVE	Pos Modif Natpro Strng Actv Pstv 	adjective: Living, existing, full of life. 
ASLEEP	LY Weak Psv Natpro 	adj-adv: In or into a state of sleep 
ATE	DAV SUPV ED Actv Natpro 	verb: Past tense of eat, consumed. 
AWAKE	DAV SUPV Exert Natpro 	
BATHE	DAV SUPV Natpro 	
BATHROOM	DAV SUPV Natpro 	32% verb: "To go to the bathroom" 
BEAM	Noun Natpro 	
BEAR	DAV SUPV Natpro 	7% verb: To give birth, produce by natural process 
BIRTH	Noun Natpro 	67% noun: Event of being born, any event of origin or creation 
BIRTH	DAV SUPV Natpro 	33% verb-idiom: "Give birth"--to bear, or to create, bring about 
BITE	Neg Noun Ngtv Hostile Actv Natpro 	22% noun-adj: Act of cutting or gripping with or as with teeth, the resulting  wound or amount cut off 
BLACK	IAV SUPV Natpro 	0% verb-idiom: "Black out"--to lose consciousness 
BLAST	Neg Noun Natpro Ngtv Strng Actv 	
BLEED	Modif Weak Psv Natpro 	
BLEED	DAV SUPV Weak Psv Natpro 	
BLINK	Noun Psv Natpro 	
BLINK	DAV SUPV Psv Natpro 	
BLOODY	Neg Modif Ngtv Natpro 	
BOIL	Noun Natpro Actv 	
BORE	DAV SUPV ED Natpro 	9% verb: Gave birth, produced by natural process 
BORN	Modif Psv Natpro 	adjective: Brought forth by birth 
BREATH	Noun Natpro 	
BREATH	DAV SUPV Natpro 	
BREED	Noun Natpro 	
BUBBLE	Noun Natpro 	
BUBBLE	IAV SUPV Natpro 	
BURN	DAV Neg SUPV Natpro Ngtv Actv PFREQ 	89% verb: To consume or injure with fire 
BURN	Neg Noun Natpro Ngtv Actv 	6% noun-adj: "Burning"--on fire (3); intense (1); the state, process,  sensation or effect of being on fire or subjected to intense heat (0) 
CASUALTY	Neg Noun HU Natpro Finish 	
CHILL	IAV SUPV Natpro 	
CLICK	IAV SUPV Natpro 	
COINCIDENT	Pos Noun Natpro Rel Actv 	
COMBUSTION	Noun Natpro Strng Actv 	
COMESTIBLE	IndAdj Pos Modif Natpro Pleasure 	
COMPRESSION	Noun Natpro Strng Actv 	
CONCENTRATE	Noun Natpro Strng Actv 	
CONDENSATION	Noun Natpro Psv 	
CONDITION	Noun ABS Abs* Natpro Psv PFREQ 	95% noun: A general or specific state of existence, often set as a prerequisite  for some future action 
CONVULSE	IAV SUPV Natpro 	
COOL	IAV Neg SUPV Natpro Modif Ngtv Psv 	
CROAK	IAV Neg SUPV Psv Natpro Finish 	
CYCLE	Noun ABS Abs* Natpro 	
DARKEN	IAV Neg SUPV Ngtv Natpro 	
DEAD	Neg Modif Natpro Ngtv Weak Psv 	adj: Not living; very rarely, absolute--"dead center," the heart of --"the  dead of winter" (0) 
DEATH	Neg Noun ABS Abs* Ngtv Weak Psv Natpro 	noun-adj: End of life, and thereafter 
DECOMPOSE	IAV Neg SUPV Psv Natpro Decr 	
DIE	DAV SUPV Natpro 	verb: To cease to live, exist or function 
DIET	IAV SUPV Natpro 	
DISSOLVE	Modif Natpro Strng Actv 	
DRANK	DAV SUPV ED Actv Natpro 	verb: Past tense of "drink"--imbibed 
DREAM	Noun Psv Natpro 	43% noun: A fantasy or series of images usually formed during sleep 
DREAM	DAV SUPV Psv Natpro 	56% verb: To create fantasies, to create or recreate by conscious or subconscious  imagination 
DREAMT	DAV SUPV ED Psv Natpro 	verb: Past tense of dream. 
DRINK	DAV SUPV Actv Natpro 	68% verb: To imbibe 
DRINK	Noun Actv Natpro 	10% noun-adj: "Drinking"--imbibing 
DRIP	Noun Natpro 	
DRIP	DAV SUPV Natpro 	
DRIVE	Noun Power Actv Strng Natpro 	6% noun-adj: Energy, need, motive ("sex drive") 
DRIZZLE	Noun Natpro 	
DRIZZLE	DAV SUPV Natpro 	
DROWN	Neg Noun Natpro Ngtv Weak Psv 	0% noun-adj: A suffocation by water--killed by such an act--"the drowned child" 
DROWN	DAV Neg SUPV Ngtv Weak Psv Natpro 	verb: To die by suffocation in water, generally by accident 
DROWSINESS	Neg Noun Psv Natpro 	
DROWSY	IndAdj Neg Modif Psv Natpro 	
DRUNK	DAV SUPV ED Natpro 	7% verb: Imbibed (past tense of "drink") 
DRY	DAV SUPV Natpro 	35% verb: To make free from moisture 
DYING	SV Neg SUPV ING Natpro Ngtv Weak Psv PFREQ 	87% verb: Ceasing to live or exist; eager (with "to") (1) 
DYING	IndAdj Neg Modif Natpro Ngtv Weak Psv 	13% noun-adj: The process of ceasing to live, in this process 
EAT	DAV SUPV Actv PFREQ Natpro 	98% verb: To devour 
EAT	Noun Actv Natpro 	2% noun-adj: "Eating"--the consumption of food or having to do with same 
EDIBLE	IndAdj Pos Modif Natpro Eval Qual 	
ELECTRICAL	Modif Natpro 	
ELECTRICITY	Noun Natpro 	
ENERGY	Noun Natpro Strng 	noun: Capacity for work, activity, etc. 
ENTROPY	Noun Natpro 	
EPIDEMIC	Neg Noun Natpro Qual 	
EXIST	IAV SUPV Natpro 	77% verb: To live, to be 
EXIST	Modif Natpro 	23% adj: "Existing"--extant 
EXISTENCE	Noun ABS Abs* Natpro 	noun: The state or quality of being, life 
EXPLOSION	Neg Noun Natpro Ngtv Actv Strng 	
EXPLOSIVE	Neg Modif Natpro Ngtv Actv Strng 	
FALL	IAV SUPV Psv Natpro 	4% verb-idiom: 'fall asleep' 
FALLOUT	Neg Noun Natpro POLIT Hostile Ngtv 	
FAMISHED	IndAdj Neg Modif Natpro Need 	
FAST	DAV SUPV Strng Actv Natpro 	4% verb: To abstain from eating 
FATAL	IndAdj Neg Modif Finish Natpro 	
FED	DAV SUPV ED Natpro 	72% verb-adj: Provided something necessary for growth 
FEED	DAV SUPV Natpro 	4% verb: To eat, derive sustenance from 
FEED	Modif Natpro 	9% noun-adj: "Feeding" - of or pertaining to supplying nourishment 
FELL	IAV SUPV Natpro 	2% verb-idiom: "Fell asleep" 
FIRE	Noun Natpro 	67% noun-adj: A burning mass of material, or pertaining to fires 
FIRE	Modif Natpro 	4% idiom-adj-adv: 'on fire'--ablaze 
FISSION	Noun Natpro 	
FITNESS	Pos Noun Natpro Strng 	
FLAME	Noun Natpro 	
FLASH	Noun Natpro Actv 	
FLOWER	IAV SUPV Natpro 	0% verb: To bloom 
FLOWER	Modif Natpro 	0% noun-adj: "Flowering"--blooming 
FLUID	Noun Natpro 	
FORCE	Noun Natpro Power Strng 	29% noun: Strength, power, energy, a specific power or drive 
FRICTION	Noun Natpro 	
FRIGID	IndAdj Neg Modif Natpro 	
FUCK	IAV SUPV Intj Strng Actv Natpro 	
FUME	IAV SUPV Natpro 	
GAS	Noun Natpro 	
GASH	Neg Noun Pain Natpro 	
GASP	DAV SUPV Natpro 	
GENETIC	Modif Kin* Natpro 	
GLEAM	IAV Pos SUPV Pstv Natpro 	
GLOW	IAV Pos SUPV Pstv Natpro 	
GRAVITATIONAL	Modif Natpro Strng 	
GRAVITY	Noun Natpro Strng 	
HEAL	IAV Pos SUPV Power Pstv Strng Natpro Change 	
