word	tags	comments
ABANDON	IAV Neg SUPV Fail Ngtv Weak 	
ABANDONMENT	Neg Noun Fail Weak 	
ABATE	IAV Neg SUPV Decr Psv 	
ABDICATE	IAV Neg SUPV Finish Weak Psv Subm 	
ABHOR	SV Neg SUPV Hostile Psv Arousal 	
ABJECT	IPadj Neg Modif Psv Subm Weak Vice 	
ABNORMAL	Neg Modif Vice Ngtv 	
ABOLISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
ABOMINABLE	IndAdj Neg Modif Eval Vice Strng Ovrst 	
ABRASIVE	IPadj Neg Modif Vice Hostile Strng 	
ABRUPT	Neg Modif Time* Ngtv 	
ABSCOND	IAV Neg SUPV Travel Subm Weak Hostile Actv 	
ABSENCE	Neg Noun Weak Fail 	
ABSENT	IndAdj Neg Modif Weak Psv Fail 	
ABSENT-MINDED	IndAdj Neg Modif Weak Psv Fail 	
ABSENTEE	Neg Noun Hostile Weak Fail Intrel Vice 	
ABSURD	Neg Modif Vice Ngtv Ovrst 	
ABSURDITY	Neg Noun Vice 	
ABUSE	Neg Noun Vice Ngtv Hostile Actv 	
ABUSE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ABYSS	Neg Noun Ngtv PLACE Land 	
ACCIDENT	Neg Noun Ngtv Causal Undrst 	noun: An unfortunate happening, unintentionally caused and unexpected 
ACCOST	IAV Neg SUPV Exert Hostile Actv 	
ACCURSED	IPadj Neg Modif Vice Hostile 	
ACCUSATION	Neg Noun Comform Hostile Intrel 	
ACCUSE	Neg Modif Legal Ngtv Comform Hostile 	
ACCUSE	IAV Neg SUPV Hostile Ngtv Comform 	
ACHE	SV Neg SUPV Pain Psv 	
ACRIMONIOUS	IPadj Neg Modif Hostile Arousal 	
ACRIMONY	Neg Noun Hostile Psv Arousal Vice 	
ADDICT	Neg Noun Need Weak HU 	
ADDICTION	Neg Noun Need Weak Ovrst 	
ADMONISH	IAV Neg SUPV Intrel Hostile Power Strng Actv 	
ADMONITION	Neg Noun Comform Actv 	
ADULTERATE	IAV Neg SUPV Change Exert 	
ADULTERATION	Neg Noun Vice Change 	
ADULTERY	Neg Noun Vice Intrel 	
ADVERSARY	Neg Noun Intrel HU Polit Role Hostile 	
ADVERSE	Neg Modif Vice Ngtv 	
ADVERSITY	Neg Noun Vice 	
AFFECTATION	Neg Noun Vice 	
AFFLICT	IAV Neg SUPV Ngtv Strng Actv Intrel Hostile 	
AFFLICTION	Neg Noun Ngtv Weak Vice Psv 	
AFRAID	Neg LY Negate Ngtv Weak 	1% idiom: "Afraid not" 
AGAINST	Neg PREP Ngtv 	prep: In opposition to, adverse or hostile to 
AGGRAVATE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
AGGRAVATION	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSION	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSIVE	Neg Modif EMOT Hostile Ngtv Strng Actv PFREQ V 	adjective: Characterized by aggression, tending to aggress, making the  first attack, energetic, vigorous. 
AGGRESSIVENESS	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSOR	Neg Noun HU Hostile Exert Intrel 	
AGGRIEVE	SV Neg SUPV Hostile Actv Comform 	
AGHAST	IPadj Neg Modif Vice Ovrst 	
AGITATE	IAV Neg SUPV Exert Ngtv Strng Actv 	
AGITATION	Neg Noun Ngtv Strng Actv Vice 	
AGITATOR	Neg Noun HU Hostile Exert Intrel 	
AGONIZE	SV Neg SUPV Pain Psv 	
AGONY	Neg Noun Ngtv Pain 	
AIL	SV Neg SUPV Pain Psv 	
AILMENT	Neg Noun Pain 	
AIMLESS	IndAdj Neg Modif Subm Psv Fail 	
ALARM	IAV Neg SUPV Ngtv Actv Comform 	
ALARMING	IndAdj Neg Modif Vice Ovrst 	
ALAS	Neg Intrj Ovrst 	
ALIBI	Neg Noun Comform Subm Psv Weak 	
ALIEN	Neg Noun HU POLIT Ngtv Role 	
ALIENATE	IAV Neg SUPV Affil Intrel Hostile Other 	
ALIENATION	Neg Noun ABS Abs* EMOT Vice Ngtv 	
ALLEGATION	Neg Noun COM Comform Hostile Legal Ngtv 	
ALLEGE	IAV Neg SUPV Comform Weak Undrst 	
ALOOF	IPadj Neg Modif Undrst Feeling Psv 	
ALTERCATION	Neg Noun Hostile Exert Intrel 	
AMBIGUITY	Neg Noun Undrst Ngtv Percv 	
AMBIGUOUS	Neg Modif Percv Undrst Ngtv 	
AMBIVALENT	Neg Modif EMOT Ngtv Weak Pain 	
AMBUSH	Neg Noun Ritual Hostile Milit Ngtv Strng Actv 	
AMBUSH	IAV Neg SUPV Intrel Hostile Milit Ngtv Strng Actv 	
AMISS	Neg LY Ngtv Vice 	
AMPUTATE	IAV Neg SUPV Decr Actv 	
ANARCHIST	Neg Noun HU Hostile Polit Doctr 	
ANARCHY	Neg Noun Hostile Polit Ovrst 	
ANGER	Neg Noun EMOT Hostile Ngtv Actv PFREQ Arousal 	86% noun: Wrath, ire. 
ANGER	IAV Neg SUPV Hostile Ngtv Arousal 	14% verb: To make angry. 
ANGRY	Neg Modif EMOT Hostile Ngtv Actv Arousal 	adjective: Feeling anger or resentment 
ANGUISH	Neg Noun EMOT Hostile Ngtv Psv Pain 	
ANIMOSITY	Neg Noun Hostile Intrel Vice 	
ANNIHILATE	IAV Neg SUPV Hostile Finish Exert Actv 	
ANNIHILATION	Neg Noun Vice Finish Hostile 	
ANNOY	IAV Neg SUPV Actv Hostile Intrel Other 	
ANNOYANCE	Neg Noun EMOT Hostile Ngtv Arousal 	
ANOMALOUS	IPadj Neg Modif Rel 	
ANOMALY	Neg Noun Rel Undrst 	
ANTAGONISM	Neg Noun EMOT Hostile Ngtv Arousal Strng Actv 	
ANTAGONIST	Neg Noun HU Hostile Intrel 	
ANTAGONISTIC	Neg Modif EMOT Hostile Ngtv Strng Arousal Actv 	
ANTAGONIZE	IAV Neg SUPV Ngtv Strng Actv Arousal Hostile 	
ANTI-SOCIAL	IPadj Neg Modif Ovrst Intrel Vice 	
ANTIPATHY	Neg Noun Vice Undrst Feeling 	
ANTIQUATED	IPadj Neg Modif Weak Time 	
ANTITRUST	IndAdj Neg Modif Polit Affil Legal 	
ANXIETY	Neg Noun EMOT Ngtv Weak Psv Pain 	noun: Mental distress or uneasiness caused by apprehension of danger or misfortune. 
