word	tags	comments
ACCOUNT	LY Ovrst FREQ Negate 	3% adv: "On no account"--under no circumstances 
AFRAID	Neg LY Negate Ngtv Weak 	1% idiom: "Afraid not" 
AIN'T	SV SUPV VERB BE NEG Negate 	
AVERSION	Neg Noun Negate Psv Hostile Arousal 	
CAN'T	SV SUPV VERB MOD NEG Weak Negate 	verb: Contraction of "cannot" 
CANNOT	SV Negate SUPV VERB MOD NEG Weak 	verb: A form of can not. 
CEASELESS	IndAdj Pos Modif Negate Freq 	
CONTRADICTORY	Neg Noun COM Comform Negate Ngtv Ovrst 	
CONTRARY	Neg Modif Negate Ngtv 	
COUNTERACT	IAV Neg SUPV Ngtv Strng Actv Negate Decr 	
COUNTERACTION	Neg Noun Ngtv Strng Actv Negate Decr 	
DISADVANTAGE	Neg Noun Vice Ngtv Weak Negate 	
DISADVANTAGEOUS	Neg Modif EVAL Negate Ngtv Weak Vice 	
DISAGREEABLE	Neg Modif Hostile Negate Ngtv Pain 	
DISAGREEMENT	Neg Noun COM Comform Hostile Negate Ngtv 	
DISAPPROVE	IAV Neg SUPV Negate Hostile Comform Ngtv 	
DISAVOW	IAV Neg SUPV Negate Ngtv Comform Hostile 	
DISAVOWAL	Neg Noun COM Comform Negate Ngtv Hostile 	
DISBELIEF	Neg Noun Doctr Negate Ngtv Undrst Hostile 	
DISCOMFORT	Neg Noun Negate Ngtv Pain 	
DISCONTENT	Neg Modif Ngtv Weak Psv Pain Negate 	
DISCONTINUE	Modif Negate Finish 	
DISCONTINUE	IAV SUPV Finish Negate 	
DISCOUNT	IAV SUPV Decr Negate Psv 	
DISCOURAGE	Neg Modif EMOT Pain Negate Ngtv Psv 	
DISCOURAGE	IAV Neg SUPV Negate Ngtv Actv Pain Hostile 	
DISLIKE	DAV Neg SUPV Negate Ngtv Psv Hostile Arousal 	71% verb: To have an aversion toward 
DISLIKE	Neg Modif EMOT Ngtv Hostile Psv Arousal Negate 	29% noun: An aversion 
DISORDER	Neg Noun Negate Ngtv Weak Vice 	
DISORGANIZED	IndAdj Neg Modif Ngtv Weak Psv Vice Negate 	
DISPLEASURE	Neg Noun EMOT Hostile Pain Negate Ngtv Weak Psv 	
DISPROVE	IAV Neg SUPV Solve Negate Ngtv Actv 	
DISPUTE	Neg Noun Comform Hostile POLIT Ngtv COM Negate Actv 	
DISPUTE	IAV Neg SUPV Comform Hostile POLIT Ngtv COM Negate Actv 	
DISSIMILAR	Modif Negate Rel 	
DON'T	SV SUPV DO VERB NEG LY Negate 	
IMPATIENCE	Neg Noun Negate Ngtv Psv Arousal Hostile 	
IMPLAUSIBILITY	Noun Negate Causal 	
IMPLAUSIBLE	Modif Negate Causal 	
IMPOSSIBILITY	Noun Negate Causal Undrst 	
IMPOSSIBLE	Modif Causal Negate PFREQ Undrst 	94% adjective: Not able to be done, happen, etc. 
IMPOSSIBLE	Noun Negate Subm Causal 	6% noun: That which cannot be done 
IMPROBABILITY	Noun Negate Causal Undrst 	
IMPROBABLE	Modif Negate Causal Undrst 	
INABILITY	Neg Noun Negate Ngtv Weak Psv Vice 	
INACCESSIBLE	IPadj Neg Modif Negate Eval Vice 	
INADEQUATE	IndAdj Neg Modif Vice EVAL Negate Ngtv Weak Subm Psv 	
INCALCULABLE	Modif Negate Undrst Quan 	
INCAPABLE	Neg Modif Vice EVAL Ngtv Weak Psv Subm Negate 	
INCOMPATIBILITY	Neg Noun Negate Ngtv Vice 	
INCOMPATIBLE	Neg Modif Negate Ngtv Vice 	
INCOMPLETE	Modif Negate Weak Quan 	
INCONCEIVABLE	Modif Negate Ovrst Know 	
INCONTESTABILITY	Noun Negate Ovrst Know 	
INCONTESTABLE	Modif Negate Ovrst Know 	
INCORRECT	Neg Modif Negate Ngtv Weak Vice Undrst 	
INCREDIBILITY	Modif Ovrst Know Negate 	
INCREDIBLE	Neg Modif EVAL Negate Ngtv Ovrst Know 	
INDECISION	Noun Negate Weak Psv Undrst Vice 	
INDECISIVE	Modif Negate Weak Psv Undrst Vice 	
INDECISIVENESS	Noun Negate Weak Psv Undrst Vice 	
INDEFINITE	Neg Modif Negate Ngtv Psv Undrst Vice 	
INDESCRIBABLE	IndAdj Pos Modif Negate Comform Eval Qual 	
INDIFFERENT	IndAdj Neg Modif Emot Negate 	
INDIRECT	Modif Means Negate Weak Undrst 	
INDISPUTABLE	Modif Negate Ovrst Strng Virtue 	
INDISTINCT	Modif Percv Undrst Negate 	
INDISTINGUISHABLE	Modif Percv Negate Undrst 	
INEXACT	Neg Modif Negate Vice Ngtv Undrst 	
INEXPENSIVE	IndAdj Pos Modif Econ Negate 	
INEXPLICABLE	Neg Modif Causal Negate Ngtv 	
INFALLIBLE	Pos Modif Negate Ovrst Pstv Strng Virtue 	
INFORMAL	Modif Affil Know Negate 	
INFREQUENT	Modif FREQ Negate Undrst 	
INNUMERABLE	Modif Quan Ovrst Negate Strng 	
INSECURE	Neg Modif Negate Ngtv Weak Psv Vice Undrst 	
INSECURITY	Neg Noun Negate Ngtv Weak Psv Vice Undrst 	
INSEPARABLE	IPadj Pos Modif Negate Affil Intrel 	
INSIGNIFICANT	Neg Modif Negate Ngtv Weak EVAL Undrst Vice 	
INSTABILITY	Neg Noun Negate Vice Ngtv Weak Psv 	
INSTABLE	Neg Modif Negate Vice Ngtv Weak Psv 	
INSUFFICIENT	Neg Modif Vice EVAL Ngtv Weak Negate 	
INTANGIBLE	Modif Qual Negate 	
INVARIABLE	Modif Negate Persist Strng Ovrst 	
INVARIABLY	LY Ovrst Persist Strng Negate 	
INVINCIBLE	IndAdj Pos Modif Strng Power Virtue Negate 	
INVISIBLE	IndAdj Neg Modif Percv Negate 	
INVOLUNTARY	IndAdj Neg Modif Feel Negate 	
INVULNERABLE	IndAdj Pos Modif Strng Power Virtue Negate 	
IRREFUTABLE	Modif Negate Ovrst Strng Know 	
IRREGULAR	Neg Modif Negate Ngtv Vary 	
IRREGULARITY	Neg Noun Qual Negate Ngtv 	
IRRESISTIBLE	IPadj Pos Modif Negate Need Eval 	
IRRESPONSIBLE	Neg Modif Vice EVAL Negate Ngtv Weak 	
LEAST	LY Negate Ovrst 	4% idiom-adv: '(not) in the least,' (not) at all 
LULL	Neg Noun Stay Work Negate 	
MATCHLESS	IndAdj Pos Modif Ovrst Negate 	
