word	tags	comments
ABANDON	IAV Neg SUPV Fail Ngtv Weak 	
ABNORMAL	Neg Modif Vice Ngtv 	
ABOLISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
ABRUPT	Neg Modif Time* Ngtv 	
ABSURD	Neg Modif Vice Ngtv Ovrst 	
ABUSE	Neg Noun Vice Ngtv Hostile Actv 	
ABUSE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ABYSS	Neg Noun Ngtv PLACE Land 	
ACCIDENT	Neg Noun Ngtv Causal Undrst 	noun: An unfortunate happening, unintentionally caused and unexpected 
ACCUSE	Neg Modif Legal Ngtv Comform Hostile 	
ACCUSE	IAV Neg SUPV Hostile Ngtv Comform 	
ADVERSE	Neg Modif Vice Ngtv 	
AFFLICT	IAV Neg SUPV Ngtv Strng Actv Intrel Hostile 	
AFFLICTION	Neg Noun Ngtv Weak Vice Psv 	
AFRAID	Neg LY Negate Ngtv Weak 	1% idiom: "Afraid not" 
AGAINST	Neg PREP Ngtv 	prep: In opposition to, adverse or hostile to 
AGGRAVATE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
AGGRAVATION	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSION	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSIVE	Neg Modif EMOT Hostile Ngtv Strng Actv PFREQ V 	adjective: Characterized by aggression, tending to aggress, making the  first attack, energetic, vigorous. 
AGGRESSIVENESS	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGITATE	IAV Neg SUPV Exert Ngtv Strng Actv 	
AGITATION	Neg Noun Ngtv Strng Actv Vice 	
AGONY	Neg Noun Ngtv Pain 	
ALARM	IAV Neg SUPV Ngtv Actv Comform 	
ALIEN	Neg Noun HU POLIT Ngtv Role 	
ALIENATION	Neg Noun ABS Abs* EMOT Vice Ngtv 	
ALLEGATION	Neg Noun COM Comform Hostile Legal Ngtv 	
AMBIGUITY	Neg Noun Undrst Ngtv Percv 	
AMBIGUOUS	Neg Modif Percv Undrst Ngtv 	
AMBIVALENT	Neg Modif EMOT Ngtv Weak Pain 	
AMBUSH	Neg Noun Ritual Hostile Milit Ngtv Strng Actv 	
AMBUSH	IAV Neg SUPV Intrel Hostile Milit Ngtv Strng Actv 	
AMISS	Neg LY Ngtv Vice 	
ANGER	Neg Noun EMOT Hostile Ngtv Actv PFREQ Arousal 	86% noun: Wrath, ire. 
ANGER	IAV Neg SUPV Hostile Ngtv Arousal 	14% verb: To make angry. 
ANGRY	Neg Modif EMOT Hostile Ngtv Actv Arousal 	adjective: Feeling anger or resentment 
ANGUISH	Neg Noun EMOT Hostile Ngtv Psv Pain 	
ANNOYANCE	Neg Noun EMOT Hostile Ngtv Arousal 	
ANTAGONISM	Neg Noun EMOT Hostile Ngtv Arousal Strng Actv 	
ANTAGONISTIC	Neg Modif EMOT Hostile Ngtv Strng Arousal Actv 	
ANTAGONIZE	IAV Neg SUPV Ngtv Strng Actv Arousal Hostile 	
ANXIETY	Neg Noun EMOT Ngtv Weak Psv Pain 	noun: Mental distress or uneasiness caused by apprehension of danger or misfortune. 
ANXIOUS	Neg Modif EMOT Ngtv Weak Psv Pain 	21% adjective: Apprehensive, worried 
ANXIOUS	Neg Modif Ngtv Weak Psv Pain 	13% adverb: "Anxiously"--nervously, excitedly 
ANXIOUSNESS	Neg Noun EMOT Ngtv Weak Psv Pain 	
APPALL	Neg Modif Vice Ngtv 	
APPALL	IAV Neg SUPV Ngtv Comform 	
APPREHENSION	Neg Noun EMOT Pain Ngtv Strng Actv 	
ARBITRARY	Neg Modif Vice Ngtv Undrst 	
ARGUE	IAV Neg SUPV Hostile Ngtv Actv Comform 	44% verb: To dispute, to contend in argument--'they argue a lot' (sense  of animosity) 
ARGUMENT	Neg Noun COM Comform Hostile Ngtv Actv 	63% noun: A (heated) discussion involving different points of view 
ARREST	Neg Modif Hostile Legal Power Ngtv Strng Actv Exert 	15% noun-adj: Halting, seizure, usually by legal authority, seized, halted, stopped 
ARREST	DAV Neg SUPV Stay Hostile Legal Ngtv Strng Actv 	81% verb: To halt, stop, seize by legal authority 
ARROGANT	Neg Modif Ngtv Strng Vice 	
ARTIFICIAL	Neg Modif Vice Ngtv 	
ASHAMED	Neg Modif EMOT Pain Ngtv Weak Psv 	
ASSAIL	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ASSAULT	Neg Noun Hostile Ngtv Strng Actv Vice 	
ASSAULT	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ATROCIOUS	IndAdj Neg Modif Vice Ngtv Ovrst Eval Vice 	
ATROPHY	IAV Neg SUPV Decr Ngtv Weak Psv 	
ATTACK	Neg Noun POLIT Hostile Ngtv Strng Actv Vice 	55% noun: An onslaught, assault 
ATTACK	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	34% verb: To assault (physically or figuratively) 
ATTACK	Neg Noun Vice Ngtv Hostile 	10% noun: A seizure by disease, especially "heart attack" 
AVENGE	Neg Noun Hostile Ngtv Strng Actv Vice 	
AVOID	IAV Neg SUPV Intrel Hostile Ngtv Weak Psv 	verb: To keep away from, keep clear of 
AVOIDANCE	Neg Noun Hostile Ngtv Weak Psv Intrel 	
AWFUL	Neg Modif EVAL Vice Ngtv Strng Ovrst 	60% adjective-adv: Extremely bad, unpleasant, ugly; very (7) 
AWKWARD	Neg Modif EVAL Vice Ngtv Weak 	
BACKWARD	Neg LY ECON Ngtv Weak Space 	
BACKWARDNESS	Neg Noun ECON Ngtv Weak Vice 	
BAD	Neg Modif EVAL Vice Ngtv Ovrst 	adj: Marks negative evaluation on a dimension specified by context--not  good, of poor quality, offensive, unfortunate 
BADLY	Neg Modif EVAL Vice Ovrst Ngtv 	
BAFFLE	IAV Neg SUPV Ngtv Undrst Solve 	
BAFFLEMENT	Neg Noun Ngtv Undrst Know 	
BANISH	Neg Modif Polit* Ngtv Strng Actv Intrel Power 	
BANISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
BAR	DAV Neg SUPV Intrel Hostile Power Ngtv Strng Actv 	19% verb: To obstruct or exclude 
BASTARD	Neg Noun HU Hostile Ngtv Role 	
BATTLE	Neg Noun POLIT Ritual Milit Ngtv Strng Actv 	86% noun-adj: Contest or fight, pertaining to same 
BATTLE	DAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	14% verb: To engage in a fight 
BEAT	IAV Neg SUPV Complt Hostile Power Strng Actv Ngtv 	88% verb: To strike repeatedly, defeat or outperform (6) 
BEAT	Neg Noun Hostile Strng Ngtv Vice 	5% noun-adj: "Beating"--a whipping or thrashing, striking, throbbing (0) 
BEAT	Neg Modif Vice Subm Ngtv Weak Psv 	2% adj: "Beaten"--hammered, trodden, thrashed 
BEG	IAV Neg SUPV Intrel Subm Ngtv Weak Actv 	
BELITTLE	IAV Neg SUPV Hostile Ngtv Intrel 	
BELT	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
BETRAY	IAV Neg SUPV Intrel Hostile Ngtv 	
BEWARE	IAV Neg SUPV Percv Ngtv Strng Hostile Undrst 	
BEWILDER	IAV Neg SUPV Ngtv Undrst Solve 	
BEWILDERMENT	Neg Noun Ngtv Undrst Know 	
BIT	IAV Neg SUPV ED Hostile Ngtv Actv Intrel 	7% verb: Past tense of "bite" 
BITE	Neg Noun Ngtv Hostile Actv Natpro 	22% noun-adj: Act of cutting or gripping with or as with teeth, the resulting  wound or amount cut off 
BITE	IAV Neg SUPV Ngtv Actv Hostile Intrel 	74% verb: To grip, injure or cut off with or as with teeth 
BITE	Neg Modif Hostile Ngtv Arousal 	4% adj: "Biting"--incisive, sarcastic 
BITTER	Neg Modif EMOT EVAL Pain Ngtv Psv Hostile 	
BITTERNESS	Neg Noun EMOT Pain Ngtv Psv 	
BLAME	Neg Noun Vice Hostile Ngtv 	25% noun: Reproof, culpability 
BLAME	IAV Neg SUPV Intrel Hostile Ngtv 	75% verb: To hold responsible for failure, to censure 
BLAST	Neg Noun Natpro Ngtv Strng Actv 	
BLAST	IAV Neg SUPV Rise Ngtv Strng Actv 	
BLEAK	Neg Modif Vice Ngtv 	
BLIND	Neg Noun HU Ngtv Weak Role 	71% noun-adj: (those who are) without sight; without understanding or control (2) 
BLIND	IAV Neg SUPV Intrel Hostile Ngtv 	10% verb: To deprive of sight 
BLIND	Neg Modif Vice Ngtv Weak 	14% adv: "Blindly" 
BLIND	Neg Modif Vice Ngtv Strng 	5% adj: "Blinding"--producing blindness 
BLOCK	Neg Noun Space Ngtv Psv Strng 	72% noun-adj: A barrier, solid mass, area, unit; street block (1) 
BLOCK	DAV Neg SUPV Exert Hostile Ngtv Strng Actv 	28% verb: To thwart or barricade 
BLOODY	Neg Modif Ngtv Natpro 	
BLOW	Neg Noun Hostile Ngtv Strng Actv Exert 	24% noun: A hit or stroke, forcible effort, calamity 
BLOW	IAV Neg SUPV Ngtv Strng Actv Exert 	17% verb: "Blow up," "blow out"--to explode physically or emotionally 
BLUNDER	Neg Noun Ngtv Weak Actv Fail 	
BLUNT	IPadj Neg Modif Qual Strng Ngtv 	
BOARD	Neg LY Vice Ngtv 	2% idiom-adv: 'by the board'--over the side (naut.), in or into neglect or oblivion 
BOMB	Neg Noun Object POLIT Tool Hostile Milit Ngtv Strng 	
BOMB	DAV Neg SUPV Intrel Hostile Milit Ngtv Strng Actv 	
BONDAGE	Neg Noun Vice Subm Ngtv Weak Psv 	
BORE	Neg Noun Vice Ngtv 	0% noun: Someone or something that causes loss of interest 
BORE	Neg Modif Vice Ngtv Psv 	50% adj: "Bored"--not interested, frustrated 
BORE	Neg Modif Vice Ngtv 	13% adj: "Boring"--not interesting 
BOTHER	IAV Neg SUPV Intrel Hostile Ngtv Actv PFREQ 	91% verb: To give trouble to, annoy, worry--to bewilder, confuse--to be  troubled, etc. 
BOTHER	Neg Noun Vice Ngtv 	2% noun: Something troublesome or annoying 
BOTHERSOME	Neg Noun Vice Ngtv 	
BOUND	Neg Modif Vice Ngtv Weak Psv 	30% adj: Limited, tied, 
BOUT	Neg Noun Ritual Hostile Ngtv Actv 	
BOX	DAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	9% verb: To fight with fists, strike 
BRANDISH	IAV Neg SUPV Exert Hostile Ngtv Strng Actv 	
BREACH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
BREAK	DAV Neg SUPV Ngtv Strng Actv Hostile Exert 	75% verb: To fracture, split, stop or cause to stop functioning, cause  a division or change, enter forcibly, escape, begin suddenly, interrupt, etc. 
BREAK	IAV Neg SUPV Intrel Hostile Legal Ngtv Actv 	2% verb-idiom: "Break a law" 
BREAK	IAV Neg SUPV Fail Ngtv Weak Psv 	8% verb: "Break down"--to collapse, go out of working order 
BROKE	Neg Modif ECON Vice Econ* Ngtv 	3% adjective: Destitute 
BROKE	IAV Neg SUPV ED Intrel Hostile Legal Ngtv Actv 	1% idiom-verb: "Broke (broken) a law" 
BROKE	Neg Modif Vice Ngtv Psv 	5% adj: "Broken" 
BROKE	IAV Neg SUPV ED Fail Ngtv Weak Psv 	3% verb: "Broke (broken) down"--collapsed, went out of working order 
BRUTALITY	Neg Noun Vice Hostile Ngtv Strng Actv Ovrst 	
BUG	IAV Neg SUPV Hostile Ngtv Comform 	
BULLET	Neg Noun Object Tool Hostile Ngtv Strng 	
BURDEN	Neg Noun Vice Ngtv Weak 	
BURDEN	IAV Neg SUPV Work Ngtv Weak 	
BURN	Neg Noun Ngtv Vice 	3% noun: An injury from fire; rarely--a brook (0) 
BURN	DAV Neg SUPV Natpro Ngtv Actv PFREQ 	89% verb: To consume or injure with fire 
BURN	Neg Noun Natpro Ngtv Actv 	6% noun-adj: "Burning"--on fire (3); intense (1); the state, process,  sensation or effect of being on fire or subjected to intense heat (0) 
BURN	Neg Modif Finish Ngtv Psv 	2% adj: "Burned," "burnt"--consumed or injured by fire 
BURY	DAV Neg SUPV Fall Ngtv Actv 	verb: To inter, immerse, conceal 
BUTCHERY	Neg Noun Hostile Ngtv Strng Actv Vice 	
CANCER	Neg Noun Vice Ngtv 	
CANNON	Neg Noun Object Tool Hostile Milit Ngtv Strng 	
CAPITAL	Neg Modif Vice Legal Ngtv 	3% adj: Punishable by death 
CAPTURE	Neg Modif Subm Ngtv Intrel 	
CAPTURE	IAV Neg SUPV Intrel Hostile Power Ngtv Strng Actv 	
CARELESS	Neg Modif Vice Ngtv 	
CATASTROPHE	Neg Noun Vice Ngtv Ovrst 	
CATCH	Neg Noun Vice Ngtv 	2% noun: A reservation or qualification in an agreement. 
CAVE	IAV Neg SUPV Fall Weak Psv Ngtv 	5% idiom-verb: "Cave in"--collapse 
CHALLENGE	Neg Noun Ngtv Strng Means Actv 	72% noun: Confrontation, contest, difficult task, generally with a connotation  of provocativeness or stimulation 
CHALLENGE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	19% verb: To confront with a contest or problem 
CHAOS	Neg Noun Vice Ngtv Ovrst 	
CHAOTIC	IndAdj Neg Modif Vice EVAL Ngtv Ovrst 	
CHARGE	Neg Noun COM Comform Hostile Ngtv 	15% noun: Accusation, injunction 
CHARGE	IAV Neg SUPV Hostile Strng Actv Ngtv Comform 	9% verb: To accuse, enjoin, attribute 
CHARGE	Neg Noun Hostile Strng Actv Ngtv Exert 	2% noun: Attack, forward rush or thrust 
CHARGE	IAV Neg SUPV Travl Hostile Strng Actv Ngtv 	7% verb: To attack, to rush or thrust forward 
CHASE	Neg Noun Travl Hostile Ngtv Actv 	3% noun: Swift pursuit, hunt 
CHASE	DAV Neg SUPV Travl Hostile Ngtv Actv PFREQ 	97% verb: To pursue, to hunt 
CHEAP	Neg Modif EVAL ECON Vice Econ* Ngtv Weak 	
CHOKE	Neg Noun Object Tool Ngtv Weak 	
CHOKE	DAV Neg SUPV Hostile Ngtv Weak Exert 	
CHORE	Neg Noun Means Ngtv 	
CHRONIC	Neg Modif Vice Ngtv Weak Psv Ovrst 	
CIRCLE	Neg Noun Vice Ovrst Ngtv 	6% idiom: "Vicious circle" 
CLOSE	DAV Neg SUPV Finish Actv Ngtv 	17% verb: To stop or obstruct, make imperceptible, inaccessible--to shut,  to come or bring t 
CLOSE	Neg Modif Ngtv Psv Rel 	3% adj: "Closed"--shut, inaccessible, terminated 
CLUB	Neg Noun Object Tool Hostile Milit Ngtv Strng 	8% noun: A heavy stick suitable for use as a weapon 
CLUB	DAV Neg SUPV Exert Hostile Ngtv Strng Actv 	5% verb: To beat with, or as with, a club 
COARSE	IndAdj Neg Modif Qual Ngtv 	
COLD	Neg Modif Qual EVAL Ngtv Psv PFREQ 	82% noun-adj: Very cool, lacking in heat; the absence of heat (2); unfriendly,  forbidding (2); absolutely, without preparation, abruptly (0) 
COLD	Neg Noun Vice Ngtv 	10% noun: The common illness 
COLD	Neg Noun Doctr POLIT Hostile Polit* Ngtv Ngtv 	5% idiom-noun: 'cold war' 
COLD	Neg Noun Doctr POLIT Hostile Polit* Ngtv Ngtv 	5% idiom-noun: 'cold war' 
COLD	Neg LY Comform Hostile Ngtv Ngtv 	1% adverb: "Coldly"--indifferently, in a cool manner 
COLD	Neg LY Comform Hostile Ngtv Ngtv 	1% adverb: "Coldly"--indifferently, in a cool manner 
COLLAPSE	Neg Modif Decr Ngtv Weak Psv 	
COLLAPSE	IAV Neg SUPV Fall Ngtv Weak Psv 	
COLONY	Neg Noun HU COLL POLIT ECON Polit* Ngtv Subm 	
COMBAT	Neg Noun POLIT Ngtv Actv Strng Intrel Hostile 	
COMBAT	IAV Neg SUPV Intrel Hostile Polit* Ngtv Actv Strng 	
COMMIT	IAV Neg SUPV Work Actv Ngtv 	71% verb: To do or perpetrate 
COMMONER	Neg Noun HU POLIT Econ* Subm Ngtv Weak Psv Role 	
COMMONPLACE	Neg Noun Modif Ovrst Ngtv Qual 	
COMMOTION	Neg Noun Ngtv Actv Vice Ovrst 	
COMPEL	Neg Modif Means Ngtv Strng Actv 	
COMPEL	IAV Neg SUPV Intrel Power Ngtv Strng Actv Hostile 	
COMPETE	IAV Neg SUPV Try Hostile Ngtv Strng Actv 	
COMPETITION	Neg Noun Hostile Actv Ngtv Means 	
COMPETITIVE	Neg Modif Hostile Ngtv Actv Virtue 	
COMPLAIN	IAV Neg SUPV Hostile Ngtv Actv Comform 	verb: To express dissatisfaction or pain 
COMPLAINT	Neg Noun COM Comform Hostile Ngtv Actv 	
COMPLEX	Neg Modif Know EVAL Ngtv Ovrst 	
COMPLEXITY	Neg Noun ABS Abs* Know Ngtv Ovrst 	
COMPLICATE	Neg Modif Know Ngtv 	
COMPLICATE	IAV Neg SUPV Solve Ngtv 	
COMPLICATION	Neg Noun Vice Ngtv 	
COMPLICITY	Neg Noun Ngtv Psv Vice 	
COMPULSION	Neg Noun Power Ngtv Strng Actv Hostile Means 	
CONCEAL	IAV Neg SUPV Intrel Hostile Ngtv 	
