word	tags	comments
ACQUISITION	Noun Object ECON Tool Strng Actv 	
AIR	Noun Object Tool 	3% idiom-noun: "Air conditioner" 
AIRCRAFT	Noun Object Vehicle 	
AIRPLANE	Noun Object Vehicle 	
ALBUM	Noun Object COM Comnobj 	
ALUMINUM	Noun Object ECON Tool Econ* 	
AMENITY	Pos Noun Object 	
AMMUNITION	Noun Object Tool Milit 	
ANCHOR	Noun Object Tool 	
APARTMENT	Noun Bldgpt Object 	noun: A room or set of rooms designed for use as a dwelling. 
APPARATUS	Noun Object Tool 	
ARCH	Noun Bldgpt Object 	
ARM	Noun Object POLIT Tool Hostile Milit Strng Power 	16% noun: "Arms"--weapons 
ARMED	Modif Object Tool Milit Power Strng Hostile 	adj: Equipped with weapons 
ARROW	Noun Object Tool Hostile Milit 	noun: Straight, pointed weapon 
ART	Pos Noun Object COM Exprs Pstv Comnobj 	63% noun-adj: Painting, and more generally all the 'fine arts,' having  to do with beauty 
ARTICLE	Noun Object Tool 	
ASH	Noun Object Natobj 	noun: Powdery residue of burned matter 
ATLAS	Noun Object COM Comnobj 	
ATOM	Noun POLIT ECON Object Natobj 	
ATOMIC	Modif POLIT ECON Strng Object Natobj 	
ATTIC	Noun Bldgpt Object 	
AUTO	Noun Vehicle Object 	
AUTOMATIC	Modif Object Tool 	
AUTOMOBILE	Noun Vehicle Object 	
AUTOMOTIVE	Modif Object Vehicle 	
AXE	Noun Object Tool Strng 	noun: Tool used to cleave and chop 
AXLE	Noun Object Tool 	
BACON	Noun Object Food 	
BAG	Noun Object Tool 	97% noun: Flexible container, sack 
BALE	Noun Object Tool 	
BALL	Noun Object Tool 	50% noun-adj: A spherical object, a kind of bullet (0) 
BALLISTIC	Noun Object POLIT Tool Modif 	
BALLOON	Noun Object Tool 	
BAR	Noun Object Tool 	12% noun: An oblong piece of soap, chocolate, etc.; including sand bar,  prison bars, etc.(1); a strip or stripe (0 
BAR	Noun Object Tool Exprs Actv 	0% noun: Athletic equipment 
BARREL	Noun Object Tool 	
BARRIER	Neg Noun Object 	
BASEMENT	Noun Bldgpt Object 	
BASKET	Noun Object Tool 	noun: A receptacle made of interwoven materials 
BATH	Noun Object Tool 	
BATHROOM	Noun Bldgpt Object 	68% noun-adj: Lavatory 
BEAN	Noun Object Food 	
BEAR	Noun Object Tool 	0% noun: "(ball) bearing"--mechanical part 
BEAR	Noun Object Tool 	1% idiom-noun: "Teddy bear" 
BED	Noun Object Tool 	80% noun: Furniture, place to sleep 
BED	Noun Object Natobj 	1% noun: Foundation layer or stratum 
BEDROOM	Noun Bldgpt Object 	noun: Room or place where people sleep 
BEEF	Noun Object Food 	
BEER	Noun Object Food 	noun-adj: The beverage, pertaining to this beverage 
BELONG	Noun Object Tool Econ* 	2% noun: "Belongings"--possessions 
BELT	Noun Object Tool 	
BIBLE	Noun Object COM Relig Comnobj 	
BIBLICAL	Modif Relig Object Comnobj 	
BILL	Noun Object POLIT COM Polit* Comnobj 	33% noun: Draft of proposed, or enacted statute (rarely, playbill, notice,  advertisement (0)) 
BILL	Noun Object ECON COM Econ* Comnobj 	53% noun: Statement of money owed for goods or services 
BIN	Noun Object Tool 	
BLADE	Noun Object Tool 	
BLANKET	Noun Object Tool 	noun: A layer or covering 
BLIND	Noun Object Tool 	0% noun: Something which keeps out light or prevents sight 
BLOWER	Noun Object Tool 	
BOARD	Noun Object COM Acad Comnobj 	7% noun: Blackboard 
BOARD	Noun Object Tool 	11% noun: Slab of wood, panel (includes diving board, dash board, etc.) 
BOAT	Noun Object Vehicle 	noun: Aquatic vehicle 
BOMB	Neg Noun Object POLIT Tool Hostile Milit Ngtv Strng 	
BOOK	Noun Object COM Comnobj 	noun-adj: Printed volume 
BORE	Noun Object Tool 	0% noun: A tool 
BOTTLE	Noun Object Tool 	noun-adj: Container-pertaining to same 
BOULDER	Noun Object Natobj 	
BOW	Noun Object Tool Milit PFREQ 	89% noun: Anything curved or bent, includes bow and arrow (13); forepart  of a ship (2); bowknot (1); inclination of the head or body (3) 
BOWL	Noun Object Tool 	
BOX	Noun Object Tool 	83% noun: Container 
BRACE	Noun Object Tool Strng 	
BRAKE	Noun Object Tool 	
BRANDY	Noun Object Food 	
