word	tags	comments
ALIENATE	IAV Neg SUPV Affil Intrel Hostile Other 	
ALL	PRON INDEF LY Ovrst Other 	36% pron-adv: Each and every one or thing, the whole--entirely, completely 
ANNOY	IAV Neg SUPV Actv Hostile Intrel Other 	
ANOINT	DAV Pos SUPV Actv Affil Other Exert 	
ANOTHER	PRON DEF DEF3 Other 	9% idiom: 'one another'--each other 
ANYBODY	PRON DEF DEF4 Ovrst Other 	pronoun: Any person 
ANYONE	PRON DEF DEF4 Ovrst Other 	pronoun: Any person at all, anybody 
APOLOGIZE	IAV SUPV Subm Other Weak Intrel 	
APPEASE	IAV Pos SUPV Actv Subm Other 	
APPREHEND	DAV Pos SUPV Actv Fetch Other 	
ASSAILANT	Neg Noun HU Hostile Exert Other 	
ASSASSINATE	IAV Neg SUPV Actv Hostile Exert Other 	
BAIT	IAV Neg SUPV Actv Other Comform 	
BEHEAD	Neg Noun Hostile Exert Other Finish 	
BEQUEATH	DAV Pos SUPV Actv Econ Other Exch 	
BETROTH	IAV Pos SUPV Actv Econ Other Exch 	
BLACKMAIL	IAV Neg SUPV Actv Power Intrel Other Econ 	
BODY	PRON DEF DEF4 Other 	6% noun: 'a body'--a person, one 
BOOT	IAV Neg SUPV Actv Affil Power Other 	
CENSURE	IAV Neg SUPV Power Actv Other Hostile Comform 	
CHASTISE	IAV Neg SUPV Actv Power Other Hostile Comform 	
CHIDE	IAV Neg SUPV Actv Hostile Comform Power Other 	
COAX	IAV Pos SUPV Actv Intrel Comform Other 	
CODDLE	IAV Pos SUPV Actv Intrel Other Affil 	
CONDONE	SV Pos SUPV Actv Other Power Affil 	
CONGRATULATE	IAV Pos SUPV Actv Comform Other  Affil 	
CONSOLE	IAV Pos SUPV Actv Affil Other 	
CUDDLE	IAV Pos SUPV Actv Other Pleasure 	
DAZZLE	IAV Pos SUPV Actv Percv Other Strng 	
DEFERENCE	Pos Noun Other Ought 	
DEMEAN	IAV Neg SUPV Actv Other Hostile Power 	
DEVOUT	IndAdj Pos Modif Strng Affil Doctr Other 	
DIGNIFY	IAV Pos SUPV Actv Comform Other 	
DISRUPT	IAV Neg SUPV Actv Hostile Other 	
DISTRACT	IAV Neg SUPV Actv Other 	
DOMINANCE	Pos Noun Power Other 	
DOTE	IAV Pos SUPV Actv Other Pleasure 	
EACH	PRON DEF DEF3 Other 	37% idiom: 'each other'--each, the other (with verbs of interaction) 
EMBARRASS	IAV Neg SUPV Other Actv 	
EMPATHY	Pos Noun Emot Other 	
ENCHANTMENT	Pos Noun Emot Pleasure Other 	
ENDEAR	IAV Pos SUPV Actv Other Pleasure Affil 	
ENDOW	DAV Pos SUPV Actv Econ Other Exch 	
ENERGIZE	IAV Pos SUPV Actv Other Strng 	
ENRAGE	IAV Neg SUPV Hostile Emot Other 	
ENSLAVE	IAV Neg SUPV Other Power Polit 	
