word	tags	comments
ACHE	SV Neg SUPV Pain Psv 	
AFRAID	Modif EMOT Subm Psv PFREQ Pain 	adjective: Feeling fear, filled with apprehension 
AGONIZE	SV Neg SUPV Pain Psv 	
AGONY	Neg Noun Ngtv Pain 	
AIL	SV Neg SUPV Pain Psv 	
AILMENT	Neg Noun Pain 	
AMBIVALENT	Neg Modif EMOT Ngtv Weak Pain 	
ANGUISH	Neg Noun EMOT Hostile Ngtv Psv Pain 	
ANXIETY	Neg Noun EMOT Ngtv Weak Psv Pain 	noun: Mental distress or uneasiness caused by apprehension of danger or misfortune. 
ANXIOUS	Neg Modif EMOT Ngtv Weak Psv Pain 	21% adjective: Apprehensive, worried 
ANXIOUS	Neg Modif Ngtv Weak Psv Pain 	13% adverb: "Anxiously"--nervously, excitedly 
ANXIOUSNESS	Neg Noun EMOT Ngtv Weak Psv Pain 	
APOLOGETIC	IPadj Modif Pain Weak Subm Intrel 	
APPREHENSION	Neg Noun EMOT Pain Ngtv Strng Actv 	
APPREHENSIVE	IPadj Neg Modif Psv Emot Pain Weak 	
ASHAMED	Neg Modif EMOT Pain Ngtv Weak Psv 	
BESET	IndAdj Neg Modif Pain Emot Arousal 	
BITTER	Neg Modif EMOT EVAL Pain Ngtv Psv Hostile 	
BITTERNESS	Neg Noun EMOT Pain Ngtv Psv 	
BLOODSHED	Neg Noun Hostile Pain Weak 	
BLUE	Modif Noun PFREQ Pain 	89% noun-adj: The color; depressed 
BROKEN-HEARTED	IPadj Neg Modif Weak Pain Emot Intrel 	
BROOD	SV Neg SUPV Think Emot Pain 	
BRUISE	Neg Noun Pain 	
BURDENSOME	IPadj Neg Modif Pain Vice 	
CHAFE	IndAdj Neg Modif Pain 	
CLAMOR	Neg Noun Pain Comform Vice 	
CLAMOROUS	IndAdj Neg Modif Pain Comform 	
CLATTER	Neg Noun Pain Comform 	
COMMISERATION	Neg Noun Emot Pain Vice Intrel 	
COMMIT	Modif Subm Psv Pain 	15% adj: Consigned, bound 
CONCERN	Neg Noun EMOT Ngtv Pain 	26% noun: Worry, solicitude, or anxiety 
CONFLICT	Neg Modif Pain Ngtv 	18% adj: "Conflicting"--opposed, discordant 
CONFLICT	Neg Modif Pain Ngtv Psv 	3% adj: "Conflicted"--ambivalent 
CRAMP	IAV Neg SUPV Actv Pain 	
CRINGE	IAV Neg SUPV Psv Feel Pain 	
CRIPPLE	IAV Neg SUPV Actv Pain Stay Hostile Exert 	
DEJECTED	IndAdj Neg Modif Weak Emot Pain 	
DEPRESS	Neg Modif EMOT Pain Ngtv Weak Psv 	71% adj: "Depressed"--dejected, low; lower than some norm (0) 
DEPRESS	IAV Neg SUPV Ngtv Pain EMOT 	13% verb: To discourage, sadden; to lower, reduce, press down on (2) 
DEPRESSION	Neg Noun EMOT Pain Ngtv Weak 	23% noun: Psychological decline; a hole or hollow (0) 
DESPAIR	Neg Noun EMOT Ngtv Weak Psv Pain Subm 	
DESPAIR	SV Neg SUPV Ngtv Weak Psv Pain 	
DESPERATE	Neg Modif EMOT Ngtv Weak Pain 	
DESPERATION	Neg Noun Emot Pain 	
DESPISE	SV Neg SUPV Pain Hostile Ngtv Strng 	
DESTITUTE	IndAdj Neg Modif Econ Pain Weak Subm 	
DISAGREEABLE	Neg Modif Hostile Negate Ngtv Pain 	
DISAPPOINT	Neg Modif EMOT Ngtv Psv Pain 	76% adj: "Disappointed"--let down, displeased 
DISAPPOINTMENT	Neg Noun EMOT Ngtv Psv Pain 	
DISCOMFORT	Neg Noun Negate Ngtv Pain 	
