word	tags	comments
ADMINISTRATION	Noun HU COLL ABS TIME POLIT Polit* Power Strng 	69% noun-adj: A body entrusted with executive or administrative powers,  the time span over which such power is exercised (2) 
ALLIANCE	Pos Noun HU COLL POLIT Polit* Power Pstv Strng 	
ALLIED	IAV Pos SUPV Intrel Affil Polit* Strng Pstv 	
ALLY	Pos Noun HU POLIT Affil Polit* Pstv Strng Role 	
ALLY	IAV SUPV Intrel Affil Polit* 	
AMBASSADOR	Noun HU POLIT Polit* Power Role 	
AMENDMENT	Noun POLIT COM Comform Legal Polit* 	
ARMISTICE	Noun POLIT Ritual Affil Milit Polit* 	
BALLOT	Noun POLIT COM Ritual Polit* Power 	
BANISH	Neg Modif Polit* Ngtv Strng Actv Intrel Power 	
BILL	Noun Object POLIT COM Polit* Comnobj 	33% noun: Draft of proposed, or enacted statute (rarely, playbill, notice,  advertisement (0)) 
BODY	Noun HU COLL POLIT Polit* Power Strng 	8% noun: A group of people, often political--as "electoral body," "student body" 
BORDER	Noun PLACE POLIT Land Polit* 	
BRANCH	Noun HU COLL POLIT ECON Econ* Polit* 	21% noun: Political#economic subdivision 
CABINET	Noun HU COLL POLIT Polit* 	
CAMPAIGN	Noun POLIT Polit* Actv Power PFREQ Means 	95% noun: An effort toward a goal 
CAMPAIGNER	Noun HU Polit* Actv Role 	
CANDIDATE	Noun HU POLIT Polit* Role 	noun: Person considered for selection 
CAPITAL	Noun POLIT Polit* ECON Econ* Strng PFREQ Virtue 	92% noun: Wealth, source of profit, moneyed interests; a center of government (11) 
CAPITALISM	Noun ABS Abs* POLIT ECON Doctr Econ* Polit* 	
CAPITOL	Noun PLACE Social POLIT Polit* 	
CENSUS	Noun Ritual POLIT Polit* 	
CHANCELLOR	Noun HU POLIT Polit* Power Strng Role 	noun: Title of west german chief of state, an executive title 
CITIZEN	Noun HU POLIT Polit* Role 	noun: A member of a nation, state, city, or other political body 
CIVIL	Pos Modif Doctr POLIT Polit* Pstv 	9% noun-adj: Involving or consisting of citizens, of the commonwealth  or state; civilized, polite, benevolent (0) 
CIVIL	Modif POLIT Polit* PFREQ HU COLL 	85% idiom-noun: "Civil rights," "civil liberties" 
CIVIL	Noun HU POLIT COLL Polit* 	1% idiom-noun: "Civil service" 
CIVIL	Noun HU POLIT Polit* Role 	1% idiom-noun: "Civil servant" 
COALITION	Noun HU COLL POLIT Affil Polit* Power Strng 	
COLD	Neg Noun Doctr POLIT Hostile Polit* Ngtv Ngtv 	5% idiom-noun: 'cold war' 
COLONIAL	Modif Doctr Polit* ECON POLIT 	
COLONY	Neg Noun HU COLL POLIT ECON Polit* Ngtv Subm 	
COMBAT	IAV Neg SUPV Intrel Hostile Polit* Ngtv Actv Strng 	
COMMISSIONER	Noun HU POLIT Power Polit* Strng Role 	
COMMON	Noun HU COLL Polit* 	1% noun: House of commons 
COMMONWEALTH	Noun HU COLL POLIT ECON Polit* Power 	
COMMUNISM	Noun ABS Abs* POLIT ECON Doctr Econ* Polit* 	
COMMUNIST	Noun HU POLIT Econ* Polit* Role 	noun-adj: Anyone or anything characterized by communism 
CONFEDERATE	Noun HU POLIT Affil Polit* Role 	
CONFERENCE	Noun HU COLL POLIT ECON Polit* 	noun: A meeting for consultation or negotiation 
CONGRESS	Noun HU COLL POLIT Polit* Power Strng PFREQ 	97% noun: The legislative branch of the u.s. government 
CONGRESS	Noun HU COLL Polit* Strng 	3% noun: An organization, society, etc., an official gathering of same 
CONGRESSIONAL	Modif POLIT Polit* Strng HU COLL 	
CONGRESSMAN	Noun HU MALE POLIT Polit* Strng Role 	
CONGRESSMEN	Noun HU S Polit* Power Strng Role 	
CONSERVATISM	Noun POLIT ABS Abs* Polit* Doctr 	
CONSERVATIVE	Modif ECON POLIT Doctr Polit* Psv 	81% adj: Distrustful of innovation, restrained 
CONSERVATIVE	Noun HU POLIT ECON Polit* Psv Role 	19% noun: A group or individual committed to the status quo 
CONSPIRACY	Neg Noun HU COLL POLIT Hostile Polit* Ngtv 	
CONSTITUTION	Noun Object COM POLIT Polit* Strng Comnobj 	
CONSTITUTIONAL	Modif Doctr POLIT Polit* Strng 	
CONVENTION	Noun HU COLL POLIT Polit* PFREQ 	noun: A meeting or assembly of delegates or representatives for action  on particular matters 
COUNCIL	Pos Noun HU COLL POLIT Power Pstv Polit* Strng 	noun-adj: A body of persons summoned or convened for deliberation, consultation  or advice 
COUNTRY	Noun HU COLL POLIT ECON Polit* PFREQ 	90% noun: A nation or sovereign territory, a region, area (e.g. "indian country") 
COUNTY	Noun PLACE Region POLIT Polit* 	
COURT	Noun POLIT Legal HU COLL Polit* Strng 	65% noun-adj: A place where trials are held and the law is carried on--by  metonymy the process or authority of the law, or a given court or judge;  a sovereign entourage (3); a courtyard (0) 
