word	tags	comments
ABIDE	IAV Pos SUPV Actv Affil  Doctr 	
ABLE	Pos Modif EVAL Virtue Strng Pstv 	adjective: Having necessary power, skill, resources, etc. 
ABOUND	IAV Pos SUPV Incr Psv 	
ABSOLVE	IAV Pos SUPV Actv Comform Intrel 	
ABSORBENT	IndAdj Pos Modif Incr 	
ABSORPTION	Pos Noun Incr Affil 	
ABUNDANCE	Pos Noun Quan ECON Pstv Strng Ovrst 	
ABUNDANT	Pos Modif Quan Pstv Strng Ovrst 	
ACCEDE	IAV Pos SUPV Actv Comform Affil 	
ACCENTUATE	IAV Pos SUPV Actv Ovrst 	
ACCEPT	IAV Pos SUPV Intrel Subm Pstv Psv 	verb: To take, receive or accede to something 
ACCEPTABLE	Pos Modif Virtue EVAL Pstv 	
ACCEPTANCE	Pos Noun Affil Pstv Psv Intrel 	
ACCESSIBLE	IPadj Pos Modif Virtue 	
ACCESSION	Pos Noun Incr Strng 	
ACCLAIM	Pos Noun Comform Virtue 	
ACCLAMATION	Pos Noun Comform Virtue 	
ACCOLADE	Pos Noun Comform Virtue 	
ACCOMMODATE	IAV Pos SUPV Vary Pstv Actv 	
ACCOMMODATION	Pos Noun Place Virtue 	
ACCOMPANIMENT	Pos Noun Intrel 	
ACCOMPLISH	IAV Pos SUPV Pstv Strng Actv Power Complt 	verb: To bring to its goal or conclusion 
ACCOMPLISHMENT	Pos Noun Goal Pstv Strng Actv Power 	
ACCORD	IAV Pos SUPV Intrel Pstv 	3% verb: "Accord with" to be consistent with 
ACCORD	IAV Pos SUPV Intrel Power Pstv 	8% verb: To grant, bestow 
ACCORD	Pos LY Means Pstv 	3% adv: "Of one's own accord"--voluntarily 
ACCORDANCE	Pos Noun Know Pstv 	
ACCOUNTABLE	IndAdj Pos Modif Causal 	
ACCRUE	DAV Pos SUPV Actv Incr Econ 	
ACCURACY	Pos Noun ABS Abs* Virtue Pstv Ovrst 	
ACCURATE	Pos Modif Virtue Pstv Ovrst 	
ACCURATENESS	Pos Noun Virtue Ovrst 	
ACHIEVE	IAV Pos SUPV Complt Pstv Strng Actv 	verb: To accomplish or carry through 
ACHIEVEMENT	Pos Noun Goal Pstv Actv Power 	
ACKNOWLEDGEMENT	Pos Noun Comform Ovrst 	
ACQUAINT	IAV Pos SUPV Pstv Solve 	
ACQUAINTANCE	Pos Noun HU Affil Pstv Role 	
ACQUIT	DAV Pos SUPV Legal Solve 	
ACQUITTAL	Pos Noun Legal Solve 	
ACTUAL	Pos Modif Virtue Ovrst Pstv 	27% adjective: Existing in act or fact, real. 
ACTUAL	Pos LY Ovrst Pstv Virtue 	73% adverb: "Actually"--really 
ACTUALITY	Pos Noun Pstv Virtue Doctr 	
ADAMANT	IndAdj Pos Modif Know Strng Arousal 	
ADAPTABILITY	Pos Noun Strng Virtue Vary 	
ADAPTABLE	IndAdj Pos Modif Strng Virtue Vary 	
ADAPTATION	Pos Noun Vary Strng Virtue 	
ADAPTIVE	IndAdj Pos Modif Strng Virtue Vary 	
ADEPT	Pos Modif EVAL Virtue Pstv Strng 	
ADEPTNESS	Pos Noun Virtue Strng 	
ADEQUATE	Pos Modif EVAL Virtue Pstv Undrst PFREQ 	adjective: Sufficient. 
ADHERENCE	Pos Noun Affil 	
ADHERENT	IndAdj Pos Modif Affil 	
ADHESION	Pos Noun Rel 	
ADHESIVE	IndAdj Pos Modif Rel 	
ADJUNCT	Pos Noun Incr Rel 	
ADJUST	Pos Modif Virtue Pstv Subm 	23% adj: "Adjusted"--adapted 
ADJUSTABLE	IndAdj Pos Modif Vary 	
ADJUSTMENT	Pos Noun Virtue Pstv Psv 	
ADMIRABLE	IPadj Pos Modif Eval Virtue 	
ADMIRATION	Pos Noun Strng Emot Pleasure Virtue 	
ADMIRE	SV Pos SUPV Affil Subm Pstv Psv Pleasur 	
ADMIRER	Pos Noun HU Emot Strng 	
ADMIT	IAV Pos SUPV Subm Pstv Weak Psv Comform 	63% verb: To acknowledge, confess, agree 
ADMIT	DAV Pos SUPV Intrel Power Pstv Psv 	33% verb: To grant entry, membership or access to something 
ADMIT	Pos LY Ovrst Comform Subm Pstv Weak Psv 	3% adv: "Admittedly"--adverbial form of sense 1 
ADMITTANCE	Pos Noun Actv Travel 	
ADORABLE	IndAdj Pos Modif Eval Virtue 	
ADORE	SV Pos SUPV Actv Emot Pleasure 	
ADORN	IAV Pos SUPV Actv Eval Strng 	
ADORNMENT	Pos Noun Eval Virtue 	
ADROIT	IndAdj Pos Modif Strng Virtue 	
ADROITLY	Pos Modif Strng Virtue 	
ADULATION	Pos Noun Comform Emot Pleasure Strng Eval 	
ADULT	Pos Modif Virtue Pstv Strng 	30% adj: Mature, of or pertaining to adults 
ADVANCE	IAV Pos SUPV Travl Pstv Strng Actv 	47% verb: To move or bring forward, improve, promote 
ADVANCE	Pos Noun Pstv Strng Actv Means 	20% noun-adj: A moving forward, improvement, approach, in front, prior 
ADVANCE	Pos Modif Virtue Pstv Psv 	20% adj: "Advanced"--forward, in front, progressive 
ADVANCEMENT	Pos Noun Incr Pstv 	
ADVANTAGE	Pos Noun ABS Abs* ECON Virtue Pstv Strng 	noun: Any state or opportunity favorable to success, benefit, gain, position  of superiority. 
ADVANTAGEOUS	Pos Modif Virtue Pstv Strng 	
ADVENT	Pos Noun Begin 	
ADVENTURESOME	IndAdj Pos Modif Strng Actv 	
ADVENTUROUS	IndAdj Pos Modif Strng Actv 	
ADVISABLE	IPadj Pos Modif Eval Qual Know 	
ADVOCACY	Pos Noun Comform Affil 	
AFFABILITY	Pos Noun Virtue 	
AFFABLE	IPadj Pos Modif Virtue 	
AFFECTION	Pos Noun EMOT Affil Pstv Arousal 	
AFFECTIONATE	Pos Modif EMOT Affil Pstv Arousal 	
AFFILIATE	IAV Pos SUPV Actv Affil 	
AFFILIATION	Pos Noun Affil 	
AFFINITY	Pos Noun Virtue Strng 	
AFFIRM	IAV Pos SUPV Power Pstv Strng Comform 	
AFFIRMATION	Pos Noun Eval Comform 	
AFFIRMATIVE	Pos Noun  	
AFFIX	DAV Pos SUPV Actv Exert Affil 	
AFFLUENCE	Pos Noun Econ Qual 	
AFFLUENT	IndAdj Pos Modif Econ Qual 	
AFLOAT	IndAdj Pos Modif Strng Econ 	
AGGREGATE	Pos Noun Quan 	
AGGREGATION	Pos Noun Quan 	
AGILE	IndAdj Pos Modif Strng Virtue 	
AGILITY	Pos Noun Strng Virtue 	
AGREEABLE	Pos Modif Comform EVAL Pstv 	
AGREEMENT	Pos Noun COM Comform Affil Pstv Strng 	noun: Unanimity of opinion, state of accord, mutual arrangement. 
AID	IAV Pos SUPV Intrel Affil Pstv Strng Actv 	16% verb: To give help 
AID	Pos Noun Affil Pstv Virtue Actv 	81% noun: Help, a helper 
ALERTNESS	Pos Noun Think Virtue 	
ALIGHT	IndAdj Pos Modif Virtue Ovrst 	
ALIVE	Pos Modif Natpro Strng Actv Pstv 	adjective: Living, existing, full of life. 
ALLEGIANCE	Pos Noun Affil Virtue 	
ALLEVIATE	IAV Pos SUPV Actv Affil Exert Decr 	
ALLIANCE	Pos Noun HU COLL POLIT Polit* Power Pstv Strng 	
ALLIED	IAV Pos SUPV Intrel Affil Polit* Strng Pstv 	
ALLIES	Pos Noun HU Role Affil Intrel 	
ALLOW	IAV Pos SUPV Intrel Power Pstv Psv PFREQ 	97% verb: Permit 
ALLOWABLE	IPadj Pos Modif Eval Qual 	
ALLOWANCE	Pos Noun Econ Quan 	
ALLURE	Pos Noun Virtue 	
ALLY	Pos Noun HU POLIT Affil Polit* Pstv Strng Role 	
ALMIGHTY	IndAdj Pos Modif Strng Virtue Power 	
ALTRUISTIC	IPadj Pos Modif Virtue Affil Fetch 	
AMAZEMENT	Pos Noun Strng Power 	
AMAZING	IndAdj Pos Modif Ovrst Power Strng 	
AMELIORATE	IAV Pos SUPV Intrel Pstv Actv Affil 	
AMENABLE	IndAdj Pos Modif Affil Vary Virtue 	
AMENITY	Pos Noun Object 	
AMIABILITY	Pos Noun Affil Virtue 	
AMIABLE	IPadj Pos Modif Affil Virtue 	
AMICABLE	IPadj Pos Modif Affil Virtue 	
AMNESTY	Pos Noun Legal Doctr Power 	
AMOUR	Pos Noun Emot Pleasure 	
AMPLE	Pos Modif Quan Pstv Strng 	
AMPLIFY	DAV Pos SUPV Actv Incr Strng 	
AMPLY	Pos Modif Strng Incr 	
AMUSE	IAV Pos SUPV Actv Emot Pleasure 	
AMUSEMENT	Pos Noun Pleasure 	
ANGEL	Pos Noun HU Role Virtue Affil Relig 	
ANGELIC	IndAdj Pos Modif Virtue Affil Relig 	
ANOINT	DAV Pos SUPV Actv Affil Other Exert 	
APOCALYPSE	Pos Noun Think Percv Pleasure 	
APPEAL	Pos Modif Affil Psv Pleasur Pstv 	3% adj: "Appealing"--arousing a favorable response 
APPEASE	IAV Pos SUPV Actv Subm Other 	
APPEND	DAV Pos SUPV Actv Incr Change 	
APPLAUD	DAV Pos SUPV Actv Comform Eval 	
APPLAUSE	Pos Noun COM Comform Pstv 	
APPOINT	Pos Modif Pstv Actv 	
APPOINT	DAV Pos SUPV Intrel Power Pstv Actv 	
APPRECIABLE	Pos Modif Percv Pstv Strng Ovrst 	
APPRECIATE	SV Pos SUPV Subm Pstv Psv Arousal Affil 	verb: To be aware of, to be grateful 
APPRECIATION	Pos Noun Pleasur Pstv Psv Affil 	
APPRECIATIVE	IPadj Pos Modif Intrel Eval Pleasure 	
APPREHEND	DAV Pos SUPV Actv Fetch Other 	
APPROACH	IAV Pos SUPV Travl Pstv Actv 	66% verb: To come near or nearer to, or to set about a task 
APPROACH	Pos Noun Pstv Psv Means Actv 	34% noun: The method used or steps taken in setting about a task, problem;  a coming toward 
APPROPRIATE	Pos Modif Virtue Pstv Ovrst 	
APPROVAL	Pos Noun COM Comform Affil Pstv 	
APPROVE	Pos Modif Virtue Affil Pstv 	
APPROVE	IAV Pos SUPV Affil Pstv Strng Comform 	
APT	Pos Modif Virtue Strng Pstv Ovrst 	
APTITUDE	Pos Noun Strng Virtue 	
ARBITER	Pos Noun HU Role Solve Affil Intrel Comform 	
ARBITRATE	IAV Pos SUPV Actv Solve Affil Intrel Comform 	
ARBITRATION	Pos Noun Solve Affil Intrel Comform 	
ARDENT	IndAdj Pos Modif Strng Power Affil 	
ARISEN	IndAdj Pos Modif Begin Incr 	
ARISTOCRACY	Pos Noun HU Role Econ Power 	
ARISTOCRAT	Pos Noun HU Role Econ Power 	
ARISTOCRATIC	IndAdj Pos Modif Econ Power 	
ARREST	Pos Modif EVAL Virtue Pstv Ovrst 	4% adj: 'arresting'--striking 
ART	Pos Noun Object COM Exprs Pstv Comnobj 	63% noun-adj: Painting, and more generally all the 'fine arts,' having  to do with beauty 
ART	Pos Noun Doctr Exprs Pstv 	13% noun: The particular skill of--'the difficult art of rowing' 
ASCRIBE	IAV Pos SUPV Actv Affil Doctr 	
ASPIRATION	Pos Noun Think Goal Ach 	
ASPIRE	SV Pos SUPV Actv Goal Try Ach 	
ASSENT	Pos Noun Affil Comform 	
ASSERTION	Pos Noun Know Strng Comform Arousal 	
ASSET	Pos Noun Strng Affil 	
ASSIST	Pos Noun Affil Pstv Strng Actv Virtue 	
ASSIST	IAV Pos SUPV Intrel Affil Pstv Strng Actv 	
ASSISTANCE	Pos Noun Affil Pstv Strng Actv Virtue 	noun: Act of assisting, help, aid. 
ASSISTANT	Pos Noun HU Subm Pstv Actv Role 	
ASSOCIATE	Pos Noun HU ECON Econ* Pstv Actv Role 	33% noun-adj: A partner or peer 
ASSOCIATE	IAV Pos SUPV Solve Pstv Actv 	59% verb: To make a connection between things, to mix with socially 
ASSOCIATE	Pos Modif Pstv Psv Rel 	7% adj: "Associated"--connected with 
ASSOCIATION	Pos Noun HU COLL Affil Pstv Strng Actv 	79% noun: An organization of people with a common purpose, having a formal  structure 
ASSOCIATION	Pos Noun Know Pstv Strng 	21% noun: Any other connection, relation or combination 
ASSURANCE	Pos Noun COM Comform Affil Pstv Strng Ovrst 	
ASSURE	IAV Pos SUPV Complt Pstv Strng Ovrst 	50% verb: To guarantee, by virtue of some action, that something will come about 
ASSURE	IAV Pos SUPV Power Pstv Strng Ovrst Comform 	33% verb: To pledge, to state with confidence, to make confident 
ASSURE	Pos Modif EMOT Power Ovrst Pstv Strng Pleasur 	17% adj: "Assured"--confident (2), guaranteed (1) 
ASSUREDLY	Pos LY Power Ovrst Pstv Strng 	
ASTOUND	SV Pos SUPV Actv Ovrst Strng Power 	
ASTUTE	IndAdj Pos Modif Know Virtue 	
ATHLETIC	Pos Modif Exprs Pstv Strng Virtue 	
ATTACHMENT	Pos Noun Emot Pleasure Affil Intrel 	
ATTAIN	IAV Pos SUPV Complt Pstv Strng Actv 	
ATTAINMENT	Pos Noun Pstv Strng Actv Complt 	
ATTEND	IAV Pos SUPV Travl Subm Pstv PFREQ 	83% verb: To be present at. 
ATTENDANCE	Pos Noun Actv Stay 	
ATTENTIVE	Pos Modif Percv Pstv Psv Subm 	
ATTRACT	IAV Pos SUPV Intrel Affil Pstv Strng 	
ATTRACTION	Pos Noun Affil Pstv Pleasur Strng 	
ATTRACTIVE	Pos Modif EVAL Virtue Pstv 	
ATTRACTIVENESS	Pos Noun Eval Qual 	
ATTUNE	IndAdj Pos Modif Think Solve 	
AUDIBLE	IndAdj Pos Modif Comform Strng 	
AUGMENT	IAV Pos SUPV Incr Pstv Actv 	
AUGMENTATION	Pos Noun Incr 	
AUSPICIOUS	IndAdj Pos Modif Eval Qual 	
AUTHENTIC	Pos Modif Virtue Pstv Ovrst 	
AUTHENTICITY	Pos Noun Virtue Pstv Ovrst 	
AUTHORITATIVE	IPadj Pos Modif Legal Ovrst Strng Virtue Power Doctr 	
AUTHORITY	Pos Noun Legal Power Strng 	
AUTONOMOUS	IPadj Pos Modif Legal Power Undrst Strng 	
AVAILABILITY	Pos Noun Virtue Pstv 	
AVID	IndAdj Pos Modif Ovrst 	
AWARD	Pos Modif Comform Power Pstv Strng 	
AWARD	IAV Pos SUPV Power Pstv Strng Comform Actv 	
AWARE	IndAdj Pos Modif Percv Know Strng Psv 	
AWARENESS	Pos Noun ABS Abs* Percv Pstv Strng Psv 	
BACK	IAV Pos SUPV Intrel Affil Power Pstv Strng Actv 	1% verb: To support 
BACK	Pos Noun Power Pstv Strng Intrel Affil Actv 	0% noun: "Backing"--support 
BACKBONE	Pos Noun Strng Power 	
BACKER	Pos Noun HU Econ* Pstv Strng Role 	
BACKING	Pos Noun Affil 	
BALL	Pos Noun Virtue Pstv 	4% noun: A good time--'have a ball' 
BALL	Pos Modif Virtue Pstv Strng 	0% idiom-adj: "On the ball"--alert, efficient 
BALMY	IndAdj Pos Modif Pleasure 	
BAPTISM	Pos Noun Affil Doctr 	
BAPTIZE	DAV Pos SUPV Actv Affil Doctr 	
BARGAIN	IAV Pos SUPV Actv Comform Intrel Econ 	
BASIC	Pos Modif Virtue Ovrst Pstv 	74% adjective: Of, or pertaining to, or forming a base, fundamental 
BASIC	Pos LY Ovrst Pstv Rel 	25% adverb: 'basically'--fundamentally 
BEACON	Pos Noun Virtue 	
BEAUTEOUS	IndAdj Pos Modif Eval Qual 	
BEAUTIFUL	Pos Modif EVAL Virtue Pstv 	adj: Having beauty--delighting the eye, ear and/or mind 
BEAUTIFY	IAV Pos SUPV Actv Strng Eval 	
BEAUTY	Pos Noun ABS Abs* Virtue Pstv 	noun: The quality that gives pleasure to the senses, or pleasurably exalts  the mind or spirit 
BEFIT	IAV Pos SUPV Psv Eval 	
BEFITTING	IndAdj Pos Modif Psv Eval 	
BEFRIEND	IAV Pos SUPV Actv Affil Intrel 	
BEHALF	Pos Noun Affil Pstv Virtue 	
BELOVED	Pos Modif Affil Pstv Arousal 	
BENEFACTOR	Pos Noun HU Role Econ Fetch Virtue 	
BENEFICENT	IPadj Pos Modif Eval Virtue 	
BENEFICIAL	Pos Modif Virtue Pstv EVAL 	
BENEFICIARY	Pos Noun HU Role Econ Exch 	
BENEFIT	Pos Noun ECON COM Comform Econ* Pstv 	50% noun: Incremental monetary payments 
BENEFIT	IAV Pos SUPV Intrel Affil Power Pstv Strng 	21% verb: Gain, do good for, to 
BENEFIT	Pos Noun Goal Pstv Strng 	29% noun: Gain, good deed 
BENEVOLENCE	Pos Noun Econ Virtue 	
BENEVOLENT	IPadj Pos Modif Econ Virtue 	
BENIGN	Pos Modif Pstv Psv Virtue Power Affil 	
BEQUEATH	DAV Pos SUPV Actv Econ Other Exch 	
BEST	Pos LY EVAL Comp EST Virtue Pstv 	noun-adj-adv: Superlative of good, marking maximum positive evaluation, etc. 
BESTOW	IAV Pos SUPV Intrel Power Pstv Strng Actv 	
BETROTH	IAV Pos SUPV Actv Econ Other Exch 	
BETROTHAL	Pos Noun Econ Exch 	
BETTER	Pos LY EVAL Comp ER Virtue Pstv PFREQ 	91% adjective adv: Comparative of 'good' or 'well' 
BETTER	IAV Pos SUPV Try Pstv Actv 	2% verb: To improve 
BLAMELESS	IndAdj Pos Modif Eval Legal Virtue 	
BLESS	IAV Pos SUPV Intrel Affil Relig Pstv Psv 	32% verb: To consecrate, favor or endow, make happy or prosperous 
BLESS	Pos Noun Comform Relig Pstv 	64% noun: "Blessing"--a benediction, good fortune 
BLESS	Pos Modif Virtue Relig Pstv 	5% adj: "Blessed"--consecrated, blissful 
BLISS	Pos Noun Emot Pleasure 	
BLISSFUL	IndAdj Pos Modif Eval Emot Pleasure 	
BLITHE	IndAdj Pos Modif Pleasure 	
BLOOM	IAV Pos SUPV Actv Begin Incr 	
BLOSSOM	IAV Pos SUPV Actv Begin Incr 	
BOARD	Pos Modif Virtue Pstv 	2% idiom-adj: 'above board'--honest, open 
BOLDNESS	Pos Noun Strng Power Virtue 	
BOLSTER	IAV Pos SUPV Actv Affil Strng Incr 	
BONNY	IndAdj Pos Modif Eval Virtue 	
BONUS	Pos Noun ECON Pstv Econ* Comform 	
BOOM	Pos Noun Econ Incr Strng 	
BOOST	Pos Modif Incr Pstv Strng Actv 	
BOOST	IAV Pos SUPV Pstv Strng Actv Incr 	
BOUNDLESS	IndAdj Pos Modif Strng Quan Incr 	
BOUNTIFUL	IndAdj Pos Modif Incr Strng Quan 	
BRAINY	IndAdj Pos Modif Think 	
BRAVE	Pos Modif EVAL Virtue Pstv Strng Power 	
BRAVERY	Pos Noun Strng Power Virtue 	
BREADWINNER	Pos Noun HU Role Econ Work Ach 	
BRIGHT	Pos Modif EVAL Qual Pstv 	adj-adv: Full of light, literally or figuratively (includes comparative  (1), superlative (2) and adverb (1) for 
BRIGHTNESS	Pos Noun Qual Pstv 	
BRILLIANCE	Pos Noun Qual Pstv 	
BRILLIANT	Pos Modif EVAL Qual Pstv Ovrst 	
BROTHERHOOD	Pos Noun Virtue Affil Pstv Strng 	
BROTHERLY	IPadj Pos Modif Affil Intrel 	
BUOYANT	IndAdj Pos Modif Strng Affil 	
BUY	Pos Noun ECON Virtue Econ* Pstv 	0% noun: A bargain 
CALL	DAV Pos SUPV Intrel Affil Pstv 	1% verb: To visit 
CALM	Pos Noun EMOT Psv Pleasur Pstv 	50% noun-adj: Undisturbed, quiet, tranquil 
CALM	IAV Pos SUPV Pstv Psv Pleasur 	38% verb: To quiet, become subdued 
CALM	Pos Modif Pleasur Pstv Psv 	12% adv: "Calmly"--quietly 
CALMNESS	Pos Noun Emot Pleasure Undrst 	
CANDID	IPadj Pos Modif Comform Strng 	
CANDOR	Pos Noun Comform Strng 	
CAPABILITY	Pos Noun Means Power Strng Pstv 	noun: Power or potential 
CAPABLE	Pos Modif Virtue Power Pstv Strng 	adj: Having power or ability 
CAPITALIZE	IAV Pos SUPV Actv Strng Power Econ Incr Ach 	
CAPTIVATION	Pos Noun Think Ovrst Percv 	
CARE	Pos Noun Affil Pstv Actv Undrst Arousal 	26% noun: Attention, concern, thought, worry, assistance 
CARE	SV Pos SUPV Affil Pstv Actv Intrel 	41% verb: To be concerned with, to mind about, prefer, be solicitous of;  to provide for (much less frequen 
CAREFREE	IndAdj Pos Modif Emot Pleasure 	
CAREFUL	Pos Modif Virtue Pstv Undrst 	adj: Cautious 
CARESS	Pos Noun Comform Affil Pstv 	
CARESS	IAV Pos SUPV Intrel Affil Pstv 	
CASUAL	Pos Modif Virtue Psv Pstv Undrst 	
CEASELESS	IndAdj Pos Modif Negate Freq 	
CELEBRATE	IAV Pos SUPV Actv Pleasure 	
CELEBRATION	Pos Noun Ritual Affil Pstv Actv 	
CELEBRITY	Pos Noun HU Role Ovrst Power 	
CEREMONIAL	IndAdj Pos Modif Doctr 	
CHAMP	Pos Noun HU Role Power Strng Ach 	
CHAMPION	Pos Noun HU Pstv Strng Actv Power Role 	
