word	tags	comments
ABOLISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
ACCOMPLISH	IAV Pos SUPV Pstv Strng Actv Power Complt 	verb: To bring to its goal or conclusion 
ACCOMPLISHMENT	Pos Noun Goal Pstv Strng Actv Power 	
ACCORD	IAV Pos SUPV Intrel Power Pstv 	8% verb: To grant, bestow 
ACHIEVEMENT	Pos Noun Goal Pstv Actv Power 	
ADJUDICATION	Noun COM Comform Power 	
ADMINISTER	IAV SUPV Intrel Power Strng Actv 	
ADMINISTRATION	Noun HU COLL ABS TIME POLIT Polit* Power Strng 	69% noun-adj: A body entrusted with executive or administrative powers,  the time span over which such power is exercised (2) 
ADMINISTRATION	Noun ECON Power Strng Actv Doctr 	31% noun: Direction or management of institutional activity 
ADMINISTRATIVE	Modif POLIT ECON Doctr Power Strng Actv 	
ADMINISTRATOR	Noun HU POLIT ECON Power Strng Role 	
ADMIT	DAV Pos SUPV Intrel Power Pstv Psv 	33% verb: To grant entry, membership or access to something 
ADMONISH	IAV Neg SUPV Intrel Hostile Power Strng Actv 	
ADVISER	Noun HU Power Role 	
ADVISOR	Noun HU Power Role 	
ADVOCATE	IAV SUPV Power Strng Actv Comform 	
AFFIRM	IAV Pos SUPV Power Pstv Strng Comform 	
AFFORD	IAV SUPV Work Power Strng 	26% verb: To furnish, confer upon or be capable of providing 
AGENCY	Noun HU COLL POLIT ECON Econ* Power 	noun: A commercial or other bureau furnishing some form of service for  the public, the office of an agent. 
ALLIANCE	Pos Noun HU COLL POLIT Polit* Power Pstv Strng 	
ALLOT	IAV SUPV Intrel Power 	
ALLOW	IAV Pos SUPV Intrel Power Pstv Psv PFREQ 	97% verb: Permit 
ALMIGHTY	IndAdj Pos Modif Strng Virtue Power 	
AMAZEMENT	Pos Noun Strng Power 	
AMAZING	IndAdj Pos Modif Ovrst Power Strng 	
AMBASSADOR	Noun HU POLIT Polit* Power Role 	
AMBITION	Noun POLIT ECON Virtue Power Strng 	noun: Desire for success or distinction 
AMBITIOUS	Modif Virtue Power Strng Actv 	
AMNESTY	Pos Noun Legal Doctr Power 	
APPOINT	DAV Pos SUPV Intrel Power Pstv Actv 	
APPRAISAL	Noun Means Power 	
APPROPRIATE	IAV SUPV Intrel Power Strng 	
APPROPRIATION	Noun ECON COM Comform Power 	
ARDENT	IndAdj Pos Modif Strng Power Affil 	
ARISTOCRACY	Pos Noun HU Role Econ Power 	
ARISTOCRAT	Pos Noun HU Role Econ Power 	
ARISTOCRATIC	IndAdj Pos Modif Econ Power 	
ARM	Noun Object POLIT Tool Hostile Milit Strng Power 	16% noun: "Arms"--weapons 
ARM	IAV SUPV Intrel Milit Strng Actv Power 	1% verb: To equip with weapons 
ARMED	Modif Object Tool Milit Power Strng Hostile 	adj: Equipped with weapons 
ARMED	IAV SUPV ED Intrel Milit Strng Actv Power Hostile 	0% verb: To equip with weapons (past tense) 
ARMY	Noun HU COLL POLIT Milit Strng Power Hosti 	noun: The military forces of a nation 
ARRANGE	IAV SUPV Power Actv Comform 	59% verb: To come to an agreement concerning, to prepare or plan--'we  arranged to meet them.' 
ARREST	Neg Modif Hostile Legal Power Ngtv Strng Actv Exert 	15% noun-adj: Halting, seizure, usually by legal authority, seized, halted, stopped 
ARROGANCE	Neg Noun Vice Power 	
ASSERT	IAV SUPV Power Strng Actv Comform 	
ASSESSOR	Noun HU ECON Power Role 	
ASSIGN	DAV SUPV Power Actv Comform 	
ASSUME	IAV SUPV Intrel Power 	44% verb: To undertake, take over the duties of, or adopt 
ASSURE	IAV Pos SUPV Power Pstv Strng Ovrst Comform 	33% verb: To pledge, to state with confidence, to make confident 
ASSURE	Pos Modif EMOT Power Ovrst Pstv Strng Pleasur 	17% adj: "Assured"--confident (2), guaranteed (1) 
ASSUREDLY	Pos LY Power Ovrst Pstv Strng 	
ASTOUND	SV Pos SUPV Actv Ovrst Strng Power 	
ATTORNEY	Noun HU POLIT ECON Legal Power Role 	
AUDITOR	Noun HU ECON Econ* Power Legal Role 	
AUTHORITARIAN	Noun HU Power Strng POLIT Role 	
AUTHORITATIVE	IPadj Pos Modif Legal Ovrst Strng Virtue Power Doctr 	
AUTHORITY	Pos Noun Legal Power Strng 	
AUTHORIZE	Modif Power Strng Legal Comform 	
AUTHORIZE	IAV SUPV Power Strng Actv Comform Legal 	
