word	tags	comments
ABLE	Pos Modif EVAL Virtue Strng Pstv 	adjective: Having necessary power, skill, resources, etc. 
ABUNDANCE	Pos Noun Quan ECON Pstv Strng Ovrst 	
ABUNDANT	Pos Modif Quan Pstv Strng Ovrst 	
ACCEPT	IAV Pos SUPV Intrel Subm Pstv Psv 	verb: To take, receive or accede to something 
ACCEPTABLE	Pos Modif Virtue EVAL Pstv 	
ACCEPTANCE	Pos Noun Affil Pstv Psv Intrel 	
ACCOMMODATE	IAV Pos SUPV Vary Pstv Actv 	
ACCOMPLISH	IAV Pos SUPV Pstv Strng Actv Power Complt 	verb: To bring to its goal or conclusion 
ACCOMPLISHMENT	Pos Noun Goal Pstv Strng Actv Power 	
ACCORD	IAV Pos SUPV Intrel Pstv 	3% verb: "Accord with" to be consistent with 
ACCORD	IAV Pos SUPV Intrel Power Pstv 	8% verb: To grant, bestow 
ACCORD	Pos LY Means Pstv 	3% adv: "Of one's own accord"--voluntarily 
ACCORDANCE	Pos Noun Know Pstv 	
ACCURACY	Pos Noun ABS Abs* Virtue Pstv Ovrst 	
ACCURATE	Pos Modif Virtue Pstv Ovrst 	
ACHIEVE	IAV Pos SUPV Complt Pstv Strng Actv 	verb: To accomplish or carry through 
ACHIEVEMENT	Pos Noun Goal Pstv Actv Power 	
ACQUAINT	IAV Pos SUPV Pstv Solve 	
ACQUAINTANCE	Pos Noun HU Affil Pstv Role 	
ACTUAL	Pos Modif Virtue Ovrst Pstv 	27% adjective: Existing in act or fact, real. 
ACTUAL	Pos LY Ovrst Pstv Virtue 	73% adverb: "Actually"--really 
ACTUALITY	Pos Noun Pstv Virtue Doctr 	
ADEPT	Pos Modif EVAL Virtue Pstv Strng 	
ADEQUATE	Pos Modif EVAL Virtue Pstv Undrst PFREQ 	adjective: Sufficient. 
ADJUST	Pos Modif Virtue Pstv Subm 	23% adj: "Adjusted"--adapted 
ADJUSTMENT	Pos Noun Virtue Pstv Psv 	
ADMIRE	SV Pos SUPV Affil Subm Pstv Psv Pleasur 	
ADMIT	IAV Pos SUPV Subm Pstv Weak Psv Comform 	63% verb: To acknowledge, confess, agree 
ADMIT	DAV Pos SUPV Intrel Power Pstv Psv 	33% verb: To grant entry, membership or access to something 
ADMIT	Pos LY Ovrst Comform Subm Pstv Weak Psv 	3% adv: "Admittedly"--adverbial form of sense 1 
ADULT	Pos Modif Virtue Pstv Strng 	30% adj: Mature, of or pertaining to adults 
ADVANCE	IAV Pos SUPV Travl Pstv Strng Actv 	47% verb: To move or bring forward, improve, promote 
ADVANCE	Pos Noun Pstv Strng Actv Means 	20% noun-adj: A moving forward, improvement, approach, in front, prior 
ADVANCE	Pos Modif Virtue Pstv Psv 	20% adj: "Advanced"--forward, in front, progressive 
ADVANCEMENT	Pos Noun Incr Pstv 	
ADVANTAGE	Pos Noun ABS Abs* ECON Virtue Pstv Strng 	noun: Any state or opportunity favorable to success, benefit, gain, position  of superiority. 
ADVANTAGEOUS	Pos Modif Virtue Pstv Strng 	
AFFECTION	Pos Noun EMOT Affil Pstv Arousal 	
AFFECTIONATE	Pos Modif EMOT Affil Pstv Arousal 	
AFFIRM	IAV Pos SUPV Power Pstv Strng Comform 	
AGREE	IAV Yes SUPV Affil Pstv 	96% verb: To be of one mind, harmonize in opinion or feeling, give consent, assent 
AGREEABLE	Pos Modif Comform EVAL Pstv 	
AGREEMENT	Pos Noun COM Comform Affil Pstv Strng 	noun: Unanimity of opinion, state of accord, mutual arrangement. 
AID	IAV Pos SUPV Intrel Affil Pstv Strng Actv 	16% verb: To give help 
AID	Pos Noun Affil Pstv Virtue Actv 	81% noun: Help, a helper 
ALIVE	Pos Modif Natpro Strng Actv Pstv 	adjective: Living, existing, full of life. 
ALLIANCE	Pos Noun HU COLL POLIT Polit* Power Pstv Strng 	
ALLIED	IAV Pos SUPV Intrel Affil Polit* Strng Pstv 	
ALLOW	IAV Pos SUPV Intrel Power Pstv Psv PFREQ 	97% verb: Permit 
ALLY	Pos Noun HU POLIT Affil Polit* Pstv Strng Role 	
AMELIORATE	IAV Pos SUPV Intrel Pstv Actv Affil 	
AMPLE	Pos Modif Quan Pstv Strng 	
APPEAL	Pos Modif Affil Psv Pleasur Pstv 	3% adj: "Appealing"--arousing a favorable response 
APPLAUSE	Pos Noun COM Comform Pstv 	
APPOINT	Pos Modif Pstv Actv 	
APPOINT	DAV Pos SUPV Intrel Power Pstv Actv 	
APPRECIABLE	Pos Modif Percv Pstv Strng Ovrst 	
APPRECIATE	SV Pos SUPV Subm Pstv Psv Arousal Affil 	verb: To be aware of, to be grateful 
APPRECIATION	Pos Noun Pleasur Pstv Psv Affil 	
APPROACH	IAV Pos SUPV Travl Pstv Actv 	66% verb: To come near or nearer to, or to set about a task 
APPROACH	Pos Noun Pstv Psv Means Actv 	34% noun: The method used or steps taken in setting about a task, problem;  a coming toward 
APPROPRIATE	Pos Modif Virtue Pstv Ovrst 	
APPROVAL	Pos Noun COM Comform Affil Pstv 	
APPROVE	Pos Modif Virtue Affil Pstv 	
