word	tags	comments
ACUTE	Modif Ovrst Qual 	
ADVISABLE	IPadj Pos Modif Eval Qual Know 	
AFFLUENCE	Pos Noun Econ Qual 	
AFFLUENT	IndAdj Pos Modif Econ Qual 	
ALLOWABLE	IPadj Pos Modif Eval Qual 	
ALOUD	LY Qual 	
ANIMATION	Noun Actv Qual 	
ATTRACTIVENESS	Pos Noun Eval Qual 	
ATTRIBUTE	Modif Qual 	
AUSPICIOUS	IndAdj Pos Modif Eval Qual 	
BARK	Modif Qual 	
BEAR	Noun Qual 	0% noun: "Bearing"--carriage, mien 
BEAUTEOUS	IndAdj Pos Modif Eval Qual 	
BENT	Modif Qual Weak Psv 	
BLUNT	IPadj Neg Modif Qual Strng Ngtv 	
BOARD	LY Ovrst Qual 	2% idiom-adv: 'across the board,' without exception, general 
BODY	Modif Qual 	3% adj-adv: "Bodily"--physical, physically, in entirety 
BRIGHT	Pos Modif EVAL Qual Pstv 	adj-adv: Full of light, literally or figuratively (includes comparative  (1), superlative (2) and adverb (1) for 
BRIGHTNESS	Pos Noun Qual Pstv 	
BRILLIANCE	Pos Noun Qual Pstv 	
BRILLIANT	Pos Modif EVAL Qual Pstv Ovrst 	
CHARGE	Modif Qual Strng 	2% adj: "Charged"--loaded, usually with some form of energy 
CHIC	IndAdj Pos Modif Eval Qual 	
CHILL	Modif Qual 	
CHILLY	Modif Qual 	
CLARITY	Pos Modif Ovrst Pstv Qual 	
CLEAR	Pos Modif Pstv Ovrst Qual 	52% adj: Distinct, limpid, certain, lucid, free of obstructions, orderly  (mostly abstract) 
CLEAR	Pos Modif Qual Pstv 	2% adj: "Clearer"--comparative of sense 1 
CLEAR	Pos Modif Qual Pstv 	0% adj: "Clearest"--superlative of sense 1 
CLOTHE	Modif Qual 	3% adjective: "Clothed"--covered with or as with clothing 
COARSE	IndAdj Neg Modif Qual Ngtv 	
COARSENESS	Neg Noun Vice Qual Eval 	
COLD	Neg Modif Qual EVAL Ngtv Psv PFREQ 	82% noun-adj: Very cool, lacking in heat; the absence of heat (2); unfriendly,  forbidding (2); absolutely, without preparation, abruptly (0) 
COLD	Modif Qual 	1% adjective: "Colder"--comparative of sense 1 
COLD	Modif Qual 	1% adjective: "Coldest"--superlative of sense 1 
COLOSSAL	IndAdj Pos Modif Ovrst Eval Qual 	
COMELY	IndAdj Pos Modif Eval Qual 	
COMMENSURATE	IPadj Pos Modif Rel Eval Qual 	
COMMONPLACE	Neg Noun Modif Ovrst Ngtv Qual 	
COMPLEMENTARY	IndAdj Pos Modif Eval Qual Rel 	
COMPOSITE	Modif Qual 	
CONCRETE	Modif Qual Strng 	
CONTRAST	Noun Qual 	
COOK	Modif Qual 	8% adj: "Cooked"--heated, prepared 
COZY	IndAdj Pos Modif Eval Qual Pleasure 	
CRACK	Modif Qual Weak 	
CREDENTIALS	Pos Noun Qual Eval Affil 	
CREDIBILITY	Pos Noun Eval Qual 	
CREDIBLE	IndAdj Pos Modif Eval Qual 	
CRISP	Modif Qual 	
CRUSH	Neg Modif Qual Ngtv Strng Actv 	
CUBIC	Modif Qual 	
CUMBERSOME	IndAdj Neg Modif Qual Eval Strng 	
CURL	Modif Qual 	
CURVE	Modif Qual 	
DAMP	Modif Qual 	
DARING	IndAdj Pos Modif Virtue Pstv Strng Eval Qual 	
DARK	Neg Modif Qual Ngtv 	noun-adj: Night, absence of light, blackness--black, obscure, gloomy 
DARKNESS	Neg Noun Ngtv Qual 	
DELICACY	Pos Noun Eval Qual Ovrst 	
DELICATE	Pos Modif Qual EVAL Pstv Weak 	
DENSE	Modif Qual Strng 	
DENSITY	Noun Qual Strng 	
DESIROUS	IndAdj Pos Modif Eval Qual Need 	
DIM	Neg Modif Qual Ngtv Undrst 	
DRY	Noun Qual 	65% noun-adj: Free from moisture 
