word	tags	comments
ABOUT	PREP LY Quan Undrst 	11% prep-adv: Almost, approximately 
ABOVE	PREP LY Quan 	59% prep-adv: Higher than, superior to 
ABUNDANCE	Pos Noun Quan ECON Pstv Strng Ovrst 	
ABUNDANT	Pos Modif Quan Pstv Strng Ovrst 	
ACCUMULATION	Noun Quan Actv 	
ADD	Modif Quan Strng 	13% adj: "Added," extra, further,increased--"the added expense" 
ADDITION	LY Quan Strng 	82% idiom-adv: 'in addition,' besides, additionally 
ADDITIONAL	Modif Quan Strng 	
AGGREGATE	Pos Noun Quan 	
AGGREGATION	Pos Noun Quan 	
ALL	DET PRE PRE2 Modif Quan Ovrst 	40% adj: Every, any, the whole 
ALL	LY Quan Undrst 	4% idiom-adv: "At all"--(with negatives)--whatsoever 
ALLOCATION	Noun POLIT ECON COM Quan 	
ALLOTMENT	Noun ECON Quan 	
ALLOWANCE	Pos Noun Econ Quan 	
ALMOST	LY Quan Ovrst 	adverb: Very nearly, all but. 
ALONE	LY Ovrst Quan 	18% adj-adv: To the exclusion of all others, only 
ALSO	Modif LY Quan 	adverb: Moreover, in addition. 
AMOUNT	Noun Quan 	92% noun: Quantity. 
AMPLE	Pos Modif Quan Pstv Strng 	
ANOTHER	DET PRE PRE1 Comp ER Modif Quan 	75% adj: One more, a different 
ANY	DET PRE PRE2 Modif Quan Ovrst PFREQ 	87% adj-adv: One or more without specification or identification; every--cf.  "any schoolboy knows that"; at all--cf. "she cannot stand any criticism";  in whatever degree, to some extent 
APPROXIMATE	Modif Quan Undrst 	
APPROXIMATELY	LY Quan Undrst 	
AS	LY Quan 	11% adv: To such a degree or extent, so 
ASTRONOMICAL	Modif Ovrst Quan 	
AVERAGE	Modif EVAL Quan Weak 	65% adj: Constituting a numerical average, typical, ordinary 
AVERAGE	Noun Quan 	30% noun: An arithmetic mean, an approximation to this 
AWFUL	Modif Ovrst Quan 	17% idiom: 'an awful lot', a great deal. 
AWFUL	LY Ovrst Quan 	21% adverb: "Awfully"--extremely 
BANKRUPT	IndAdj Neg Modif Vice Econ Fail Quan 	
BANKRUPTCY	Neg Noun Vice Econ Fail Quan 	
BARELY	LY Undrst Quan 	
BARREN	IndAdj Neg Modif Psv Weak Quan 	
BESIDE	Handels Quan 	58% prep-conj-adv: In addition (to)--"besides" 
BIG	Modif DIM Quan Strng 	adj: Large, important (includes comparative and superlative) 
BILLION	DET NUMB CARD ECON Quan Ovrst 	
BIT	Noun Quan Undrst Weak PFREQ 	93% noun-adv: A small quantity; a role or routine (2) (rarely, mouthpiece  of a bridle, tool (0)) 
BODY	Noun Quan 	1% noun: A mass, or the main mass or portion of something, substance 
BOTH	PRON Quan 	49% pron: The two 
BOTH	DET PRE PRE1 Quan 	24% adj: The two 
BOUNDLESS	IndAdj Pos Modif Strng Quan Incr 	
BOUNTIFUL	IndAdj Pos Modif Incr Strng Quan 	
BULK	Noun Quan Ovrst Strng 	
BUNCH	Noun Quan 	
BUNDLE	Noun Quan 	
BURST	Noun Quan Strng Actv 	
CHIEF	Modif Quan Strng Ovrst 	6% adj: Most important, primary 
CHIEF	LY Quan Strng Ovrst 	2% adv: "Chiefly"--principally 
CLEAR	LY Ovrst Quan 	3% adv: Completely, all the way, away from 
CLUSTER	Noun Quan Strng 	
COLLECTION	Noun Quan 	
COMBINATION	Noun ABS Abs* Quan Actv 	
COMBINE	Modif Quan Strng Actv 	
COMPLEMENT	Pos Noun Quan Pstv 	
COMPLETE	Pos Modif Quan Strng Ovrst Pstv 	30% adjective: Whole, entire, lacking nothing 
COMPLETE	LY Quan Ovrst Strng 	46% adverb: Wholly, entirely--"completely" 
CONSIDERABLE	Modif Quan DIM Strng Ovrst 	77% adj: Substantial 
CONSIDERABLE	LY Quan DIM Strng Ovrst 	23% adv: "Considerably"--substantially 
COST	Neg Noun COM ECON Quan Econ* Ngtv 	67% noun-adj: Expense, outlay, sacrifice, loss, penalty 
COUNT	Noun Quan 	
COUNTLESS	DET PRE PRE1 Modif Quan Ovrst Strng 	
COUPLE	DET PRE PRE1 Modif Quan 	57% adj: A couple of--two or three, a few 
CUMULATIVE	Modif Quan Strng 	
DEAL	Pos Noun Quan Pstv 	53% idiom-noun: 'a great deal,' 'a good deal,' etc.--an indefinite but  large quantity 
DECIMAL	Modif Quan 	
