word	tags	comments
ACQUAINTANCE	Pos Noun HU Affil Pstv Role 	
ACTOR	Noun HU MALE Exprs Actv Role 	
ADMINISTRATOR	Noun HU POLIT ECON Power Strng Role 	
ADULT	Noun HU Strng Role 	70% noun: A mature organism, almost always human 
ADVERSARY	Neg Noun Intrel HU Polit Role Hostile 	
ADVISER	Noun HU Power Role 	
ADVISOR	Noun HU Power Role 	
ADVOCATE	Noun HU POLIT Legal Strng Actv Role 	
AGE	Noun HU S Role 	21% noun-adj: "Aged"--the old, old 
AGENT	Noun HU Legal Role 	
AIDE	Noun HU POLIT Role 	
ALCOHOLIC	Noun HU Role 	
ALIEN	Neg Noun HU POLIT Ngtv Role 	
ALLIES	Pos Noun HU Role Affil Intrel 	
ALLY	Pos Noun HU POLIT Affil Polit* Pstv Strng Role 	
AMATEUR	Noun HU Weak Role 	
AMBASSADOR	Noun HU POLIT Polit* Power Role 	
ANCESTOR	Noun HU KIN Kin* Role 	
ANGEL	Pos Noun HU Role Virtue Affil Relig 	
APPLICANT	Noun HU Subm Role 	
ARBITER	Pos Noun HU Role Solve Affil Intrel Comform 	
ARCHITECT	Noun HU Exprs Role 	
ARISTOCRACY	Pos Noun HU Role Econ Power 	
ARISTOCRAT	Pos Noun HU Role Econ Power 	
ARTIST	Noun HU Exprs Role 	noun: One who creates works of art, especially a painter 
ASSESSOR	Noun HU ECON Power Role 	
ASSISTANT	Pos Noun HU Subm Pstv Actv Role 	
ASSOCIATE	Pos Noun HU ECON Econ* Pstv Actv Role 	33% noun-adj: A partner or peer 
ATTACKER	Noun HU Hostile Role 	
ATTENDANT	Noun HU Subm Actv Role 	
ATTORNEY	Noun HU POLIT ECON Legal Power Role 	
AUDITOR	Noun HU ECON Econ* Power Legal Role 	
AUNT	Noun HU Female KIN Kin* Role 	noun: The sister of one's father or mother 
AUTHOR	Noun HU Exprs Role 	
AUTHORITARIAN	Noun HU Power Strng POLIT Role 	
BABY	Noun HU KIN Nonadlt Weak PFREQ Role 	95% noun-adj: An infant 
BABY	Noun HU Econ* Role 	3% idiom-noun: "Baby sitter"--a person given charge of a child 
BACHELOR	Noun HU MALE Role 	
BACKER	Pos Noun HU Econ* Pstv Strng Role 	
BAKER	Noun HU Econ* Role 	
BANKER	Noun HU ECON Econ* Role 	
BARBER	Noun HU Econ* Role 	
BARD	Noun HU Exprs Role 	
BASTARD	Neg Noun HU Hostile Ngtv Role 	
BEARER	Noun HU Role Subm 	
BEGINNER	Noun HU Role 	
BEING	Noun HU Role 	11% noun: Living creature, usually human, life, substance, nature 
BELIEVER	Noun HU Relig Psv Role Subm 	
BENEFACTOR	Pos Noun HU Role Econ Fetch Virtue 	
BENEFICIARY	Pos Noun HU Role Econ Exch 	
BEREFT	Neg Noun HU Weak Role 	
BISHOP	Noun HU Power Relig Role 	
BLACK	Noun HU POLIT Race Role 	17% noun-adj: Negro 
BLIND	Neg Noun HU Ngtv Weak Role 	71% noun-adj: (those who are) without sight; without understanding or control (2) 
BOARDER	Noun HU Econ* Role 	
BOATSWAIN	Noun HU Econ* Role 	
BOSS	Noun HU ECON Econ* Power Strng Actv Role 	noun: Person in charge of something 
BOXER	Noun HU Exprs Strng Actv Role 	
BOY	Noun HU MALE Nonadlt Role 	noun: A male child 
BREADWINNER	Pos Noun HU Role Econ Work Ach 	
BRIDE	Noun HU Female KIN Affil Kin* Role 	
BROKER	Noun HU ECON Econ* Role 	
BROTHER	Noun HU MALE KIN Kin* Affil Role 	noun: Male sibling; fellow member of a religious or other organization  or group; comrade (13) 
BUDDY	Noun HU MALE Affil Role 	
BUILDER	Noun HU Econ* Role 	
BUSINESSMAN	Noun HU MALE ECON Econ* Role 	
BUSINESSMEN	Noun HU MALE ECON S Econ* Role 	
BUTCHER	Noun HU Econ* Role 	
CALLER	Noun HU Role 	
CAMPAIGNER	Noun HU Polit* Actv Role 	
CANDIDATE	Noun HU POLIT Polit* Role 	noun: Person considered for selection 
CAPTAIN	Noun HU Power Strng Role 	
CARPENTER	Noun HU Econ* Role 	
CARRIER	Noun HU Role 	
CATCHER	Noun HU Exprs Role 	
CELEBRITY	Pos Noun HU Role Ovrst Power 	
CHAIRMAN	Noun HU POLIT ECON Power Strng Role 	noun: Presiding officer 
CHAIRMEN	Noun HU POLIT ECON S Power Strng Role 	
CHAMP	Pos Noun HU Role Power Strng Ach 	
CHAMPION	Pos Noun HU Pstv Strng Actv Power Role 	
CHANCELLOR	Noun HU POLIT Polit* Power Strng Role 	noun: Title of west german chief of state, an executive title 
CHARACTER	Noun HU Exprs Role 	51% noun: A person, often as in a play or other piece of writing 
CHEAT	Noun HU Econ* Role 	
CHERUB	Pos Noun HU Role Virtue 	
CHIEF	Noun HU Power Strng PFREQ Role 	92% noun: Person highest in authority 
CHILD	Noun HU Nonadlt Role 	noun: Young ungrown human being, boy or girl 
CHILDREN	Noun HU S Nonadlt Role 	noun: Boys and or girls, animal young (rare) 
CHRIST	Noun HU MALE Relig Role 	
CHUM	Pos Noun HU Role Intrel 	
CITIZEN	Noun HU POLIT Polit* Role 	noun: A member of a nation, state, city, or other political body 
CIVIL	Noun HU POLIT Polit* Role 	1% idiom-noun: "Civil servant" 
CIVILIAN	Noun HU POLIT Role 	
CLERGYMAN	Noun HU MALE Relig Role 	
CLERK	Noun HU Econ* Role 	
CLIENT	Noun HU ECON Econ* Role 	
COACH	Noun HU Acad Actv Role 	
COACHMAN	Noun HU MALE Econ* Role 	
COLLEAGUE	Pos Noun HU Affil Pstv Role 	
COLONEL	Noun HU POLIT Milit Power Strng Role 	
COMER	Noun HU Role 	
COMIC	Pos Noun HU Role Work Pleasure 	
COMMANDER	Noun HU POLIT Milit Power Strng Actv Role 	
COMMISSIONER	Noun HU POLIT Power Polit* Strng Role 	
COMMONER	Neg Noun HU POLIT Econ* Subm Ngtv Weak Psv Role 	
COMMUNIST	Noun HU POLIT Econ* Polit* Role 	noun-adj: Anyone or anything characterized by communism 
COMMUTER	Noun Role HU 	
COMPANION	Pos Noun HU Affil Pstv Role 	
COMPOSER	Noun HU Exprs Role 	
CONDUCTOR	Noun HU Exprs Role 	
CONFEDERATE	Noun HU POLIT Affil Polit* Role 	
CONFIDANT	Pos Noun HU Role Affil 	
CONGRESSMAN	Noun HU MALE POLIT Polit* Strng Role 	
CONGRESSMEN	Noun HU S Polit* Power Strng Role 	
CONQUEROR	Pos Noun HU Role Power Strng Travel Intrel 	
CONSERVATIVE	Noun HU POLIT ECON Polit* Psv Role 	19% noun: A group or individual committed to the status quo 
CONSTABLE	Noun HU Legal Power Strng Role 	
CONSULTANT	Noun HU ECON Econ* Role 	
CONSUMER	Noun HU ECON Econ* Role 	
CONTRIBUTOR	Pos Noun HU Role Affil Intrel 	
CONTROLLER	Noun HU Econ* Power Strng Role 	
CONVERT	Noun HU Relig Actv Role 	
CONVICT	Neg Noun HU Legal Subm Ngtv Weak Psv Role 	
COOK	Noun HU Econ* Role 	9% noun: One who cooks 
COP	Noun HU POLIT Legal Power Strng Role 	
CORPORAL	Noun HU Milit Power Strng Role 	
CORRESPONDENT	Noun HU Role 	
COUNSEL	Pos Noun HU Legal Pstv Role 	
COUNSELOR	Noun HU Acad Role 	
COUSIN	Noun HU KIN Kin* Role 	
COWARD	Neg Noun HU Subm Ngtv Weak Psv Role 	
CREATOR	Noun HU Exprs Strng Actv Role 	
CRIMINAL	Neg Noun HU Modif Legal Ngtv Role Hostile 	
CRITIC	Neg Noun HU Exprs Ngtv Role Hostile 	
CRUSADER	Pos Noun HU Role Polit Travel Affil 	
CUSTOMER	Noun HU ECON Econ* Role 	
DAD	Noun HU MALE KIN Kin* Role 	noun: A nickname for father 
DADDY	Noun HU MALE KIN Kin* Role 	noun: Father 
DANCER	Noun HU Exprs Role 	
DARLING	IndAdj Pos Noun HU Pstv Role Affil Eval Virtue 	
DAUGHTER	Noun HU Female KIN Kin* Role 	noun: Female child. 
DEALER	Noun HU ECON Econ* Role 	
DEAN	Noun HU Acad Power Strng Role 	
DEFENDANT	Neg Noun HU Role Weak 	
DEFENDER	Pos Noun HU Pstv Strng Actv Role Affil 	
DELEGATE	Noun HU Polit* Role Power 	
DEMOCRAT	Noun HU POLIT Polit* Role 	noun: Member of a democratic party 
DENTIST	Noun HU Econ* Role 	
DEPUTY	Noun HU POLIT Role 	
DESIGNER	Noun HU Econ* Role 	
DETECTIVE	Noun HU Legal Actv Role 	
DEVIL	Neg Noun HU Hostile Relig Ngtv Role 	noun-adj: Evil spirit 
DICTATOR	Noun HU POLIT Polit* Power Strng Role 	
DIRECTOR	Noun HU ECON Power Strng Role 	
DISCIPLE	Noun HU Subm Psv Role Affil 	noun: Follower 
DISTRIBUTOR	Noun HU ECON Econ* Role 	
DIVER	Noun HU Actv Role 	
DOCTOR	Noun HU Econ* PFREQ Role 	96% noun: A practitioner of medicine 
DOER	Noun HU Actv Role 	
DR	Modif HU Acad Role 	
DREAMER	Noun HU Psv Role 	76% noun: One who is dreaming, literally 
DREAMER	Noun HU Psv Role 	24% noun: A visionary or utopian, as opposed to the practical man 
DRIFTER	Noun HU Psv Role 	
DRINKER	Noun HU Role 	
DRIVER	Noun HU Role Actv 	
DRUNK	Neg Noun HU Ngtv Weak Psv Role 	4% noun: An intoxicated person, one perpetually so 
EARNER	Noun HU Econ* Strng Role 	
EASTERNER	Noun HU Role 	
EATER	Noun HU Role 	
EDITOR	Noun HU Econ* Power Strng Role 	
EGO	Noun HU Role 	
ELDER	Noun HU POLIT Power Strng Role 	33% noun: One of the older and more influential men of a tribe or community;  an adult (9) 
EMPEROR	Noun HU MALE POLIT Polit* Power Strng Role 	
EMPLOYEE	Noun HU ECON Econ* Subm Weak Role 	
EMPLOYER	Noun HU ECON Power Econ* Strng Role 	noun: One who employs labor 
ENEMY	Neg Noun HU POLIT Hostile Ngtv Role 	noun adjective: Foe, antagonist 
ENGINEER	Noun Econ* Role HU 	
EQUAL	Noun HU Role 	4% noun: Equivalents (persons or things) 
EXAMINER	Noun HU Acad Power Role 	
EXECUTIVE	Noun HU POLIT ECON Econ* Power Strng Role 	
EXPERIENCER	Noun HU Psv Role 	
EXPERT	Pos Noun HU Power Pstv Strng Role 	77% noun: "One who knows a great deal about something, and nothing about  a great deal." 
EXPLORER	Noun HU Actv Role 	
EYE	Noun HU Legal Handels Role 	1% idiom-noun: "Private eye" (handled by private) 
FAN	Noun HU Affil Subm Psv Role 	76% noun: Devotee, enthusiast 
FARMER	Noun HU ECON Econ* Role 	noun: One who farms 
FATHER	Noun HU MALE KIN Kin* Strng Role Affil 	noun: A male parent 
FELLOW	Noun HU MALE Role 	73% noun: A person; a member or trustee (1) 
FEMALE	Noun HU Female Role 	noun-adj: The sex that bears offspring 
FEMININE	Modif Female Weak HU Role 	
FIGHTER	Neg Noun HU Hostile Ngtv Strng Actv Role 	
FLYER	Noun HU Econ* Role 	
FOLK	Noun HU KIN Kin* Role 	15% noun: Kin or relatives 
FOLLOWER	Noun HU Subm Psv Role 	
FOOL	Neg Noun HU Ngtv Weak Role 	48% noun: Simpleton 
FORERUNNER	Noun HU Role 	
FORTUNE	Noun HU Role 	10% idiom-noun: "Soldier of fortune"--explorer of fate, a vagabond 
FOUNDER	Noun HU Power Strng Role 	
FOX	Noun HU Role 	2% noun: A sly or clever person 
FRESHMAN	Noun HU Acad Role 	
FRESHMEN	Noun HU S Acad Role 	
FRIEND	Pos Noun HU Affil Pstv Role 	noun: Person attached to another by feelings of affection or personal regard 
GAINER	Noun HU Role 	
GARDENER	Noun HU Econ* Role 	
GENERAL	Noun HU POLIT Milit Power Strng Role 	10% noun: A very high military rank--having extended command or superior  rank (e.g. general chairman) 
GENIUS	Pos Noun HU Pstv Strng Role 	
GENTLEMAN	Noun HU MALE Role 	noun-adj: A man, especially one of good breeding or manners 
GENTLEMEN	Noun HU MALE S Role 	
GHOST	Noun HU Relig Role 	
GIANT	Noun HU Strng PFREQ Role 	85% noun: A human or animal extreme in size or some other aspect 
GIRL	Noun HU Female Nonadlt Role 	noun: Female child or young person 
GIVER	Noun HU Power Role Affil 	
GOD	Noun HU Power Relig Strng Role 	noun: Deity; includes exclamations employing the word "god" with varying  degrees of irreverence 
GODDESS	Noun HU Female Power Relig Strng Role 	
GOVERNOR	Noun HU POLIT Polit* Power Strng Role 	
GRADUATE	Noun HU Acad Role 	30% noun: A person who has received a diploma on completing a course of  study, as in a university or school 
GRANDCHILD	Noun HU KIN Kin* Nonadlt Role 	noun: Son or daughter of someone's son or daughter. 
GRANDCHILDREN	Noun HU KIN S Kin* Nonadlt Role 	noun: Plural of grandchild--sons or daughters of someone's son(s) or daughter(s) 
GRANDFATHER	Noun HU MALE KIN Kin* Role 	noun: Father of someone's mother or father. 
