word	tags	comments
ACADEMY	Noun PLACE Social Acad 	
AIRPORT	Noun PLACE Social 	
ARENA	Noun PLACE Social 	
BANDSTAND	Noun PLACE Social Exprs 	
BAR	Noun PLACE Social 	54% noun-adj: A counter or establishment where liquor is served 
BARN	Noun PLACE Social Econ* 	
BASE	Noun PLACE Social Strng 	22% noun: A foundation, place of operation (2), minimum level (2) 
BIRTHPLACE	Noun PLACE Social 	
BOWER	Noun PLACE Social 	
BUILD	Noun PLACE Social 	22% noun: "Building"--a structure that houses, an edifice 
BUREAU	Noun PLACE Social POLIT ECON 	
CABIN	Noun PLACE Social 	
CAFE	Noun PLACE Social Econ* 	
CAMP	Noun PLACE Social 	79% noun: A temporary shelter or lodging, a place to go on vacation 
CAMPUS	Noun PLACE Social Acad 	
CAPITOL	Noun PLACE Social POLIT Polit* 	
CASTLE	Noun PLACE Social Milit 	
CATHEDRAL	Noun PLACE Social Relig 	
CENTER	Noun POS Strng PLACE Social 	78% noun: Middle or focal point; place where various generally public,  social services and activities are performed and provided-- "community  center," "center for the arts" (15) interest, social gathering place ('community  center') 
CHAPEL	Noun PLACE Social Relig 	
CHURCH	Noun PLACE Social Relig 	noun-adj: The christian religion, its rituals, its members, a specific  denomination of it, any or all of these or pertaining to them-- frequently  used in "go to church" meaning attend its religious rites, generally once  a week; the actual building whic 
CLEAR	Noun PLACE Social Econ* ECON 	0% idiom-noun: "Clearing house"--place where mutual claims are settled 
COLLEGE	Noun PLACE Social Acad 	noun-adj: Institution of higher learning, especially liberal arts 
COMMON	Noun PLACE Social 	1% noun: Shared space, usually land 
COMMUNAL	IPadj Pos Modif Social Affil 	
COMMUNE	Pos Noun Social Affil 	
COTTAGE	Noun PLACE Social 	
COUNTRY	Noun PLACE Social 	0% idiom-noun: "Country club" 
DAIRY	Noun PLACE Social ECON 	
DEPARTMENT	Noun PLACE Social ECON Econ* 	4% noun-idiom: Department store 
DUMP	Neg Noun PLACE Social Ngtv 	
DWELLING	Noun PLACE Social 	
