word	tags	comments
ACCOUNT	IAV SUPV Solve Actv 	11% verb: To explain, dispose of (usually with "for") 
ACQUAINT	IAV Pos SUPV Pstv Solve 	
ACQUIT	DAV Pos SUPV Legal Solve 	
ACQUITTAL	Pos Noun Legal Solve 	
ACROSS	IAV SUPV Solve 	8% idiom-verb: "Come across"--discover, encounter 
ADD	DAV SUPV Solve PFREQ 	87% verb: To combine with so as to increase number, size, importance, completeness 
ALLOW	IAV SUPV Solve 	3% idiom-verb: "Allow for"--make provision for 
ANALYZE	IAV SUPV Solve Actv 	
APPLY	IAV SUPV Solve Actv 	79% verb: To have relevance to, put to use on, use or consider in regard  to, to bring to bear (only 2 physical--i.e. "she applied the paint") 
ARBITER	Pos Noun HU Role Solve Affil Intrel Comform 	
ARBITRATE	IAV Pos SUPV Actv Solve Affil Intrel Comform 	
ARBITRATION	Pos Noun Solve Affil Intrel Comform 	
ARGUE	IAV SUPV Solve Actv 	56% verb: To present reasons for, to maintain in reasoning--'to argue  that,' or 'to argue for'--(sense of reasoning) 
ASCERTAIN	IAV SUPV Solve Actv Ovrst 	
ASSOCIATE	IAV Pos SUPV Solve Pstv Actv 	59% verb: To make a connection between things, to mix with socially 
ASSUME	IAV SUPV Psv Solve 	56% verb: To take for granted, suppose, postulate 
ATTRIBUTE	IAV SUPV Solve 	
ATTUNE	IndAdj Pos Modif Think Solve 	
AVERAGE	IAV SUPV Solve 	3% verb: To reduce to or result in a mean 
BAFFLE	IAV Neg SUPV Ngtv Undrst Solve 	
BASE	IAV SUPV Solve Strng 	78% verb: To establish, ground, provide with a foundation or rationale,  to have as foundation - "based on". 
BEAR	IAV SUPV Solve 	4% verb: "Bear on," "(bring) to bear"--to have relevance or relation to 
BELIEVE	SV SUPV Solve Psv 	68% verb: To be of the opinion that--to think or consider 
BELIEVE	SV SUPV Solve Subm Psv 	20% idiom-verb: "Believe in"--to be strongly (religiously) persuaded of  the truth, value, or existence of 
BEWILDER	IAV Neg SUPV Ngtv Undrst Solve 	
BRING	IAV SUPV Solve Actv 	1% idiom-verb: (to) "bring to mind"--to become conscious of 
CALCULATE	DAV SUPV Solve Actv 	
CALL	DAV SUPV Solve 	37% verb: To name, give a name to 
CHARACTERIZE	IAV SUPV Solve 	
CHART	IAV SUPV Solve Actv 	
CHECK	IAV SUPV Solve Actv 	45% verb: To investigate, verify, restrain 
CHOOSE	IAV SUPV Psv Solve 	verb: To make a choice 
CHOSE	IAV SUPV ED Psv Solve 	
CHOSEN	IAV SUPV ED Psv PFREQ Solve 	88% verb: Past tense of 'choose'--selected 
CLASSIFY	IAV SUPV Solve Actv 	
CLEAR	IAV SUPV Solve 	3% idiom-verb: "Clear up"--make orderly or understandable 
CODE	IAV SUPV Solve 	
COMPARE	IAV SUPV Actv Solve 	
COMPLICATE	IAV Neg SUPV Solve Ngtv 	
COMPUTE	IAV SUPV Solve Actv 	
CONCEIVE	IAV SUPV Solve Psv 	
CONCENTRATE	IAV SUPV Solve Strng Actv 	
CONFIRM	IAV SUPV Solve Strng Ovrst 	
CONFUSE	IAV Neg SUPV Solve Weak Ngtv Undrst 	2% verb: To fail to distinguish 
CONSIDER	IAV Pos SUPV Pstv PFREQ Solve 	verb: To think about or bear in mind--to regard or deem to be; to regard  with respect, thoughtfulness, etc. (2) 
CONSTERNATION	Neg Noun Think Solve Vice 	
CONSTRUE	IAV SUPV Solve 	
CONTEMPLATE	IAV SUPV Psv Solve 	
CORRELATE	IAV SUPV Solve 	
COUNT	DAV SUPV Solve 	
CRAFTY	IndAdj Neg Modif Think Solve Vice 	
DAWN	IAV SUPV Solve 	3% idiom-verb: 'dawn on'--to occur to 
DECIDE	IAV SUPV Solve Strng Actv PFREQ 	98% verb: To settle something in dispute or in doubt, conclusion 
DECIPHER	IAV Pos SUPV Actv Comform Solve 	
DEDUCE	IAV Pos SUPV Actv Think Solve 	
DEDUCT	IAV SUPV Solve Actv 	
DEEM	IAV SUPV Psv Solve 	
DEFINE	IAV SUPV Solve 	
DENOTE	IAV SUPV Solve 	
DERIVE	IAV SUPV Solve Actv 	
DETERMINE	IAV SUPV Solve Strng Actv Ovrst 	56% verb: To ascertain, decide or settle, authoritatively or resolutely 
DIG	IAV SUPV Actv Solve 	7% verb-idiom: To find or expose--"dig up" 
DISCERN	IAV Pos SUPV Actv Percv Solve Eval 	
DISPROVE	IAV Neg SUPV Solve Negate Ngtv Actv 	
