word	tags	comments
ABOARD	PREP LY Space 	
ABOUT	PREP LY Space 	6% prep-adv: Around --'walk about', 
ABOVE	Modif Space 	21% noun-adj-adv: Previously stated 
ABROAD	LY Space 	
ABSENT	Modif Psv Space 	
ACRE	Noun Space 	
ACROSS	PREP Space 	63% prep: From one point to another, on, over, athwart 
ACROSS	PREP Space 	2% idiom-prep: "Across from"--opposite 
ADJACENT	Modif POS Space 	
ALONE	LY Space Weak 	76% adj-adv: Apart from others, solitary, undisturbed 
AMID	PREP Space 	
AMIDST	PREP Space 	
AMONG	PREP Space 	prep: In or in the midst of, without going beyond 
ANGLE	Noun Space 	
ANYWHERE	LY Space Ovrst 	adverb: Any unspecified place 
APART	LY Space Weak 	54% adv-adj: Spatial, away from-'he went apart from the rest', divided,  separated--'his feet were apart,' 'they find themselves further apart  every day.' (3 abstract) 
ARCH	DAV SUPV Space 	
AROUND	PREP LY Space 	adverb-prep: With no definite direction, in a circle, surrounding or enclosing,  in the vicinity, along the circumference. 
ASIDE	LY Space 	72% adverb: To one side, apart, in reserve 
ATOP	PREP Space 	
AWAY	LY Space PFREQ 	88% adverb: Off, at or to a distance from here and now. 
AXIS	Noun Space 	
BACKGROUND	Noun Space 	
BACKWARD	Neg LY ECON Ngtv Weak Space 	
BEAR	Noun Space 	1% noun: "Bearings"--direction or relative position 
BEHIND	PREP LY Space 	prep-adv: In back of, responsible for, not up-to-date, inferior to 
BELOW	PREP LY Space 	prep-adv: Lower than, in or toward a lower place. 
BEND	Noun Space 	
BENEATH	PREP Space 	
BESIDE	PREP Space 	36% preposition: Next to 
BETWEEN	PREP Space 	preposition: Denoting some relationship involving at least 2 parties,  objects, times, degrees, quantities, et 
BEYOND	PREP LY Space 	prep-adv.: Farther than, farther, exceeding, outside the possibility of 
BLOCK	Neg Noun Space Ngtv Psv Strng 	72% noun-adj: A barrier, solid mass, area, unit; street block (1) 
BORDER	IAV SUPV Space 	
BOTTOM	Noun POS Space 	noun: Lower part, basic part 
BOUND	Noun Space 	10% noun: Limit, boundary 
BOUNDARY	Noun POLIT Space 	noun-adj: Limit, edge, border 
BRANCH	Noun Space 	73% noun: Ramification, offshoot 
BRIDGE	IAV SUPV Strng Space 	6% verb: To span or connect any two separated things or points 
BROAD	Modif DIM Space Strng 	adj: Wide, extensive (includes comparative, superlative and adverb forms) 
BROADNESS	Noun Strng Space 	
CENTER	IAV SUPV Space Strng 	22% verb: To focus on or at ('attention centers around him') 
CENTIMETER	Noun ABS DIST Space 	
CENTRAL	Modif Space POS Strng 	
CIRCLE	Noun Space 	80% noun: Round object or shape, cycle; coterie, group of people (6) 
CIRCULAR	Modif Space 	
CLOSE	Modif Space 	9% adj: "Closer"--(comparative of sense 1) 
CLOSE	Modif Space 	3% adj: "Closest"--(superlative of sense 1) 
CLOSE	LY Space 	4% adv: "Closely"--in a close manner 
CLOSENESS	Pos Noun Intrel  Space 	
CLUSTER	IAV SUPV Space Strng 	
COLUMN	Noun Space 	
COMPARTMENT	Noun Space 	
COMPRESS	Modif Space Strng Actv 	
CONFIGURATION	Noun Space 	
CONFINE	Neg Modif Space Ngtv Strng Actv 	
CONNECT	IAV Pos SUPV Space Pstv Actv 	
CONNECTION	Noun ABS Abs* Space Actv 	noun: Junction, affiliation, relation, union, reference 
CONTINUUM	Noun ABS Abs* Space 	
CORE	Noun Space Strng 	
CORNER	Noun Space 	noun: A meeting place of two converging lines or planes 
CREST	Noun Space 	
CROSS	Noun Space Relig 	11% noun: A shape composed of at least 2 pieces at right angles 
CROSS	Modif Space 	6% adj: "Crossed"--overlapped at an angle or intersecting 
CROWD	Modif Space 	17% adj: "Crowded"--filled to excess, too close together 
DEEP	Modif Space DIM Strng 	64% adjective: Profound, intense, not superficial or light--"to my deep  delight, i see that he is a deep person"; extending to a considerable  extent physically downward or inward (21); extending considerably along  some other physical scale--"deep freez 
DEEP	Modif Space Strng 	11% adj-adv: "Deeper" 
DEEP	Modif Space Strng 	3% adjective: "Deepest" 
