word	tags	comments
ABLE	Pos Modif EVAL Virtue Strng Pstv 	adjective: Having necessary power, skill, resources, etc. 
ABOLISH	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv Power 	
ABOMINABLE	IndAdj Neg Modif Eval Vice Strng Ovrst 	
ABRASIVE	IPadj Neg Modif Vice Hostile Strng 	
ABSOLUTE	Modif Virtue Strng Ovrst 	27% adj: Perfect, without limitation or qualification 
ABSOLUTE	Yes LY Ovrst Strng 	73% adv: "Absolutely"--without qualification, certainly, totally 
ABUNDANCE	Pos Noun Quan ECON Pstv Strng Ovrst 	
ABUNDANT	Pos Modif Quan Pstv Strng Ovrst 	
ABUSE	IAV Neg SUPV Intrel Hostile Ngtv Strng Actv 	
ACCELERATE	DAV SUPV Incr Actv Strng 	
ACCELERATION	Noun Strng Actv Incr 	
ACCESSION	Pos Noun Incr Strng 	
ACCOMPLISH	IAV Pos SUPV Pstv Strng Actv Power Complt 	verb: To bring to its goal or conclusion 
ACCOMPLISHMENT	Pos Noun Goal Pstv Strng Actv Power 	
ACHIEVE	IAV Pos SUPV Complt Pstv Strng Actv 	verb: To accomplish or carry through 
ACQUIRE	Modif Strng Actv Fetch 	
ACQUIRE	DAV SUPV Complt Strng Actv 	
ACQUISITION	Noun Object ECON Tool Strng Actv 	
ACT	DAV SUPV Exert Strng Actv 	52% verb: To do something, to operate, perform a function; to feign (2),  to perform in the theatre (0) 
ACT	IAV SUPV Work Strng Actv 	8% idiom-verb: 'act as'--to replace in function. 
ACT	Noun Strng Exert Actv 	25% noun: A deed, performance, anything done; a law--"the mills act" (7) 
ACTION	Noun ABS Abs* Strng Actv Exert 	noun: The doing or performance of something; an act or thing done 
ACTIVE	Modif Strng Actv Exert 	86% adjective: In a state of action, in actual progress or motion, busy. 
ADAMANT	IndAdj Pos Modif Know Strng Arousal 	
ADAPT	IAV SUPV Work Strng Actv 	
ADAPTABILITY	Pos Noun Strng Virtue Vary 	
ADAPTABLE	IndAdj Pos Modif Strng Virtue Vary 	
ADAPTATION	Pos Noun Vary Strng Virtue 	
ADAPTIVE	IndAdj Pos Modif Strng Virtue Vary 	
ADD	Modif Quan Strng 	13% adj: "Added," extra, further,increased--"the added expense" 
ADDITION	LY Quan Strng 	82% idiom-adv: 'in addition,' besides, additionally 
ADDITIONAL	Modif Quan Strng 	
ADEPT	Pos Modif EVAL Virtue Pstv Strng 	
