word	tags	comments
ABDICATE	IAV Neg SUPV Finish Weak Psv Subm 	
ABJECT	IPadj Neg Modif Psv Subm Weak Vice 	
ABSCOND	IAV Neg SUPV Travel Subm Weak Hostile Actv 	
ACCEPT	IAV Pos SUPV Intrel Subm Pstv Psv 	verb: To take, receive or accede to something 
ADJUST	Pos Modif Virtue Pstv Subm 	23% adj: "Adjusted"--adapted 
ADMIRE	SV Pos SUPV Affil Subm Pstv Psv Pleasur 	
ADMISSIBLE	Modif Comform Subm Psv 	
ADMISSION	Noun COM Comform Subm Psv 	
ADMIT	IAV Pos SUPV Subm Pstv Weak Psv Comform 	63% verb: To acknowledge, confess, agree 
ADMIT	Pos LY Ovrst Comform Subm Pstv Weak Psv 	3% adv: "Admittedly"--adverbial form of sense 1 
AFRAID	Modif EMOT Subm Psv PFREQ Pain 	adjective: Feeling fear, filled with apprehension 
AIMLESS	IndAdj Neg Modif Subm Psv Fail 	
ALIBI	Neg Noun Comform Subm Psv Weak 	
APOLOGETIC	IPadj Modif Pain Weak Subm Intrel 	
APOLOGIZE	IAV SUPV Subm Other Weak Intrel 	
APOLOGY	Noun COM Comform Affil Subm Weak 	
APPEAL	Noun COM Comform Subm Psv Affil 	38% noun-adj: A request for a decision, help, sympathy, etc. (6), a quality  arousing a favorable response (6) 
APPEAL	IAV SUPV Legal Subm Psv Affil Intrel 	59% verb: To request a decision, help, sympathy, etc. (10), to arouse  a favorable response (9) 
APPEASE	IAV Pos SUPV Actv Subm Other 	
APPLICANT	Noun HU Subm Role 	
APPLICATION	Noun COM Comform Subm 	
APPLY	DAV SUPV Legal Subm Comform Actv 	12% verb: To make application or request--'to apply for a job' 
APPRECIATE	SV Pos SUPV Subm Pstv Psv Arousal Affil 	verb: To be aware of, to be grateful 
ASK	DAV SUPV Subm Comform Actv 	31% verb: To request, invite 
ASSISTANT	Pos Noun HU Subm Pstv Actv Role 	
ATTEND	IAV Pos SUPV Travl Subm Pstv PFREQ 	83% verb: To be present at. 
ATTENDANT	Noun HU Subm Actv Role 	
ATTENTION	Noun Percv Psv Subm 	noun: The act or faculty of attending, by directing the mind to an object 
ATTENTIVE	Pos Modif Percv Pstv Psv Subm 	
ATTEST	IAV SUPV Subm Psv Comform 	
AWE	Noun EMOT Subm Arousal 	
BEARER	Noun HU Role Subm 	
BEAT	Neg Modif Vice Subm Ngtv Weak Psv 	2% adj: "Beaten"--hammered, trodden, thrashed 
BEG	IAV Neg SUPV Intrel Subm Ngtv Weak Actv 	
BELIEVE	SV SUPV Solve Subm Psv 	20% idiom-verb: "Believe in"--to be strongly (religiously) persuaded of  the truth, value, or existence of 
BELIEVER	Noun HU Relig Psv Role Subm 	
BELONG	IAV SUPV Intrel Subm Weak Psv PFREQ 	98% verb: To be in relation to something as owned or as a member or inhabitant 
BEND	DAV SUPV Subm Weak Psv Rel 	
BESEECH	IAV Neg SUPV Intrel Subm Weak Actv 	
BONDAGE	Neg Noun Vice Subm Ngtv Weak Psv 	
BOW	DAV SUPV Subm Weak Comform 	6% verb: To bend forward, usually in formal acknowledgement, submission or greeting 
BUCKLE	IAV Neg SUPV Weak Subm Fail Psv 	
CAPITULATE	IAV Neg SUPV Psv Subm Weak Fail 	
CAPTIVE	IPadj Neg Modif Subm Weak Psv 	
CAPTURE	Neg Modif Subm Ngtv Intrel 	
CHAIN	Noun Object Tool Subm 	
CHAIN	IAV SUPV Rel Subm 	
COLONY	Neg Noun HU COLL POLIT ECON Polit* Ngtv Subm 	
COMMIT	IAV SUPV Subm Actv Comform 	15% verb: To bind, to consign 
COMMIT	Modif Subm Psv Pain 	15% adj: Consigned, bound 
COMMONER	Neg Noun HU POLIT Econ* Subm Ngtv Weak Psv Role 	
COMPLY	IAV SUPV Intrel Subm Psv 	
COMPROMISE	Pos Modif POLIT Subm Pstv Psv Intrel 	
COMPROMISE	IAV Pos SUPV Intrel Subm Pstv Psv 	
CONCEDE	IAV SUPV Subm Weak Psv Comform 	
CONCESSION	Pos Noun Pstv Weak Psv Intrel Subm 	
CONFESS	IAV Neg SUPV Subm Ngtv Weak Psv Comform 	
CONFESSION	Neg Noun COM Comform Subm Ngtv Weak Psv 	
CONFIDENCE	Pos Noun EMOT Subm Pstv Strng Ovrst PFREQ Pleasur 	97% noun: Trust, self-assurance, a secret 
CONFORM	IAV SUPV Intrel Subm Weak Psv 	
CONFORMITY	Noun Virtue Subm Weak Psv 	
CONSENT	Pos Noun COM Comform Subm Pstv Strng Psv 	
CONSENT	DAV Pos SUPV Subm Pstv Strng Psv Comform 	
CONVICT	Neg Noun HU Legal Subm Ngtv Weak Psv Role 	
COWARD	Neg Noun HU Subm Ngtv Weak Psv Role 	
CREDULOUS	IndAdj Neg Modif Weak Subm 	
CROUCH	DAV SUPV Stay Subm 	
CRUMBLE	IAV Neg SUPV Psv Finish Weak Subm 	
CRUMPLE	IAV Neg SUPV Psv Finish Weak Subm 	
DEFER	IAV SUPV Intrel Subm Psv 	
DEPEND	IAV SUPV Intrel Subm Weak Psv 	27% verb: Rely (upon) 
DEPENDENCE	Noun Subm Weak Psv Vice 	
DEPENDENT	IPadj Neg Modif Weak Subm Psv 	
DESPAIR	Neg Noun EMOT Ngtv Weak Psv Pain Subm 	
DESTITUTE	IndAdj Neg Modif Econ Pain Weak Subm 	
DEVOTE	Pos Modif EMOT Subm Pstv Pleasur 	25% adj: "Devoted"--dedicated, faithful, committed 
