word	tags	comments
ABRUPT	Neg Modif Time* Ngtv 	
ADVANCE	LY Time* 	13% idiom-adv: "In advance"--before, beforehand 
AFTER	PREP LY Time* PFREQ 	92% prep-adv: Later in time than, following, in pursuit or search of. 
AFTERNOON	Noun ABS TIME Time* 	noun-adj: The time from noon until evening--part of day. 
AFTERWARD	Modif LY Time* 	adverb: In later or subsequent time, subsequently. 
AGE	Noun ABS TIME Time* 	79% noun-adj: Time period measured by length of existence, era; possessing  a certain age (3) 
AGE	Noun Time* 	0% noun-adj: "Aging"--growing old 
AGO	Modif Time* 	adj-adv: Gone, past (following nouns), in past time 
AHEAD	LY Time* 	adverb: Forward or in front in time, distance, etc. 
ALREADY	LY Time* 	adverb: By this or that time, previously, prior to or at some specified  or implied time, or now, so soon, so early. 
AM	LY Time* 	4% adv: Reduced form of "a.m.," the morning 
ANCIENT	Modif Time* Weak 	
ANNIVERSARY	Noun ABS TIME Time* 	
APRIL	Noun ABS TIME Time* 	
AUGUST	Noun ABS TIME Time* 	
AUTUMN	Noun ABS TIME Time* 	
AWAY	LY Time* Ovrst 	2% idiom-adverb: 'right away'--immediately 
AWHILE	LY Time* Undrst 	
BACK	LY Time* 	80% adverb: Toward an original or previous place, time, or condition;  to the rear, behind (much less frequ 
BEAT	Noun Time* Exprs 	3% noun-adj: Rhythm, a blow, stroke or throb, as of the heart (1); hip  (1); exhausted (0) 
BEFORE	PREP CONJ CONJ2 Time* 	prep-adv-conj: Of a previous time, or in front of - literally or figuratively 
BREAK	Noun Time* 	9% noun: An interruption of normal routine (5); a (fortunate) chance occurrence  (2); a termination of relations (1); a fracture (0); escape (1) 
BRIEF	Modif Time* DIM Undrst 	
CALENDAR	Noun Time* 	
CASE	CONJ CONJ2 Time* 	5% idiom-conj: 'in case'--in the event 
CENTURY	Noun ABS TIME Time* 	noun: Time period, 100 years 
CHILDHOOD	Noun ABS TIME Time* 	
CHRISTMAS	Noun ABS TIME Time* Relig 	
CLOSE	Noun Time* Psv 	3% noun-adj: "Closing"--point or time of termination, shutting, last 
COINCIDENCE	Noun Time* Psv Undrst 	
COMMON	LY Time* Ovrst 	2% adv: "Commonly"--generally 
CONCURRENT	Modif Time* 	
CURRENT	Noun Time* 	68% adj: Present, contemporary 
CURRENT	LY Time* 	12% adv: "Currently"--presently 
DATE	Noun ABS TIME Time* 	30% noun: Specific point in time; used elliptically to mean the present--  "to date" (6) 
DATE	IAV SUPV Time* 	2% verb: To indicate a point in time 
DAWN	Noun ABS TIME Time* 	80% noun: Sunrise; origin, beginning (1) 
DAY	Noun ABS TIME Time* 	noun: The interval of light between two successive nights--24 hours--  a specific period, time or day 
DAYLIGHT	Noun Time* 	
DAYTIME	Noun ABS TIME Time* 	
DECADE	Noun ABS TIME Time* 	
DECEMBER	Noun ABS TIME Time* 	
DELAY	Neg Noun Time* Ngtv Weak Psv 	
DIRECT	LY Time* Strng Actv Ovrst 	28% adv: "Directly"--without mediation, not obliquely, straightaway, presently 
DURING	PREP Time* 	preposition: Throughout, at some point in time. 
DUSK	Noun ABS TIME Time* 	
EARLY	LY Time* 	68% adv-adjective: In or during the first part of a period of time, course  of action, series of events 
EARLY	LY Time* 	30% adv-adj: Earlier--comparative of 'early'. 
EARLY	Modif Time* 	2% adv-adjective: Earliest--superlative of 'early'. 
EASTER	Noun ABS TIME Time* Relig 	
ELAPSE	Modif Time* Psv 	
ELDER	Modif Strng Time* 	67% adjective: Older, of greater age (my elder brother) 
ELDERLY	Modif Time* Weak 	
ERA	Noun ABS TIME Time* Ovrst 	
EVENING	Noun ABS TIME Time* 	noun: The latter part of the day. 
EVENTUAL	Modif Time* Ovrst 	adjective: Final, ultimate. 
EVER	LY Ovrst Time* 	75% adverb: At any time--e.g. did you ever fight--by any chance, at all--  e.g. how did you ever survive 
EVERYDAY	Modif Undrst Time* 	adj: Commonplace or normal 
FALL	Noun ABS TIME Time* 	5% noun-adj: Autumn 
FAR	LY Time* 	15% adv: "So far"--up to now, up to a certain point or extent 
FAST	Modif Ovrst Strng Actv Time* 	53% adj-adv: Speedy, speedily 
FAST	Modif Strng Actv Ovrst Time* 	19% adj: "Faster"--comparative--speedier, quicker 
FAST	Modif Strng Actv Ovrst Time* 	3% adj: "Fastest"--superlative--speediest, quickest 
FEBRUARY	Noun ABS TIME Time* 	
FINAL	DET NUMB ORD POS Modif Time* Ovrst Strng 	24% adjective: Last, eventual, terminal 
FINAL	LY Time* Ovrst Strng 	76% adverb: "Finally"--at last, eventually 
FOREGOING	Modif Time* 	
FORMER	DET NUMB ORD PRE PRE2 Modif Time* 	76% adj: Previous 
FORMER	PRON Time* 	8% noun: The first of two mentioned 
FORMER	LY Time* 	16% adv: "Formerly"--previously 
FORTHCOMING	Modif Time* 	
FORWARD	Pos LY Time* Pstv 	62% adv: Toward or at a place, point, or time in advance, ahead, onward 
FRESH	Pos Modif Time* EVAL Pstv 	
FRIDAY	Noun ABS TIME Time* 	
FUTURE	Noun ABS TIME Time* 	noun adjective: Time yet to come; pertaining to it 
GOOD	Noun Ovrst Handels Time* 	1% idiom-adv: "For good"--finally, for keeps 
GRADE	Noun ABS TIME Time* Acad 	23% noun: One of the divisions by year of a school curriculum 
GROWN	Handels Time* 	34% verb: To have come or become--'grown to realize,' 'grown dark' 
HEAT	LY Time* 	3% idiom-prep: "In the heat of", during the peak of 
HERETOFORE	LY Time* 	
HIGH	Noun Time* Ovrst 	0% idiom-adj: "High time"--none too soon 
HOUR	Noun ABS TIME Time* 	noun-adj.: Specific period of time, one twenty-fourth of a day 
HURRY	LY Time* Actv 	14% adv: "Hurriedly" - quickly 
HURRY	Modif Actv Time* 	0% adj: "Hurried" - rushed 
HURRY	Modif Actv Time* 	10% noun-adj: "Hurrying" - rushing 
IMMEDIACY	Noun Time* Ovrst 	
IMMEDIATE	Modif Time* Ovrst 	33% adjective: Instantaneous, in the very near future, temporally close  or adjacent, present; spatially close, near ( 
IMMEDIATE	LY Time* Ovrst 	67% adverb: "Immediately"--without delay, instantly, at once 
INCIDENT	Noun Time* 	
INITIAL	Modif Time* 	
INNING	Noun Time* 	
INSTANT	Modif TIME Ovrst Time* 	
INSTANTLY	LY Time* Ovrst 	
INTERIM	Modif Time* Undrst Weak 	
INTERVAL	Noun Time* 	
JANUARY	Noun ABS TIME Time* 	
JULY	Noun ABS TIME Time* 	
JUNE	Noun ABS TIME Time* 	
JUNIOR	Modif Time* Acad 	84% noun-adj: Third year in college or high school, pertaining to same  or to person in that position, junior high school or college or pertaining to it 
JUNIOR	Modif Time* 	16% adj: Second in age, experience, status 
JUST	LY Time* 	28% adv: Almost exactly or precisely at some time (most frequent), place,  position or condition, generally with a sense of proximity--"it just happened  a minute ago," "just over the hill," "he was just as excited" 
LAST	DET NUMB ORD Modif Time* 	45% adj: Previous, past, prior, most recent 
LAST	LY Time* Ovrst 	16% idiom-adv: "At . . .," "at long last"--finally 
LATE	Modif Time* 	57% adj-adv: "Later"--at a more advanced time 
LATE	Modif Time* 	17% adj-adv: Occurring at or belonging to an advanced time, period, stage,  hour, etc. 
LATE	LY Time* 	11% adv: "Lately"--"of late"--recently, not long since 
LATE	Modif Time* 	9% adj: Occurring, coming, or being after the usual or proper time, tardy 
LATE	Modif Time* 	2% adj: "Latest"--most recent, current, coming after all others 
LATTER	DET PRE PRE2 Modif Time* 	33% adj: Later, more recent, last mentioned 
LENGTH	LY Time* Ovrst 	50% idiom-adv: "At length"--after a time, finally 
LIFETIME	Noun Time* 	
LONG	LY Time* 	15% adv-idiom: Expresses termination of an action or state--'no longer,'  'any longer' 
MARCH	Noun ABS TIME Time* 	55% noun-adj: The month 
MATURITY	Pos Noun ABS Abs* Time* Pstv Strng 	
MAY	Noun ABS TIME Time* 	3% noun: The fifth month of the year 
MEANWHILE	CONJ CONJ2 LY Time* 	adverb: In the intervening time, at the same time. 
MEASURE	Modif Time* 	3% adj: 'measured'--deliberate, slow, steady 
MEDIEVAL	Modif Time* 	
MIDNIGHT	Noun ABS TIME Time* 	
MINUTE	Noun ABS TIME Time* 	noun: Exactly or approximately 60 seconds, any short space of time or an instant 
MODERN	Modif Time* 	adjective: Of or characteristic of the present or recent time, hence,  new-fashioned, contemporary 
MOMENT	Noun ABS TIME Time* Undrst 	noun: An indefinitely short space of time, the present or any other particular  instant 
MOMENTARY	LY Time* Weak Undrst 	
MONDAY	Noun ABS TIME Time* 	
MONTH	Noun ABS TIME Time* 	noun: One twelfth of a calendar year 
MORNING	Noun ABS TIME Time* 	noun-adj: The early part of the day 
MOVEMENT	Noun Time* Exprs 	1% noun: In music 
MPH	Noun Time* 	
NEW	Modif ABS TIME Time* Strng PFREQ 	71% adj: Of recent origin, appearance, or development, novel 
NEW	Modif ABS TIME Time* Strng 	0% adj: "Newer"--comparative 
