word	tags	comments
ACQUISITION	Noun Object ECON Tool Strng Actv 	
AIR	Noun Object Tool 	3% idiom-noun: "Air conditioner" 
ALUMINUM	Noun Object ECON Tool Econ* 	
AMMUNITION	Noun Object Tool Milit 	
ANCHOR	Noun Object Tool 	
APPARATUS	Noun Object Tool 	
ARM	Noun Object POLIT Tool Hostile Milit Strng Power 	16% noun: "Arms"--weapons 
ARMED	Modif Object Tool Milit Power Strng Hostile 	adj: Equipped with weapons 
ARROW	Noun Object Tool Hostile Milit 	noun: Straight, pointed weapon 
ARTICLE	Noun Object Tool 	
AUTOMATIC	Modif Object Tool 	
AXE	Noun Object Tool Strng 	noun: Tool used to cleave and chop 
AXLE	Noun Object Tool 	
BAG	Noun Object Tool 	97% noun: Flexible container, sack 
BALE	Noun Object Tool 	
BALL	Noun Object Tool 	50% noun-adj: A spherical object, a kind of bullet (0) 
BALLISTIC	Noun Object POLIT Tool Modif 	
BALLOON	Noun Object Tool 	
BAR	Noun Object Tool 	12% noun: An oblong piece of soap, chocolate, etc.; including sand bar,  prison bars, etc.(1); a strip or stripe (0 
BAR	Noun Object Tool Exprs Actv 	0% noun: Athletic equipment 
BARREL	Noun Object Tool 	
BASKET	Noun Object Tool 	noun: A receptacle made of interwoven materials 
BATH	Noun Object Tool 	
BEAR	Noun Object Tool 	0% noun: "(ball) bearing"--mechanical part 
BEAR	Noun Object Tool 	1% idiom-noun: "Teddy bear" 
BED	Noun Object Tool 	80% noun: Furniture, place to sleep 
BELONG	Noun Object Tool Econ* 	2% noun: "Belongings"--possessions 
BELT	Noun Object Tool 	
BIN	Noun Object Tool 	
BLADE	Noun Object Tool 	
BLANKET	Noun Object Tool 	noun: A layer or covering 
BLIND	Noun Object Tool 	0% noun: Something which keeps out light or prevents sight 
BLOWER	Noun Object Tool 	
BOARD	Noun Object Tool 	11% noun: Slab of wood, panel (includes diving board, dash board, etc.) 
BOMB	Neg Noun Object POLIT Tool Hostile Milit Ngtv Strng 	
BORE	Noun Object Tool 	0% noun: A tool 
BOTTLE	Noun Object Tool 	noun-adj: Container-pertaining to same 
BOW	Noun Object Tool Milit PFREQ 	89% noun: Anything curved or bent, includes bow and arrow (13); forepart  of a ship (2); bowknot (1); inclination of the head or body (3) 
BOWL	Noun Object Tool 	
BOX	Noun Object Tool 	83% noun: Container 
BRACE	Noun Object Tool Strng 	
BRAKE	Noun Object Tool 	
BRASS	Noun Object Tool 	
BRUSH	Noun Object Tool 	
BULLET	Neg Noun Object Tool Hostile Ngtv Strng 	
BUNK	Noun Object Tool 	
CAGE	Noun Object Tool 	
CAMERA	Noun Object Tool Exprs 	
CANDLE	Noun Object Tool 	noun: Light source 
CANNON	Neg Noun Object Tool Hostile Milit Ngtv Strng 	
CANVAS	Noun Object Tool 	
CAP	Noun Object Tool 	
CARD	Noun Object Tool 	noun-adj: Rectangular piece of stiff paper--used for games, greetings,  identification, etc. 
CAST	Noun Object Tool Strng 	11% noun: Rigid structure; set of actors (0) 
CEMENT	Noun Object Tool Strng 	
CHAIN	Noun Object Tool Subm 	
CHAIR	Noun Object Tool 	noun: A seat 
CHARGE	Noun Object Tool Strng 	2% noun: A load, quantity of energy; anything or anyone committed to one's care (0) 
CHECKER	Noun Object Tool 	
CHEMICAL	Modif Object Tool 	
CHOKE	Neg Noun Object Tool Ngtv Weak 	
CIGARETTE	Noun Object Tool 	
CLOCK	Noun Object Tool 	60% noun: Timepiece 
CLOSET	Noun Object Tool 	
CLOTH	Noun Object Tool 	
CLOTHE	Noun PFREQ Object Tool 	92% noun: "Clothes," "clothing"--garments 
CLUB	Neg Noun Object Tool Hostile Milit Ngtv Strng 	8% noun: A heavy stick suitable for use as a weapon 
COAT	Noun Object Tool 	
COCKPIT	Noun Object Tool 	
COFFIN	Noun Object Tool 	
COLLAR	Noun Object Tool 	
COMFORTER	Noun Object Tool 	
COMMODITY	Noun ECON Econ* Object Tool 	
COMPASS	Noun Object Tool 	
COMPONENT	Noun Object Tool 	
COMPUTER	Noun Object Tool ECON 	
CONDITION	Noun Object Tool 	1% idiom-noun: "Air conditioning," "air conditioner" 
CORD	Noun Object Tool 	
COSTUME	Noun Object Tool 	
COTTON	Noun Object Tool ECON 	
