word	tags	comments
ABSENT	DAV SUPV Travl Psv 	
ACCOMPANY	IAV SUPV Travl Affil Actv 	59% verb-adj: To go along in company with, to escort; "accompanying"--  attendant (no adjective occurrences this sample) 
ACROSS	LY Travl 	25% adv: From one point to another, over, transversely so as to be understood  (usually with "get" or "put"--8 occurrences) 
ADVANCE	IAV Pos SUPV Travl Pstv Strng Actv 	47% verb: To move or bring forward, improve, promote 
ADVENTURE	Noun Actv Travl 	
APPROACH	IAV Pos SUPV Travl Pstv Actv 	66% verb: To come near or nearer to, or to set about a task 
ARRIVAL	Noun Travl Actv 	
ARRIVE	DAV SUPV Travl Actv 	verb: To reach one's destination, to reach a conclusion, goal, etc. (5);  to come to pass ("the time has arrived") (3) 
ASSEMBLE	DAV SUPV Travl Actv 	
ATTEND	IAV Pos SUPV Travl Subm Pstv PFREQ 	83% verb: To be present at. 
AWAY	IAV SUPV Travl 	9% idiom-verb: 'get away'--avoid, escape 
BANK	DAV SUPV Travl 	0% verb: To turn, as an airplane 
BOARD	IAV SUPV Travl 	13% verb-adj: Into or on a ship or other carrier 
CHARGE	IAV Neg SUPV Travl Hostile Strng Actv Ngtv 	7% verb: To attack, to rush or thrust forward 
CHASE	Neg Noun Travl Hostile Ngtv Actv 	3% noun: Swift pursuit, hunt 
CHASE	DAV Neg SUPV Travl Hostile Ngtv Actv PFREQ 	97% verb: To pursue, to hunt 
CIRCLE	DAV SUPV Travl Actv Strng 	14% verb: To encircle, to move in a circle 
CIRCULATION	Noun Actv Travl 	
COAST	IAV SUPV Travl Psv 	
COME	IAV SUPV Travl Actv PFREQ 	90% verb: To move from place to place in time and/or space, generally  toward the speaker; abstract--to reach, arrive at--"he came to decide  otherwise" (20); derive from or be caused by (4) 
COME	IAV SUPV Work Actv Travl 	0% idiom-verb: "Coming along"--proceeding, progressing 
CRAWL	DAV SUPV Travl Weak Actv PFREQ 	92% verb: To move laboriously, close to the ground 
CRAWL	Modif Weak Travl 	4% adj: Having a crawl as mode of locomotion 
CREEP	DAV SUPV Travl Weak Actv 	
CREPT	DAV SUPV Travl ED Weak Actv 	
CROSS	IAV SUPV Travl 	34% verb: To go across; to intersect, overlap (5) 
CURRENT	Noun Travl 	20% noun: A flow or stream 
DANCE	DAV Pos SUPV Exprs Pstv Actv Travl 	49% verb: To move rhythmically 
DANCE	Pos Modif Exprs Pstv Actv Travl 	13% noun-adj: "Dancing"--moving rhythmically 
DASH	IAV SUPV Travl Actv Ovrst 	
DEPART	DAV SUPV Travl Actv 	
DEPARTURE	Noun Travl Actv 	
DISPERSE	DAV SUPV Travl Actv 	
DITCH	IAV SUPV Travl Hostile 	
DRIFT	Noun Travl Psv 	
DRIFT	IAV SUPV Travl Psv 	
DRIVE	Noun Power Actv Travl 	7% noun-adj: "Driving"--the act of driving; forceful (0) 
EDGE	IAV SUPV Travl 	0% verb: To advance by small steps, to win by a small margin 
ENTER	DAV SUPV Travl Actv 	verb: To make entry, literally -'enter the house'- or figuratively -'enter  college'; to begin, become involved in- 'enter into a contract', 'enter  upon a new phase' 
ENTRANCE	Noun Actv Travl 	19% noun-adj: Admission, coming or going in 
ESCAPE	IAV SUPV Travl Strng Actv Hostile PFREQ 	89% verb: To slip or get away, as from confinement or restraint, gain  or regain liberty--avoid capture, punishment or any threatened evil 
ESCAPE	Noun Travl Strng Actv Hostile 	9% noun-adj: The act or an instance of escaping--the means of escape 
