word	tags	comments
ABOUT	PREP LY Quan Undrst 	11% prep-adv: Almost, approximately 
ACCIDENT	Neg Noun Ngtv Causal Undrst 	noun: An unfortunate happening, unintentionally caused and unexpected 
ACCIDENTAL	Modif Causal Undrst 	
ACCUSTOM	Modif Virtue Psv Undrst 	
ADEQUATE	Pos Modif EVAL Virtue Pstv Undrst PFREQ 	adjective: Sufficient. 
ALL	LY Quan Undrst 	4% idiom-adv: "At all"--(with negatives)--whatsoever 
ALLEGE	IAV Neg SUPV Comform Weak Undrst 	
ALOOF	IPadj Neg Modif Undrst Feeling Psv 	
AMBIGUITY	Neg Noun Undrst Ngtv Percv 	
AMBIGUOUS	Neg Modif Percv Undrst Ngtv 	
ANOMALY	Neg Noun Rel Undrst 	
ANTIPATHY	Neg Noun Vice Undrst Feeling 	
ANYHOW	LY Undrst 	
ANYWAY	LY Undrst 	adverb: In any case or manner 
APART	PREP Undrst 	21% idiom-prep: "Apart from"--except for--'apart from the corn, the crops  were good.' 
APATHETIC	IndAdj Neg Modif Weak Undrst Feeling Psv 	
APATHY	Neg Noun Vice Weak Undrst Psv Feeling 	
APPARENT	Modif Percv Undrst 	42% adj: Perceptible, evident 
APPARENT	Modif Percv Undrst 	58% adv: "Apparently"--seemingly, evidently 
APPEAR	IAV SUPV VERB LINK Psv Percv Undrst 	64% verb: To seem 
APPROXIMATE	Modif Quan Undrst 	
APPROXIMATELY	LY Quan Undrst 	
ARBITRARY	Neg Modif Vice Ngtv Undrst 	
ASIDE	PREP Undrst 	28% idiom-prep: 'aside from', besides, except for 
AUTONOMOUS	IPadj Pos Modif Legal Power Undrst Strng 	
AWHILE	LY Time* Undrst 	
BAFFLE	IAV Neg SUPV Ngtv Undrst Solve 	
BAFFLEMENT	Neg Noun Ngtv Undrst Know 	
BARELY	LY Undrst Quan 	
BEWARE	IAV Neg SUPV Percv Ngtv Strng Hostile Undrst 	
BEWILDER	IAV Neg SUPV Ngtv Undrst Solve 	
BEWILDERMENT	Neg Noun Ngtv Undrst Know 	
BIT	Noun Quan Undrst Weak PFREQ 	93% noun-adv: A small quantity; a role or routine (2) (rarely, mouthpiece  of a bridle, tool (0)) 
BLUR	IAV Neg SUPV Undrst Weak Comform Actv 	
BRIEF	Modif Time* DIM Undrst 	
BRUSQUE	IPadj Neg Modif Comform Hostile Undrst 	
BUNGLE	IAV Neg SUPV Undrst Weak 	
BUT	CONJ CONJ1 Undrst 	conj-prep: On the contrary, except 
CALAMITY	Neg Noun Undrst Fail 	
CALMNESS	Pos Noun Emot Pleasure Undrst 	
CARE	Pos Noun Affil Pstv Actv Undrst Arousal 	26% noun: Attention, concern, thought, worry, assistance 
CAREFUL	Pos Modif Virtue Pstv Undrst 	adj: Cautious 
CASUAL	Pos Modif Virtue Psv Pstv Undrst 	
CAUTION	Noun COM Comform Undrst 	
CAUTION	IAV SUPV Undrst Comform 	
CAUTIOUS	Modif Virtue Undrst 	
CHANCE	Noun Causal Undrst 	21% noun: A possibility or probability of something happening, likelihood, risk 
CHANCE	LY Causal Undrst Psv 	6% idiom-adverb: "By chance"--without plan or intent 
CHANCE	Noun ABS Abs* Undrst Psv Causal 	2% noun-adj: The absence of any known causation for the outcome of events,  often spoken of as a real agency 
CHANGEABLE	Modif Psv Undrst Vary 	
COINCIDENCE	Noun Time* Psv Undrst 	
COMPARATIVE	Modif Undrst Know 	
COMPARATIVELY	Modif Undrst Know 	
CONCEIVABLE	Modif Know Psv Undrst 	
CONFOUND	IAV Neg SUPV Ngtv Ngtv Undrst Arousal 	
CONFUSE	IAV Neg SUPV Ngtv Undrst Comform 	9% verb: To make unclear, to temporarily disturb the clear working of the mind 
CONFUSE	IAV Neg SUPV Solve Weak Ngtv Undrst 	2% verb: To fail to distinguish 
CONFUSE	Neg Modif Vice Ngtv Weak Psv Undrst 	82% adj: "Confused"--jumbled, disturbed, bewildered 
CONFUSE	Neg Modif Vice Ngtv Undrst 	7% adj: "Confusing"--bewildering 
CONFUSION	Neg Noun Vice Ngtv Undrst Weak 	
CONTINGENT	Modif Causal Undrst 	
CONTROVERSIAL	Neg Noun COM Comform Ngtv Undrst 	
CURSORY	IndAdj Neg Modif Psv Undrst Vice 	
CUSTOMARY	Modif Know Undrst 	
DAZE	Neg Noun Undrst 	
DESPITE	PREP Undrst 	
DILEMMA	Neg Noun ABS Abs* Vice Ngtv Undrst 	
DIM	Neg Modif Qual Ngtv Undrst 	
DISBELIEF	Neg Noun Doctr Negate Ngtv Undrst Hostile 	
DISCONCERTED	Neg Modif Pain Ngtv Weak Psv Undrst 	
DISMAY	Noun EMOT Pain Undrst 	
DISPUTABLE	Neg Modif Hostile Legal Ngtv Undrst Vice 	
DOUBT	Neg Noun Means EMOT Undrst Ngtv Psv 	49% noun: Uncertainty, question 
DOUBT	SV Neg SUPV Ngtv Psv Undrst Comform 	41% verb: To question, be uncertain about 
DOUBTFUL	IndAdj Neg Modif Undrst Ngtv Weak Vice Percv 	
DUBIOUS	Neg Modif Undrst Ngtv Vice 	
EQUIVOCAL	Neg Modif Undrst Ngtv Weak Vice 	
EVENT	LY Undrst 	2% idiom-adv: "In any event"--anyway, nevertheless 
EVERYDAY	Modif Undrst Time* 	adj: Commonplace or normal 
EVIDENTLY	Modif Percv Undrst Psv 	
FAINT	Neg Modif Percv Ngtv Weak Psv Undrst 	
FAIR	LY Undrst Virtue 	52% adv: 'fairly'--moderately, rather; justly (1) 
FALTER	IAV Neg SUPV Ngtv Weak Undrst Decr 	
FEEBLE	Neg Modif Vice Ngtv Weak Psv Undrst 	
FEW	DET PRE PRE1 Modif Quan Undrst Weak PFREQ 	82% adj: Not many, a small number of 
FEW	PRON INDEF Undrst Weak Impers 	14% pron: Not many people or things, a small number 
FEW	DET PRE PRE1 Modif Quan Undrst Weak 	1% adj: "Fewer"--a smaller number of--comparative 
FEW	DET PRE PRE1 Modif Quan Undrst Weak 	0% adj: "Fewest"--superlative 
FORTUNATE	Pos Modif Virtue EVAL Pstv Psv Undrst 	adj: Lucky, well-fated 
GAMBLE	Neg Noun Econ* Ngtv Actv Undrst Ritual 	
