word	tags	comments
ABJECT	IPadj Neg Modif Psv Subm Weak Vice 	
ABNORMAL	Neg Modif Vice Ngtv 	
ABOMINABLE	IndAdj Neg Modif Eval Vice Strng Ovrst 	
ABRASIVE	IPadj Neg Modif Vice Hostile Strng 	
ABSENTEE	Neg Noun Hostile Weak Fail Intrel Vice 	
ABSURD	Neg Modif Vice Ngtv Ovrst 	
ABSURDITY	Neg Noun Vice 	
ABUSE	Neg Noun Vice Ngtv Hostile Actv 	
ACCURSED	IPadj Neg Modif Vice Hostile 	
ACRIMONY	Neg Noun Hostile Psv Arousal Vice 	
ADULTERATION	Neg Noun Vice Change 	
ADULTERY	Neg Noun Vice Intrel 	
ADVERSE	Neg Modif Vice Ngtv 	
ADVERSITY	Neg Noun Vice 	
AFFECTATION	Neg Noun Vice 	
AFFLICTION	Neg Noun Ngtv Weak Vice Psv 	
AGGRAVATION	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSION	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGGRESSIVENESS	Neg Noun Hostile Ngtv Strng Actv Vice 	
AGHAST	IPadj Neg Modif Vice Ovrst 	
AGITATION	Neg Noun Ngtv Strng Actv Vice 	
ALARMING	IndAdj Neg Modif Vice Ovrst 	
ALIENATION	Neg Noun ABS Abs* EMOT Vice Ngtv 	
AMISS	Neg LY Ngtv Vice 	
ANIMOSITY	Neg Noun Hostile Intrel Vice 	
ANNIHILATION	Neg Noun Vice Finish Hostile 	
ANTI-SOCIAL	IPadj Neg Modif Ovrst Intrel Vice 	
ANTIPATHY	Neg Noun Vice Undrst Feeling 	
APATHY	Neg Noun Vice Weak Undrst Psv Feeling 	
APPALL	Neg Modif Vice Ngtv 	
ARBITRARY	Neg Modif Vice Ngtv Undrst 	
ARDUOUS	IndAdj Neg Modif Vice Eval 	
ARROGANCE	Neg Noun Vice Power 	
ARROGANT	Neg Modif Ngtv Strng Vice 	
ARTIFICIAL	Neg Modif Vice Ngtv 	
ASSAULT	Neg Noun Hostile Ngtv Strng Actv Vice 	
ATROCIOUS	IndAdj Neg Modif Vice Ngtv Ovrst Eval Vice 	
ATROCIOUS	IndAdj Neg Modif Vice Ngtv Ovrst Eval Vice 	
ATTACK	Neg Noun POLIT Hostile Ngtv Strng Actv Vice 	55% noun: An onslaught, assault 
ATTACK	Neg Noun Vice Ngtv Hostile 	10% noun: A seizure by disease, especially "heart attack" 
AUDACIOUS	IndAdj Neg Modif Eval Vice Strng Ovrst 	
AUDACITY	Neg Noun Vice Strng Ovrst 	
AVARICE	Neg Noun Vice 	
AVARICIOUS	IPadj Neg Modif Vice 	
AVENGE	Neg Noun Hostile Ngtv Strng Actv Vice 	
AWFUL	Neg Modif EVAL Vice Ngtv Strng Ovrst 	60% adjective-adv: Extremely bad, unpleasant, ugly; very (7) 
AWKWARD	Neg Modif EVAL Vice Ngtv Weak 	
AWKWARDNESS	Neg Noun Vice Weak 	
BACKWARDNESS	Neg Noun ECON Ngtv Weak Vice 	
BAD	Neg Modif EVAL Vice Ngtv Ovrst 	adj: Marks negative evaluation on a dimension specified by context--not  good, of poor quality, offensive, unfortunate 
BADLY	Neg Modif EVAL Vice Ovrst Ngtv 	
BANAL	IndAdj Neg Modif Vice 	
BANE	Neg Noun Weak Vice Psv 	
BANKRUPT	IndAdj Neg Modif Vice Econ Fail Quan 	
BANKRUPTCY	Neg Noun Vice Econ Fail Quan 	
BARBARIAN	Neg Noun HU Hostile Vice 	
BARBAROUS	IndAdj Neg Modif Hostile Exert Vice 	
BEASTLY	IndAdj Neg Modif Hostile Vice 	
BEAT	Neg Noun Hostile Strng Ngtv Vice 	5% noun-adj: "Beating"--a whipping or thrashing, striking, throbbing (0) 
BEAT	Neg Modif Vice Subm Ngtv Weak Psv 	2% adj: "Beaten"--hammered, trodden, thrashed 
BEREAVEMENT	Neg Noun Vice Weak Psv 	
BESIDE	PREP CONJ CONJ2 Vice 	2% idiom-adv: Out of emotional control--"beside oneself"--handled by reflexive  pronouns 
BIZARRE	IndAdj Neg Modif Vice 	
BLAME	Neg Noun Vice Hostile Ngtv 	25% noun: Reproof, culpability 
BLEAK	Neg Modif Vice Ngtv 	
BLEMISH	Neg Noun Weak Vice 	
BLIND	Neg Modif Vice Ngtv Weak 	14% adv: "Blindly" 
BLIND	Neg Modif Vice Ngtv Strng 	5% adj: "Blinding"--producing blindness 
BLINDNESS	IndAdj Neg Modif Weak Vice 	
BLOCKHEAD	IndAdj Neg Modif Weak Fail Vice 	
BOARD	Neg LY Vice Ngtv 	2% idiom-adv: 'by the board'--over the side (naut.), in or into neglect or oblivion 
BOAST	IAV Neg SUPV Comform Power Vice Actv 	
BOASTFUL	IndAdj Neg Modif Comform Power Vice 	
BOGUS	IndAdj Neg Modif Eval Vice 	
BONDAGE	Neg Noun Vice Subm Ngtv Weak Psv 	
BORE	Neg Noun Vice Ngtv 	0% noun: Someone or something that causes loss of interest 
BORE	Neg Modif Vice Ngtv Psv 	50% adj: "Bored"--not interested, frustrated 
BORE	Neg Modif Vice Ngtv 	13% adj: "Boring"--not interesting 
BOREDOM	Neg Noun Vice 	
BOTHER	Neg Noun Vice Ngtv 	2% noun: Something troublesome or annoying 
BOTHERSOME	Neg Noun Vice Ngtv 	
BOUND	Neg Modif Vice Ngtv Weak Psv 	30% adj: Limited, tied, 
BOW	Modif Weak Psv Vice 	6% adj: "Bowed"--bent or stooped, overwhelmed 
BRAT	IndAdj Neg Modif Vice 	
BRIBE	IAV Neg SUPV Econ Vice 	
BROKE	Neg Modif ECON Vice Econ* Ngtv 	3% adjective: Destitute 
BROKE	Neg Modif Vice Ngtv Psv 	5% adj: "Broken" 
BRUTALITY	Neg Noun Vice Hostile Ngtv Strng Actv Ovrst 	
BRUTE	Neg Noun HU Hostile Vice 	
BRUTISH	IndAdj Neg Modif Hostile Vice 	
BURDEN	Neg Noun Vice Ngtv Weak 	
BURDENSOME	IPadj Neg Modif Pain Vice 	
BURGLAR	Neg Noun HU Fetch Hostile Vice 	
BURGLARY	Neg Noun Fetch Hostile Vice 	
BURN	Neg Noun Ngtv Vice 	3% noun: An injury from fire; rarely--a brook (0) 
BUSYBODY	Neg Noun HU Comform Vice 	
BUTCHERY	Neg Noun Hostile Ngtv Strng Actv Vice 	
CANCER	Neg Noun Vice Ngtv 	
CANNIBAL	Neg Noun HU Vice Hostile Exert 	
CAPITAL	Neg Modif Vice Legal Ngtv 	3% adj: Punishable by death 
CAPRICIOUS	IPadj Neg Modif Vice 	
CARELESS	Neg Modif Vice Ngtv 	
CARELESSNESS	Neg Noun Vice 	
CARRY	Modif Vice 	1% idiom-adj: 'carried away'--excessively moved 
CATASTROPHE	Neg Noun Vice Ngtv Ovrst 	
CATCH	Neg Noun Vice Ngtv 	2% noun: A reservation or qualification in an agreement. 
CHAOS	Neg Noun Vice Ngtv Ovrst 	
CHAOTIC	IndAdj Neg Modif Vice EVAL Ngtv Ovrst 	
CHEAP	Neg Modif EVAL ECON Vice Econ* Ngtv Weak 	
CHEATER	Neg Noun HU Vice 	
CHILDISH	IndAdj Neg Modif Nonadlt Vice 	
CHRONIC	Neg Modif Vice Ngtv Weak Psv Ovrst 	
