word	tags	comments
ABLE	Pos Modif EVAL Virtue Strng Pstv 	adjective: Having necessary power, skill, resources, etc. 
ABSOLUTE	Modif Virtue Strng Ovrst 	27% adj: Perfect, without limitation or qualification 
ACCEPTABLE	Pos Modif Virtue EVAL Pstv 	
ACCESSIBLE	IPadj Pos Modif Virtue 	
ACCLAIM	Pos Noun Comform Virtue 	
ACCLAMATION	Pos Noun Comform Virtue 	
ACCOLADE	Pos Noun Comform Virtue 	
ACCOMMODATION	Pos Noun Place Virtue 	
ACCURACY	Pos Noun ABS Abs* Virtue Pstv Ovrst 	
ACCURATE	Pos Modif Virtue Pstv Ovrst 	
ACCURATENESS	Pos Noun Virtue Ovrst 	
ACCUSTOM	Modif Virtue Psv Undrst 	
ACTUAL	Pos Modif Virtue Ovrst Pstv 	27% adjective: Existing in act or fact, real. 
ACTUAL	Pos LY Ovrst Pstv Virtue 	73% adverb: "Actually"--really 
ACTUALITY	Pos Noun Pstv Virtue Doctr 	
ADAPTABILITY	Pos Noun Strng Virtue Vary 	
ADAPTABLE	IndAdj Pos Modif Strng Virtue Vary 	
ADAPTATION	Pos Noun Vary Strng Virtue 	
ADAPTIVE	IndAdj Pos Modif Strng Virtue Vary 	
ADEPT	Pos Modif EVAL Virtue Pstv Strng 	
ADEPTNESS	Pos Noun Virtue Strng 	
ADEQUATE	Pos Modif EVAL Virtue Pstv Undrst PFREQ 	adjective: Sufficient. 
ADJUST	Pos Modif Virtue Pstv Subm 	23% adj: "Adjusted"--adapted 
ADJUSTMENT	Pos Noun Virtue Pstv Psv 	
ADMIRABLE	IPadj Pos Modif Eval Virtue 	
ADMIRATION	Pos Noun Strng Emot Pleasure Virtue 	
ADORABLE	IndAdj Pos Modif Eval Virtue 	
ADORNMENT	Pos Noun Eval Virtue 	
ADROIT	IndAdj Pos Modif Strng Virtue 	
ADROITLY	Pos Modif Strng Virtue 	
ADULT	Pos Modif Virtue Pstv Strng 	30% adj: Mature, of or pertaining to adults 
ADVANCE	Pos Modif Virtue Pstv Psv 	20% adj: "Advanced"--forward, in front, progressive 
ADVANTAGE	Pos Noun ABS Abs* ECON Virtue Pstv Strng 	noun: Any state or opportunity favorable to success, benefit, gain, position  of superiority. 
ADVANTAGEOUS	Pos Modif Virtue Pstv Strng 	
AFFABILITY	Pos Noun Virtue 	
AFFABLE	IPadj Pos Modif Virtue 	
AFFINITY	Pos Noun Virtue Strng 	
AGILE	IndAdj Pos Modif Strng Virtue 	
AGILITY	Pos Noun Strng Virtue 	
AID	Pos Noun Affil Pstv Virtue Actv 	81% noun: Help, a helper 
ALERTNESS	Pos Noun Think Virtue 	
ALIGHT	IndAdj Pos Modif Virtue Ovrst 	
ALLEGIANCE	Pos Noun Affil Virtue 	
ALLURE	Pos Noun Virtue 	
ALMIGHTY	IndAdj Pos Modif Strng Virtue Power 	
ALTRUISTIC	IPadj Pos Modif Virtue Affil Fetch 	
AMBITION	Noun POLIT ECON Virtue Power Strng 	noun: Desire for success or distinction 
AMBITIOUS	Modif Virtue Power Strng Actv 	
AMENABLE	IndAdj Pos Modif Affil Vary Virtue 	
AMIABILITY	Pos Noun Affil Virtue 	
AMIABLE	IPadj Pos Modif Affil Virtue 	
AMICABLE	IPadj Pos Modif Affil Virtue 	
ANGEL	Pos Noun HU Role Virtue Affil Relig 	
ANGELIC	IndAdj Pos Modif Virtue Affil Relig 	
APPROPRIATE	Pos Modif Virtue Pstv Ovrst 	
APPROVE	Pos Modif Virtue Affil Pstv 	
APT	Pos Modif Virtue Strng Pstv Ovrst 	
APTITUDE	Pos Noun Strng Virtue 	
ARREST	Pos Modif EVAL Virtue Pstv Ovrst 	4% adj: 'arresting'--striking 
ASSIST	Pos Noun Affil Pstv Strng Actv Virtue 	
ASSISTANCE	Pos Noun Affil Pstv Strng Actv Virtue 	noun: Act of assisting, help, aid. 
ASSUREDNESS	Noun Ovrst Virtue 	
ASTUTE	IndAdj Pos Modif Know Virtue 	
ATHLETIC	Pos Modif Exprs Pstv Strng Virtue 	
ATTRACTIVE	Pos Modif EVAL Virtue Pstv 	
AUTHENTIC	Pos Modif Virtue Pstv Ovrst 	
AUTHENTICITY	Pos Noun Virtue Pstv Ovrst 	
AUTHORITATIVE	IPadj Pos Modif Legal Ovrst Strng Virtue Power Doctr 	
AUTONOMY	Noun POLIT Virtue 	
AVAILABILITY	Pos Noun Virtue Pstv 	
AVAILABLE	Modif Virtue 	adjective: Accessible, at hand 
BABY	Noun Affil Virtue 	2% noun: Affectionate or familiar form of address or reference 
BALL	Pos Noun Virtue Pstv 	4% noun: A good time--'have a ball' 
BALL	Pos Modif Virtue Pstv Strng 	0% idiom-adj: "On the ball"--alert, efficient 
BASIC	Pos Modif Virtue Ovrst Pstv 	74% adjective: Of, or pertaining to, or forming a base, fundamental 
BEACON	Pos Noun Virtue 	
BEAUTIFUL	Pos Modif EVAL Virtue Pstv 	adj: Having beauty--delighting the eye, ear and/or mind 
BEAUTY	Pos Noun ABS Abs* Virtue Pstv 	noun: The quality that gives pleasure to the senses, or pleasurably exalts  the mind or spirit 
BEHALF	Pos Noun Affil Pstv Virtue 	
BENEFACTOR	Pos Noun HU Role Econ Fetch Virtue 	
BENEFICENT	IPadj Pos Modif Eval Virtue 	
BENEFICIAL	Pos Modif Virtue Pstv EVAL 	
BENEVOLENCE	Pos Noun Econ Virtue 	
BENEVOLENT	IPadj Pos Modif Econ Virtue 	
BENIGN	Pos Modif Pstv Psv Virtue Power Affil 	
BEST	Pos LY EVAL Comp EST Virtue Pstv 	noun-adj-adv: Superlative of good, marking maximum positive evaluation, etc. 
BETTER	Pos LY EVAL Comp ER Virtue Pstv PFREQ 	91% adjective adv: Comparative of 'good' or 'well' 
BLAMELESS	IndAdj Pos Modif Eval Legal Virtue 	
BLESS	Pos Modif Virtue Relig Pstv 	5% adj: "Blessed"--consecrated, blissful 
BOARD	Pos Modif Virtue Pstv 	2% idiom-adj: 'above board'--honest, open 
BOLD	Modif Virtue Strng Actv 	
BOLDNESS	Pos Noun Strng Power Virtue 	
BONNY	IndAdj Pos Modif Eval Virtue 	
BRAVE	Pos Modif EVAL Virtue Pstv Strng Power 	
BRAVERY	Pos Noun Strng Power Virtue 	
BROTHERHOOD	Pos Noun Virtue Affil Pstv Strng 	
BUSY	Modif Strng Actv Virtue 	adj-adv: Active, engaged in work or pastime (includes comparative (1),  superlative (1) and adverb ( 
BUY	Pos Noun ECON Virtue Econ* Pstv 	0% noun: A bargain 
CAPABLE	Pos Modif Virtue Power Pstv Strng 	adj: Having power or ability 
CAPITAL	Noun POLIT Polit* ECON Econ* Strng PFREQ Virtue 	92% noun: Wealth, source of profit, moneyed interests; a center of government (11) 
CAREFUL	Pos Modif Virtue Pstv Undrst 	adj: Cautious 
CASUAL	Pos Modif Virtue Psv Pstv Undrst 	
CAUTIOUS	Modif Virtue Undrst 	
CERTAIN	Modif EVAL EMOT Virtue Strng Ovrst 	7% adjective: Free from doubt, sure, confident (state of mind) 
CERTAIN	Modif Ovrst Strng Virtue 	4% adjective: Inevitable, unquestionable, definite 
CHARACTER	Noun Virtue 	22% noun-adj: The aggregate of qualities which distinguishes one person  from another (irregularly with connotations of evaluation or eccentricity) 
CHARISMA	Pos Noun Virtue Strng 	
CHARITABLE	IPadj Pos Modif Econ Exch Virtue 	
CHARITY	Pos Noun Virtue ECON Econ* Pstv 	
CHARM	Pos Noun Affil Virtue Pstv 	
CHASTE	IndAdj Pos Modif Virtue 	
CHERISH	Pos Modif Virtue Pstv Psv 	
CHERUB	Pos Noun HU Role Virtue 	
CHIVALROUS	IPadj Pos Modif Virtue Doctr 	
CHIVALRY	Pos Noun Doctr Virtue 	
CHOSEN	Pos Modif Virtue Psv Pstv 	13% adj: Preferred, favored 
CIVILITY	Pos Noun Actv Virtue 	
CLEAN	Pos Modif Virtue Pstv 	52% adj: Dirt-free, tidy, unpolluted 
CLEANLINESS	Pos Noun Virtue Work 	
CLEVER	Pos Modif Virtue EVAL Pstv Strng 	
CO-OPERATION	Pos Noun Affil Pstv Virtue 	
COLLABORATION	Pos Noun COM POLIT Affil Pstv Strng Actv Virtue 	
COLLECT	Modif Virtue EMOT 	3% adj: "Collected"--self-possessed 
COMMENDABLE	IndAdj Pos Modif Comform Affil Virtue 	
COMMITMENT	Pos Noun Virtue Affil Pstv Actv 	
COMMON	Pos Modif Virtue Affil Pstv 	40% adj: Shared, mutual 
COMMON	Pos Noun Virtue Pstv 	11% noun-idiom: "Common sense"--sound judgment without special knowledge 
COMPASSION	Pos Noun Virtue EMOT Affil Pstv 	
COMPASSIONATE	Pos Modif Virtue EMOT Affil Pstv 	
COMPATIBLE	Pos Modif Virtue Pstv Affil 	
COMPENSATION	Pos Noun ECON Pstv Virtue Actv 	
COMPETENCE	Pos Noun Virtue Pstv Strng Know Eval 	
COMPETENT	Pos Modif Virtue EVAL Pstv Strng 	
COMPETITIVE	Neg Modif Hostile Ngtv Actv Virtue 	
COMPLETENESS	Pos Noun ABS Abs* Virtue Pstv Ovrst 	
COMPOSURE	Pos Noun Strng Virtue 	
