word	tags	comments
ACCOUNT	Modif ECON Econ* Work 	3% noun-adj: "Accounting"--keeping, analyzing or settling commercial accounts 
ACT	IAV SUPV Work Strng Actv 	8% idiom-verb: 'act as'--to replace in function. 
ADAPT	IAV SUPV Work Strng Actv 	
ADJUST	IAV SUPV Work Strng 	77% verb: To adapt 
ADOPT	IAV SUPV Work Affil Actv PFREQ 	96% verb: To choose or accept, take as one's own child (2) 
AFFORD	IAV SUPV Work Power Strng 	26% verb: To furnish, confer upon or be capable of providing 
ARRANGE	IAV SUPV Work 	41% verb: To place in proper, desired, or convenient order--'the rooms  were arranged in one straight hallway.' 
ATTACH	DAV SUPV Actv Work 	
ATTEND	IAV SUPV Work Actv 	5% verb: To give heed to (0), to take care of (3), accompany as a concomitant  or result (0) 
AX	IAV Neg SUPV Power Legal Work Actv 	
BAKE	DAV SUPV Work 	
BALANCE	DAV SUPV Work Strng 	
BANK	IAV SUPV Work 	0% verb: To pile up 
BEAR	IAV SUPV Work Power Strng 	21% verb: To carry, show, wear, conduct oneself, render, afford, support,  sustain, endure 
BORE	IAV SUPV ED Work Strng Actv 	28% verb: Carried, endured; manifested (3); drilled a hole (0); caused  loss of interest (2); exerted pressure or effort (1); approached (0) 
BOTHER	IAV SUPV Work Actv 	8% verb: To take the trouble, trouble or inconvenience oneself 
BOUGHT	DAV SUPV ED Work Actv Econ* 	verb: Past tense of "buy" - purchased 
BRACE	IAV SUPV Work Strng 	
BREADWINNER	Pos Noun HU Role Econ Work Ach 	
BRUSH	IAV SUPV Work 	
BUILD	DAV SUPV Work Actv 	53% verb: To construct, frame, or raise a structure by fitting together  separate parts 
BURDEN	IAV Neg SUPV Work Ngtv Weak 	
CANVAS	IAV SUPV Work Actv 	
CARRY	IAV SUPV Work Actv 	2% verb: To keep or maintain (insurance) 
CHANNEL	IAV SUPV Work Power 	
CHARTER	IAV SUPV Work Econ* 	
CIVILIZE	IAV Pos SUPV Work Pstv Power 	
CLEAN	Modif ECON Actv Work 	15% noun-adj: "Cleaning"--the act of making clean, pertaining to it 
CLEAN	IAV Pos SUPV Work Pstv Actv 	33% verb: To cleanse, wash, clear away 
CLEANLINESS	Pos Noun Virtue Work 	
CLEANSE	DAV Pos SUPV Actv Work 	
CLOTHE	DAV SUPV Work 	5% verb: To provide with clothing--to dress 
COAT	DAV SUPV Work 	
COLOR	IAV SUPV Work 	1% verb: To give character or distinguishing quality to, to impart hue,  shade, or tint to something 
COME	IAV SUPV Work Actv Travl 	0% idiom-verb: "Coming along"--proceeding, progressing 
COMIC	Pos Noun HU Role Work Pleasure 	
COMMIT	IAV Neg SUPV Work Actv Ngtv 	71% verb: To do or perpetrate 
COMPENSATE	IAV Pos SUPV Work Econ* Strng Actv Pstv 	
COMPILE	IAV SUPV Work Actv 	
COMPOUND	IAV SUPV Work Strng 	
